# time,x,y,theta
1.761389443990879536e+09,1.339144229888916016e+00,2.824845075607299805e+00,-3.668411227408796549e-04
1.761389444011413813e+09,1.370332002639770508e+00,2.823351383209228516e+00,-3.999308682978153229e-03
1.761389444030643463e+09,1.402360439300537109e+00,2.819662332534790039e+00,-1.010772027075290680e-02
1.761389444051753998e+09,1.425644636154174805e+00,2.817665576934814453e+00,-1.355404872447252274e-02
1.761389444070672512e+09,1.458249092102050781e+00,2.816312551498413086e+00,-1.628499850630760193e-02
1.761389444090935230e+09,1.480165243148803711e+00,2.813083410263061523e+00,-2.132898755371570587e-02
1.761389444110489845e+09,1.505701184272766113e+00,2.812030553817749023e+00,-2.369446121156215668e-02
1.761389444130990505e+09,1.523956656455993652e+00,2.812086105346679688e+00,-2.828422561287879944e-02
1.761389444151333570e+09,1.554841876029968262e+00,2.809031009674072266e+00,-3.096888028085231781e-02
1.761389444170687675e+09,1.588224768638610840e+00,2.807208776473999023e+00,-3.307021409273147583e-02
1.761389444190512419e+09,1.606328606605529785e+00,2.806184053421020508e+00,-3.584303334355354309e-02
1.761389444211093426e+09,1.624487161636352539e+00,2.805375337600708008e+00,-3.648082539439201355e-02
1.761389444231384039e+09,1.651906490325927734e+00,2.804009199142456055e+00,-3.768111765384674072e-02
1.761389444251492977e+09,1.675805568695068359e+00,2.804192781448364258e+00,-3.962007537484169006e-02
1.761389444270502567e+09,1.691980719566345215e+00,2.803399801254272461e+00,-4.032333940267562866e-02
1.761389444290849447e+09,1.755026936531066895e+00,2.812090396881103516e+00,-3.735399618744850159e-02
1.761389444311138630e+09,1.796530485153198242e+00,2.814179182052612305e+00,-3.642151132225990295e-02
1.761389444331389427e+09,1.829061269760131836e+00,2.812340497970581055e+00,-3.728494048118591309e-02
1.761389444350094080e+09,1.861855506896972656e+00,2.806825399398803711e+00,-3.969896584749221802e-02
1.761389444371926546e+09,1.884948015213012695e+00,2.803368568420410156e+00,-4.297558963298797607e-02
1.761389444390568256e+09,1.916821122169494629e+00,2.800313711166381836e+00,-4.559639841318130493e-02
1.761389444411197901e+09,1.932601571083068848e+00,2.797965526580810547e+00,-4.878077656030654907e-02
1.761389444431158543e+09,1.959151744842529297e+00,2.795197010040283203e+00,-5.186136811971664429e-02
1.761389444451833248e+09,1.980520486831665039e+00,2.792702913284301758e+00,-5.510373041033744812e-02
1.761389444470308781e+09,2.004892587661743164e+00,2.792309522628784180e+00,-6.146162748336791992e-02
1.761389444491060019e+09,2.030991554260253906e+00,2.786634206771850586e+00,-6.665054708719253540e-02
1.761389444510316610e+09,2.055030822753906250e+00,2.784561157226562500e+00,-7.231364399194717407e-02
1.761389444530397415e+09,2.079560518264770508e+00,2.782812595367431641e+00,-7.900287955999374390e-02
1.761389444550258636e+09,2.112395763397216797e+00,2.777373075485229492e+00,-8.638931810855865479e-02
1.761389444570966721e+09,2.141242742538452148e+00,2.773298740386962891e+00,-9.341915696859359741e-02
1.761389444591036797e+09,2.167027235031127930e+00,2.771477699279785156e+00,-1.003689020872116089e-01
1.761389444611533642e+09,2.186390876770019531e+00,2.769518136978149414e+00,-1.049188524484634399e-01
1.761389444631053448e+09,2.221510887145996094e+00,2.762032270431518555e+00,-1.137161254882812500e-01
1.761389444650938034e+09,2.247890233993530273e+00,2.758294582366943359e+00,-1.225328817963600159e-01
1.761389444670607567e+09,2.265472888946533203e+00,2.755717277526855469e+00,-1.302121132612228394e-01
1.761389444690863132e+09,2.289244651794433594e+00,2.751284837722778320e+00,-1.378042846918106079e-01
1.761389444711151838e+09,2.315659999847412109e+00,2.747069597244262695e+00,-1.420999914407730103e-01
1.761389444730610132e+09,2.343187332153320312e+00,2.743804216384887695e+00,-1.474779993295669556e-01
1.761389444750148058e+09,2.370849609375000000e+00,2.737044334411621094e+00,-1.543694138526916504e-01
1.761389444772138357e+09,2.400255441665649414e+00,2.730256795883178711e+00,-1.622561514377593994e-01
1.761389444790141821e+09,2.424243211746215820e+00,2.725065708160400391e+00,-1.661097109317779541e-01
1.761389444810910225e+09,2.441035747528076172e+00,2.720367193222045898e+00,-1.714203059673309326e-01
1.761389444830548763e+09,2.471880674362182617e+00,2.711257696151733398e+00,-1.806305646896362305e-01
1.761389444851228714e+09,2.497426748275756836e+00,2.702891349792480469e+00,-1.857390105724334717e-01
1.761389444870422363e+09,2.520419359207153320e+00,2.697617053985595703e+00,-1.926485300064086914e-01
1.761389444891427279e+09,2.582715988159179688e+00,2.701621770858764648e+00,-1.949531733989715576e-01
1.761389444910353899e+09,2.626076459884643555e+00,2.701406478881835938e+00,-1.965184956789016724e-01
1.761389444930910349e+09,2.664623022079467773e+00,2.696233987808227539e+00,-2.005024254322052002e-01
1.761389444950815439e+09,2.696265220642089844e+00,2.686630249023437500e+00,-2.094063907861709595e-01
1.761389444971679449e+09,2.727165699005126953e+00,2.678539991378784180e+00,-2.175446897745132446e-01
1.761389444990638494e+09,2.758037805557250977e+00,2.673377990722656250e+00,-2.315050959587097168e-01
1.761389445010981321e+09,2.783949851989746094e+00,2.669802427291870117e+00,-2.418335676193237305e-01
1.761389445030782700e+09,2.815281152725219727e+00,2.658126592636108398e+00,-2.546401023864746094e-01
1.761389445051004171e+09,2.848330736160278320e+00,2.650976896286010742e+00,-2.749240696430206299e-01
1.761389445070444345e+09,2.874777317047119141e+00,2.644808530807495117e+00,-2.844323813915252686e-01
1.761389445090509415e+09,2.912572145462036133e+00,2.632468938827514648e+00,-3.018590211868286133e-01
1.761389445111088753e+09,2.943516731262207031e+00,2.621847391128540039e+00,-3.163350522518157959e-01
1.761389445131104231e+09,2.968204975128173828e+00,2.613373517990112305e+00,-3.299703896045684814e-01
1.761389445151076555e+09,3.009134769439697266e+00,2.599509716033935547e+00,-3.502061963081359863e-01
1.761389445171871424e+09,3.041709184646606445e+00,2.586893558502197266e+00,-3.746767044067382812e-01
1.761389445190365076e+09,3.073324203491210938e+00,2.575976133346557617e+00,-3.849646747112274170e-01
