# time,x,y,theta
1.761389443990879536e+09,3.104106903076171875e+00,2.548484325408935547e+00,-3.935185372829437256e-01
1.761389444011413813e+09,3.126544952392578125e+00,2.540323972702026367e+00,-4.059339165687561035e-01
1.761389444030643463e+09,3.157887220382690430e+00,2.526381254196166992e+00,-4.247803986072540283e-01
1.761389444051753998e+09,3.185930967330932617e+00,2.512251615524291992e+00,-4.425942003726959229e-01
1.761389444070672512e+09,3.210296869277954102e+00,2.501066684722900391e+00,-4.582771360874176025e-01
1.761389444090935230e+09,3.239396333694458008e+00,2.485821723937988281e+00,-4.797808825969696045e-01
1.761389444110489845e+09,3.264467000961303711e+00,2.471955060958862305e+00,-4.974797070026397705e-01
1.761389444130990505e+09,3.284631729125976562e+00,2.460287570953369141e+00,-5.118499994277954102e-01
1.761389444151333570e+09,3.305295705795288086e+00,2.443693876266479492e+00,-5.448355078697204590e-01
1.761389444170687675e+09,3.311989307403564453e+00,2.432684898376464844e+00,-5.664671063423156738e-01
1.761389444190512419e+09,3.318459272384643555e+00,2.421270847320556641e+00,-5.839765071868896484e-01
1.761389444211093426e+09,3.327116012573242188e+00,2.407130718231201172e+00,-5.984877347946166992e-01
1.761389444231384039e+09,3.347186088562011719e+00,2.387425899505615234e+00,-6.166722178459167480e-01
1.761389444251492977e+09,3.364770650863647461e+00,2.372623443603515625e+00,-6.283441185951232910e-01
1.761389444270502567e+09,3.379114389419555664e+00,2.358403205871582031e+00,-6.374263763427734375e-01
1.761389444290849447e+09,3.431683063507080078e+00,2.337120056152343750e+00,-6.470639705657958984e-01
1.761389444311138630e+09,3.464441537857055664e+00,2.318567514419555664e+00,-6.579225063323974609e-01
1.761389444331389427e+09,3.487727880477905273e+00,2.301051139831542969e+00,-6.674062013626098633e-01
1.761389444350094080e+09,3.514879465103149414e+00,2.277260780334472656e+00,-6.792343854904174805e-01
1.761389444371926546e+09,3.537196159362792969e+00,2.256346225738525391e+00,-6.899245381355285645e-01
1.761389444390568256e+09,3.557804822921752930e+00,2.235363960266113281e+00,-7.003895640373229980e-01
1.761389444411197901e+09,3.573802232742309570e+00,2.219148159027099609e+00,-7.100799679756164551e-01
1.761389444431158543e+09,3.593123674392700195e+00,2.195023775100708008e+00,-7.261977791786193848e-01
1.761389444451833248e+09,3.606170177459716797e+00,2.177967071533203125e+00,-7.383484244346618652e-01
1.761389444470308781e+09,3.616908550262451172e+00,2.162273883819580078e+00,-7.491791248321533203e-01
1.761389444491060019e+09,3.631310462951660156e+00,2.139527320861816406e+00,-7.683127522468566895e-01
1.761389444510316610e+09,3.642967939376831055e+00,2.118700742721557617e+00,-7.853823900222778320e-01
1.761389444530397415e+09,3.654935121536254883e+00,2.101572036743164062e+00,-7.990475893020629883e-01
1.761389444550258636e+09,3.678361415863037109e+00,2.086802482604980469e+00,-8.263406753540039062e-01
1.761389444570966721e+09,3.690653562545776367e+00,2.077165126800537109e+00,-8.430813550949096680e-01
1.761389444591036797e+09,3.697531938552856445e+00,2.068119287490844727e+00,-8.552311062812805176e-01
1.761389444611533642e+09,3.703757524490356445e+00,2.057308673858642578e+00,-8.648912906646728516e-01
1.761389444631053448e+09,3.756509542465209961e+00,1.999616026878356934e+00,-8.940958976745605469e-01
1.761389444650938034e+09,3.785475492477416992e+00,1.969318509101867676e+00,-9.073311090469360352e-01
1.761389444670607567e+09,3.802175283432006836e+00,1.948713421821594238e+00,-9.178636670112609863e-01
1.761389444690863132e+09,3.818156480789184570e+00,1.921953678131103516e+00,-9.350734353065490723e-01
1.761389444711151838e+09,3.829808950424194336e+00,1.899143457412719727e+00,-9.498760700225830078e-01
1.761389444730610132e+09,3.839637279510498047e+00,1.879177451133728027e+00,-9.610205888748168945e-01
1.761389444750148058e+09,3.848423242568969727e+00,1.850644707679748535e+00,-9.752156138420104980e-01
1.761389444772138357e+09,3.856663227081298828e+00,1.822115778923034668e+00,-9.919611215591430664e-01
