# time,x,y,theta,velocity
1.761490692527587652e+09,5.183441042900085449e-01,-2.064326107501983643e-01,-1.531078480184078217e-02,0.000000000000000000e+00
1.761490692547003746e+09,5.204125046730041504e-01,-2.057001590728759766e-01,-1.525837741792201996e-02,0.000000000000000000e+00
1.761490692567193985e+09,5.212520956993103027e-01,-2.051564007997512817e-01,-1.579079777002334595e-02,0.000000000000000000e+00
1.761490692586910725e+09,5.227094292640686035e-01,-2.052798867225646973e-01,-1.577828451991081238e-02,0.000000000000000000e+00
1.761490692607761383e+09,5.219451785087585449e-01,-2.056888490915298462e-01,-1.550587080419063568e-02,0.000000000000000000e+00
1.761490692626829624e+09,5.237174034118652344e-01,-2.064649760723114014e-01,-1.572371646761894226e-02,0.000000000000000000e+00
1.761490692647543430e+09,5.220742821693420410e-01,-2.062868326902389526e-01,-1.590675860643386841e-02,0.000000000000000000e+00
1.761490692667268515e+09,5.240103602409362793e-01,-2.067161500453948975e-01,-1.601459644734859467e-02,0.000000000000000000e+00
1.761490692687517405e+09,5.246851444244384766e-01,-2.055751830339431763e-01,-1.616967469453811646e-02,0.000000000000000000e+00
1.761490692706997871e+09,5.276754498481750488e-01,-2.041281163692474365e-01,-1.644867286086082458e-02,0.000000000000000000e+00
1.761490692727514267e+09,5.280615091323852539e-01,-2.051298022270202637e-01,-1.627668552100658417e-02,0.000000000000000000e+00
1.761490692746888638e+09,5.286059379577636719e-01,-2.048311531543731689e-01,-1.616504602134227753e-02,0.000000000000000000e+00
1.761490692767593384e+09,5.266899466514587402e-01,-2.047316431999206543e-01,-1.609099656343460083e-02,0.000000000000000000e+00
1.761490692786522865e+09,5.266376733779907227e-01,-2.030729055404663086e-01,-1.625172048807144165e-02,0.000000000000000000e+00
1.761490692807409286e+09,5.279536247253417969e-01,-2.013870775699615479e-01,-1.617460325360298157e-02,0.000000000000000000e+00
1.761490692826910496e+09,5.281732082366943359e-01,-2.003939300775527954e-01,-1.591977477073669434e-02,0.000000000000000000e+00
1.761490692847040892e+09,5.320520401000976562e-01,-2.015753835439682007e-01,-1.624480634927749634e-02,0.000000000000000000e+00
1.761490692867021322e+09,5.353591442108154297e-01,-2.025425285100936890e-01,-1.601807586848735809e-02,0.000000000000000000e+00
1.761490692887160540e+09,5.395853519439697266e-01,-2.009740024805068970e-01,-1.589717157185077667e-02,0.000000000000000000e+00
1.761490692906922579e+09,5.383108258247375488e-01,-2.016163766384124756e-01,-1.597798988223075867e-02,0.000000000000000000e+00
1.761490692927506924e+09,5.408333539962768555e-01,-2.025762200355529785e-01,-1.616963371634483337e-02,0.000000000000000000e+00
1.761490692947082520e+09,5.372545719146728516e-01,-2.026491016149520874e-01,-1.586363837122917175e-02,0.000000000000000000e+00
1.761490692967287064e+09,5.363816022872924805e-01,-2.040698081254959106e-01,-1.578816957771778107e-02,0.000000000000000000e+00
1.761490692987105608e+09,5.374693870544433594e-01,-2.038929313421249390e-01,-1.577688194811344147e-02,0.000000000000000000e+00
1.761490693007249832e+09,5.345122218132019043e-01,-2.036479711532592773e-01,-1.592664979398250580e-02,0.000000000000000000e+00
1.761490693026781559e+09,5.349487662315368652e-01,-2.027932107448577881e-01,-1.591250114142894745e-02,0.000000000000000000e+00
1.761490693047379017e+09,5.383027195930480957e-01,-2.028432488441467285e-01,-1.595170609652996063e-02,0.000000000000000000e+00
1.761490693066740513e+09,5.392997264862060547e-01,-2.046798616647720337e-01,-1.589055918157100677e-02,0.000000000000000000e+00
1.761490693087501526e+09,5.408326983451843262e-01,-2.051609307527542114e-01,-1.601366885006427765e-02,0.000000000000000000e+00
1.761490693106995821e+09,5.393234491348266602e-01,-2.045470476150512695e-01,-1.565866544842720032e-02,0.000000000000000000e+00
1.761490693127559423e+09,5.397687554359436035e-01,-2.024918645620346069e-01,-1.578997448086738586e-02,0.000000000000000000e+00
1.761490693146907806e+09,5.384191870689392090e-01,-2.016117721796035767e-01,-1.588438078761100769e-02,0.000000000000000000e+00
1.761490693167645693e+09,5.386008024215698242e-01,-2.017925679683685303e-01,-1.578185334801673889e-02,0.000000000000000000e+00
1.761490693186674833e+09,5.361105203628540039e-01,-2.032734751701354980e-01,-1.598710753023624420e-02,0.000000000000000000e+00
1.761490693207522154e+09,5.331383943557739258e-01,-2.049046456813812256e-01,-1.625590957701206207e-02,0.000000000000000000e+00
1.761490693226873159e+09,5.308196544647216797e-01,-2.061733305454254150e-01,-1.644139178097248077e-02,0.000000000000000000e+00
1.761490693249117374e+09,5.325792431831359863e-01,-2.059043794870376587e-01,-1.642223447561264038e-02,0.000000000000000000e+00
1.761490693266948223e+09,5.340122580528259277e-01,-2.066941410303115845e-01,-1.619193330407142639e-02,0.000000000000000000e+00
1.761490693287252665e+09,5.347237586975097656e-01,-2.055175453424453735e-01,-1.622289232909679413e-02,0.000000000000000000e+00
1.761490693306758165e+09,5.326120257377624512e-01,-2.052380144596099854e-01,-1.597865298390388489e-02,0.000000000000000000e+00
1.761490693327642918e+09,5.299642682075500488e-01,-2.051972597837448120e-01,-1.598099991679191589e-02,0.000000000000000000e+00
1.761490693346769810e+09,5.274254679679870605e-01,-2.056230604648590088e-01,-1.619112119078636169e-02,0.000000000000000000e+00
1.761490693367192507e+09,5.275266170501708984e-01,-2.038955986499786377e-01,-1.613415963947772980e-02,0.000000000000000000e+00
1.761490693386723042e+09,5.262112617492675781e-01,-2.042255699634552002e-01,-1.623364537954330444e-02,0.000000000000000000e+00
1.761490693407388926e+09,5.258887410163879395e-01,-2.051455676555633545e-01,-1.631421223282814026e-02,0.000000000000000000e+00
1.761490693427151680e+09,5.278753638267517090e-01,-2.052665203809738159e-01,-1.629646308720111847e-02,0.000000000000000000e+00
1.761490693447537184e+09,5.287473797798156738e-01,-2.059861123561859131e-01,-1.609630510210990906e-02,0.000000000000000000e+00
1.761490693466759205e+09,5.291390419006347656e-01,-2.065053284168243408e-01,-1.587720960378646851e-02,0.000000000000000000e+00
1.761490693487912655e+09,5.281664729118347168e-01,-2.070542722940444946e-01,-1.551872026175260544e-02,0.000000000000000000e+00
1.761490693506631136e+09,5.289517641067504883e-01,-2.046166807413101196e-01,-1.572984829545021057e-02,0.000000000000000000e+00
1.761490693527802706e+09,5.290195345878601074e-01,-2.039976567029953003e-01,-1.587396860122680664e-02,0.000000000000000000e+00
1.761490693546936750e+09,5.299162268638610840e-01,-2.030882537364959717e-01,-1.565411314368247986e-02,0.000000000000000000e+00
1.761490693567906857e+09,5.307695865631103516e-01,-2.016144096851348877e-01,-1.591409184038639069e-02,0.000000000000000000e+00
1.761490693586631298e+09,5.287899374961853027e-01,-2.034362703561782837e-01,-1.608661003410816193e-02,0.000000000000000000e+00
1.761490693607816696e+09,5.281085371971130371e-01,-2.047628164291381836e-01,-1.633947528898715973e-02,0.000000000000000000e+00
1.761490693626814127e+09,5.272915363311767578e-01,-2.054954916238784790e-01,-1.607431843876838684e-02,0.000000000000000000e+00
1.761490693647789717e+09,5.270025134086608887e-01,-2.065307050943374634e-01,-1.609090901911258698e-02,0.000000000000000000e+00
1.761490693666960955e+09,5.238796472549438477e-01,-2.069496512413024902e-01,-1.589455269277095795e-02,0.000000000000000000e+00
1.761490693688455105e+09,5.240760445594787598e-01,-2.075514197349548340e-01,-1.618813164532184601e-02,0.000000000000000000e+00
1.761490693706848621e+09,5.223486423492431641e-01,-2.076939642429351807e-01,-1.577818207442760468e-02,0.000000000000000000e+00
1.761490693727528334e+09,5.224520564079284668e-01,-2.075575441122055054e-01,-1.616942510008811951e-02,0.000000000000000000e+00
1.761490693746986151e+09,5.229232311248779297e-01,-2.080581039190292358e-01,-1.609368808567523956e-02,0.000000000000000000e+00
1.761490693767830372e+09,5.224785804748535156e-01,-2.081213146448135376e-01,-1.591244339942932129e-02,0.000000000000000000e+00
1.761490693787027121e+09,5.228728652000427246e-01,-2.055904567241668701e-01,-1.591450162231922150e-02,0.000000000000000000e+00
1.761490693808058023e+09,5.225391983985900879e-01,-2.041546106338500977e-01,-1.595002412796020508e-02,0.000000000000000000e+00
1.761490693827345133e+09,5.250865817070007324e-01,-2.034717351198196411e-01,-1.596966758370399475e-02,0.000000000000000000e+00
1.761490693847270727e+09,5.260574817657470703e-01,-2.051406502723693848e-01,-1.622454449534416199e-02,0.000000000000000000e+00
1.761490693867266417e+09,5.241733789443969727e-01,-2.053066045045852661e-01,-1.582966558635234833e-02,0.000000000000000000e+00
1.761490693887657166e+09,5.239847898483276367e-01,-2.057460695505142212e-01,-1.590884476900100708e-02,0.000000000000000000e+00
1.761490693906881571e+09,5.222023725509643555e-01,-2.073636502027511597e-01,-1.589100249111652374e-02,0.000000000000000000e+00
1.761490693928599358e+09,5.207901597023010254e-01,-2.078404277563095093e-01,-1.563305594027042389e-02,0.000000000000000000e+00
1.761490693946827888e+09,5.205596089363098145e-01,-2.084077000617980957e-01,-1.572396978735923767e-02,0.000000000000000000e+00
1.761490693967256784e+09,5.186174511909484863e-01,-2.097238898277282715e-01,-1.575920544564723969e-02,0.000000000000000000e+00
1.761490693986989975e+09,5.207408070564270020e-01,-2.077028006315231323e-01,-1.600565761327743530e-02,0.000000000000000000e+00
1.761490694007945061e+09,5.244510173797607422e-01,-2.062482237815856934e-01,-1.595954969525337219e-02,0.000000000000000000e+00
1.761490694026958227e+09,5.261556506156921387e-01,-2.052492499351501465e-01,-1.599281281232833862e-02,0.000000000000000000e+00
1.761490694047880888e+09,5.259763598442077637e-01,-2.038609087467193604e-01,-1.602282747626304626e-02,0.000000000000000000e+00
1.761490694067052364e+09,5.244727134704589844e-01,-2.040575444698333740e-01,-1.600662432610988617e-02,0.000000000000000000e+00
1.761490694087696075e+09,5.251632332801818848e-01,-2.050256580114364624e-01,-1.577069982886314392e-02,0.000000000000000000e+00
1.761490694106984854e+09,5.277193188667297363e-01,-2.046142518520355225e-01,-1.609423197805881500e-02,0.000000000000000000e+00
1.761490694127448559e+09,5.296247601509094238e-01,-2.049762755632400513e-01,-1.564520597457885742e-02,0.000000000000000000e+00
1.761490694146992207e+09,5.333627462387084961e-01,-2.049683332443237305e-01,-1.541773136705160141e-02,0.000000000000000000e+00
1.761490694167654991e+09,5.306760668754577637e-01,-2.053415030241012573e-01,-1.562525331974029541e-02,0.000000000000000000e+00
1.761490694187129736e+09,5.294804573059082031e-01,-2.056496739387512207e-01,-1.551373396068811417e-02,0.000000000000000000e+00
1.761490694207509756e+09,5.297473669052124023e-01,-2.070135027170181274e-01,-1.576812006533145905e-02,0.000000000000000000e+00
1.761490694227981329e+09,5.280061960220336914e-01,-2.080733329057693481e-01,-1.555830985307693481e-02,0.000000000000000000e+00
1.761490694247465849e+09,5.289856791496276855e-01,-2.092066258192062378e-01,-1.575382985174655914e-02,0.000000000000000000e+00
1.761490694267275572e+09,5.285753011703491211e-01,-2.100682109594345093e-01,-1.578014902770519257e-02,0.000000000000000000e+00
1.761490694288397312e+09,5.316236615180969238e-01,-2.095714956521987915e-01,-1.560084614902734756e-02,0.000000000000000000e+00
1.761490694307292461e+09,5.308500528335571289e-01,-2.080986201763153076e-01,-1.286665722727775574e-02,0.000000000000000000e+00
1.761490694327591181e+09,5.317560434341430664e-01,-2.098563015460968018e-01,-1.034259982407093048e-02,0.000000000000000000e+00
1.761490694347375870e+09,5.280691981315612793e-01,-2.122059166431427002e-01,-7.894197478890419006e-03,0.000000000000000000e+00
1.761490694367332220e+09,5.248517990112304688e-01,-2.134020775556564331e-01,-5.373531021177768707e-03,0.000000000000000000e+00
1.761490694387088537e+09,5.208013653755187988e-01,-2.177839428186416626e-01,-1.535657094791531563e-03,0.000000000000000000e+00
1.761490694407854080e+09,5.162231326103210449e-01,-2.219352871179580688e-01,1.464818022213876247e-03,0.000000000000000000e+00
1.761490694426845789e+09,5.113320350646972656e-01,-2.257250547409057617e-01,4.253702238202095032e-03,0.000000000000000000e+00
1.761490694448011637e+09,5.302402973175048828e-01,-2.199723869562149048e-01,-6.288119126111268997e-03,0.000000000000000000e+00
1.761490694466817141e+09,5.321624875068664551e-01,-2.185687422752380371e-01,-9.810452349483966827e-03,0.000000000000000000e+00
1.761490694488533497e+09,5.305190682411193848e-01,-2.175578474998474121e-01,-1.152585819363594055e-02,0.000000000000000000e+00
1.761490694506912470e+09,5.274338126182556152e-01,-2.166877985000610352e-01,-1.277072913944721222e-02,0.000000000000000000e+00
1.761490694528066635e+09,5.276361703872680664e-01,-2.147390097379684448e-01,-1.369930151849985123e-02,0.000000000000000000e+00
1.761490694547093868e+09,5.274198651313781738e-01,-2.127826213836669922e-01,-1.423780526965856552e-02,0.000000000000000000e+00
1.761490694567955971e+09,5.287424921989440918e-01,-2.129786759614944458e-01,-1.444918476045131683e-02,0.000000000000000000e+00
1.761490694586664915e+09,5.326099395751953125e-01,-2.099065035581588745e-01,-1.444285735487937927e-02,0.000000000000000000e+00
1.761490694607437372e+09,5.334987640380859375e-01,-2.073712795972824097e-01,-1.456912234425544739e-02,0.000000000000000000e+00
1.761490694627156258e+09,5.322020649909973145e-01,-2.060077488422393799e-01,-1.505271997302770615e-02,0.000000000000000000e+00
1.761490694647484064e+09,5.326294898986816406e-01,-2.062395811080932617e-01,-1.516989711672067642e-02,0.000000000000000000e+00
1.761490694667078733e+09,5.320781469345092773e-01,-2.069993168115615845e-01,-1.529948692768812180e-02,0.000000000000000000e+00
1.761490694688597441e+09,5.315454602241516113e-01,-2.080203890800476074e-01,-1.513835508376359940e-02,0.000000000000000000e+00
1.761490694707378149e+09,5.301557779312133789e-01,-2.080836743116378784e-01,-1.530411746352910995e-02,0.000000000000000000e+00
1.761490694727789640e+09,5.285114049911499023e-01,-2.098606973886489868e-01,-1.509238313883543015e-02,0.000000000000000000e+00
1.761490694747915983e+09,5.259575247764587402e-01,-2.097877562046051025e-01,-1.493607461452484131e-02,0.000000000000000000e+00
1.761490694767403126e+09,5.268042683601379395e-01,-2.094681710004806519e-01,-1.492952555418014526e-02,0.000000000000000000e+00
1.761490694787362576e+09,5.289525985717773438e-01,-2.081760168075561523e-01,-1.513975393027067184e-02,0.000000000000000000e+00
1.761490694808528185e+09,5.298017859458923340e-01,-2.066465020179748535e-01,-1.538939587771892548e-02,0.000000000000000000e+00
1.761490694827178955e+09,5.322844386100769043e-01,-2.057250738143920898e-01,-1.561969798058271408e-02,0.000000000000000000e+00
1.761490694847809076e+09,5.351210832595825195e-01,-2.070778161287307739e-01,-1.560036092996597290e-02,0.000000000000000000e+00
1.761490694866811275e+09,5.354790687561035156e-01,-2.072834968566894531e-01,-1.556204538792371750e-02,0.000000000000000000e+00
1.761490694887696743e+09,5.384774208068847656e-01,-2.067546993494033813e-01,-1.562065724283456802e-02,0.000000000000000000e+00
1.761490694907015800e+09,5.383005142211914062e-01,-2.075877189636230469e-01,-1.539383083581924438e-02,0.000000000000000000e+00
1.761490694927842855e+09,5.367277860641479492e-01,-2.064712047576904297e-01,-1.534192357212305069e-02,0.000000000000000000e+00
1.761490694947015047e+09,5.383338332176208496e-01,-2.063178569078445435e-01,-1.529416255652904510e-02,0.000000000000000000e+00
1.761490694968816757e+09,5.362861752510070801e-01,-2.060101181268692017e-01,-1.532504335045814514e-02,0.000000000000000000e+00
1.761490694986830473e+09,5.343430042266845703e-01,-2.076897025108337402e-01,-1.480848994106054306e-02,0.000000000000000000e+00
1.761490695008617878e+09,5.329815745353698730e-01,-2.093833237886428833e-01,-1.510722003877162933e-02,0.000000000000000000e+00
1.761490695027140379e+09,5.349364876747131348e-01,-2.093285471200942993e-01,-1.563835516571998596e-02,0.000000000000000000e+00
1.761490695047700405e+09,5.341137051582336426e-01,-2.087031155824661255e-01,-1.555579155683517456e-02,0.000000000000000000e+00
1.761490695067338943e+09,5.341168642044067383e-01,-2.084699273109436035e-01,-1.586488634347915649e-02,0.000000000000000000e+00
1.761490695087575197e+09,5.332562327384948730e-01,-2.077638357877731323e-01,-1.559792086482048035e-02,0.000000000000000000e+00
1.761490695107624054e+09,5.321204066276550293e-01,-2.073551714420318604e-01,-1.586811430752277374e-02,0.000000000000000000e+00
1.761490695127834320e+09,5.327149629592895508e-01,-2.068406194448471069e-01,-1.582682505249977112e-02,0.000000000000000000e+00
1.761490695147420406e+09,5.322772264480590820e-01,-2.071292251348495483e-01,-1.587646640837192535e-02,0.000000000000000000e+00
1.761490695167655945e+09,5.320137143135070801e-01,-2.065586745738983154e-01,-1.565435342490673065e-02,0.000000000000000000e+00
1.761490695187336445e+09,5.316898822784423828e-01,-2.069226205348968506e-01,-1.572871953248977661e-02,0.000000000000000000e+00
1.761490695207768440e+09,5.303087830543518066e-01,-2.079267948865890503e-01,-1.592433080077171326e-02,0.000000000000000000e+00
1.761490695227012157e+09,5.296345949172973633e-01,-2.085645645856857300e-01,-1.546239480376243591e-02,0.000000000000000000e+00
1.761490695248146534e+09,5.269846916198730469e-01,-2.071471065282821655e-01,-1.522706169635057449e-02,0.000000000000000000e+00
1.761490695266786575e+09,5.235272049903869629e-01,-2.063662856817245483e-01,-1.562085095793008804e-02,0.000000000000000000e+00
1.761490695288707256e+09,5.224838256835937500e-01,-2.062820643186569214e-01,-1.551865693181753159e-02,0.000000000000000000e+00
1.761490695307234526e+09,5.209147930145263672e-01,-2.064162790775299072e-01,-1.591565646231174469e-02,0.000000000000000000e+00
1.761490695327739954e+09,5.201089382171630859e-01,-2.063001543283462524e-01,-1.578415185213088989e-02,0.000000000000000000e+00
1.761490695346704006e+09,5.210174918174743652e-01,-2.062320411205291748e-01,-1.572871953248977661e-02,0.000000000000000000e+00
1.761490695367956161e+09,5.215643048286437988e-01,-2.058888226747512817e-01,-1.570573262870311737e-02,0.000000000000000000e+00
1.761490695386823654e+09,5.229355692863464355e-01,-2.078940421342849731e-01,-1.587441004812717438e-02,0.000000000000000000e+00
1.761490695408542633e+09,5.254655480384826660e-01,-2.074643969535827637e-01,-1.580668613314628601e-02,0.000000000000000000e+00
1.761490695427034378e+09,5.279062986373901367e-01,-2.074955701828002930e-01,-1.595580577850341797e-02,0.000000000000000000e+00
1.761490695447855473e+09,5.279807448387145996e-01,-2.057853043079376221e-01,-1.614748500287532806e-02,0.000000000000000000e+00
1.761490695466815233e+09,5.265403389930725098e-01,-2.055925726890563965e-01,-1.592507958412170410e-02,0.000000000000000000e+00
1.761490695488062382e+09,5.281925201416015625e-01,-2.062586396932601929e-01,-1.607496477663516998e-02,0.000000000000000000e+00
