# time,x,y,theta,velocity
1.761481263659558535e+09,1.092390343546867371e-01,2.802638292312622070e+00,-6.729976832866668701e-02,1.957272410392761230e+00
1.761481263679039240e+09,1.618059873580932617e-01,2.808916330337524414e+00,-5.933376401662826538e-02,1.957093238830566406e+00
1.761481263698116779e+09,1.999245584011077881e-01,2.812700986862182617e+00,-5.531664192676544189e-02,1.959306359291076660e+00
1.761481263718937159e+09,2.267272174358367920e-01,2.814133644104003906e+00,-5.487036705017089844e-02,1.961397528648376465e+00
1.761481263738385677e+09,2.762183248996734619e-01,2.815897941589355469e+00,-4.664364457130432129e-02,1.962192773818969727e+00
1.761481263758700132e+09,3.120974004268646240e-01,2.814718246459960938e+00,-4.244824498891830444e-02,1.962262034416198730e+00
1.761481263778283834e+09,3.492241203784942627e-01,2.810163497924804688e+00,-3.844284638762474060e-02,1.964438796043395996e+00
1.761481263799075365e+09,3.882840871810913086e-01,2.807518005371093750e+00,-3.321249783039093018e-02,1.965740203857421875e+00
1.761481263818743706e+09,4.303430020809173584e-01,2.806385755538940430e+00,-3.206380084156990051e-02,1.965934872627258301e+00
1.761481263838999033e+09,4.566049873828887939e-01,2.804995059967041016e+00,-3.063847497105598450e-02,1.964732527732849121e+00
1.761481263859119177e+09,5.206245183944702148e-01,2.819570302963256836e+00,-2.154440805315971375e-02,1.966449975967407227e+00
1.761481263878826857e+09,5.681617856025695801e-01,2.825259447097778320e+00,-1.683765091001987457e-02,1.967515707015991211e+00
1.761481263898150682e+09,6.175416707992553711e-01,2.824181556701660156e+00,-1.442061085253953934e-02,1.968271970748901367e+00
1.761481263918971539e+09,6.465809345245361328e-01,2.824062585830688477e+00,-1.592241786420345306e-02,1.970135450363159180e+00
1.761481263938259840e+09,6.865012049674987793e-01,2.820294380187988281e+00,-1.256048958748579025e-02,1.971894860267639160e+00
1.761481263959299088e+09,7.272544503211975098e-01,2.817841053009033203e+00,-1.102391723543405533e-02,1.971601963043212891e+00
1.761481263978668451e+09,7.648527026176452637e-01,2.814870834350585938e+00,-1.016789209097623825e-02,1.971308588981628418e+00
1.761481263999917507e+09,8.081535100936889648e-01,2.810344696044921875e+00,-7.702367380261421204e-03,1.972314238548278809e+00
1.761481264018859625e+09,8.352372050285339355e-01,2.806165695190429688e+00,-5.320971831679344177e-03,1.970496177673339844e+00
1.761481264038863659e+09,8.607093691825866699e-01,2.801633358001708984e+00,-2.320792526006698608e-03,1.964847445487976074e+00
1.761481264058350801e+09,9.054880142211914062e-01,2.798466205596923828e+00,1.517774653621017933e-03,1.962981939315795898e+00
1.761481264079351187e+09,9.471778869628906250e-01,2.796447038650512695e+00,3.571396460756659508e-03,1.964753389358520508e+00
1.761481264098258257e+09,9.788463711738586426e-01,2.794642686843872070e+00,4.705535247921943665e-03,1.962566852569580078e+00
1.761481264118809700e+09,9.950112700462341309e-01,2.791584730148315430e+00,5.522735416889190674e-03,1.956992626190185547e+00
1.761481264138225317e+09,1.065044403076171875e+00,2.803127288818359375e+00,1.303356420248746872e-02,1.959471106529235840e+00
1.761481264159455061e+09,1.122208118438720703e+00,2.805341482162475586e+00,1.499964762479066849e-02,1.959547281265258789e+00
1.761481264179023743e+09,1.153030157089233398e+00,2.804631233215332031e+00,1.610502414405345917e-02,1.960335016250610352e+00
1.761481264199626684e+09,1.185633540153503418e+00,2.804281711578369141e+00,1.606391929090023041e-02,1.961300492286682129e+00
1.761481264218780279e+09,1.218743920326232910e+00,2.805363178253173828e+00,1.550421956926584244e-02,1.955628156661987305e+00
1.761481264239154339e+09,1.260394930839538574e+00,2.805484771728515625e+00,1.514090131968259811e-02,1.958470106124877930e+00
1.761481264258311987e+09,1.301256775856018066e+00,2.802847146987915039e+00,1.421904936432838440e-02,1.959597587585449219e+00
1.761481264278792858e+09,1.341531515121459961e+00,2.800489664077758789e+00,1.325855124741792679e-02,1.961290955543518066e+00
1.761481264298504591e+09,1.367944955825805664e+00,2.799209594726562500e+00,1.164482440799474716e-02,1.963746309280395508e+00
1.761481264318426371e+09,1.406159400939941406e+00,2.798334360122680664e+00,9.524150751531124115e-03,1.966384291648864746e+00
1.761481264338049173e+09,1.432450175285339355e+00,2.796772003173828125e+00,9.333625435829162598e-03,1.963566660881042480e+00
1.761481264360057592e+09,1.463676095008850098e+00,2.794198751449584961e+00,9.142761118710041046e-03,1.965576767921447754e+00
1.761481264378853321e+09,1.505423188209533691e+00,2.791456460952758789e+00,8.954602293670177460e-03,1.965967297554016113e+00
1.761481264398537636e+09,1.571311593055725098e+00,2.805212497711181641e+00,1.174476090818643570e-02,1.967031121253967285e+00
1.761481264418340445e+09,1.621449947357177734e+00,2.809226989746093750e+00,1.117069087922573090e-02,1.959924340248107910e+00
1.761481264439093113e+09,1.663219094276428223e+00,2.808099985122680664e+00,8.793594315648078918e-03,1.957284569740295410e+00
1.761481264458458900e+09,1.703592538833618164e+00,2.802998065948486328e+00,5.959497299045324326e-03,1.958755612373352051e+00
1.761481264479571819e+09,1.748315095901489258e+00,2.800639629364013672e+00,3.530276240780949593e-03,1.956716299057006836e+00
1.761481264497977972e+09,1.777929544448852539e+00,2.800903558731079102e+00,-3.127048257738351822e-03,1.956256508827209473e+00
1.761481264519994974e+09,1.816580653190612793e+00,2.802763223648071289e+00,-7.687336765229701996e-03,1.958592772483825684e+00
1.761481264538679123e+09,1.855741500854492188e+00,2.798938512802124023e+00,-1.766431517899036407e-02,1.960407376289367676e+00
1.761481264559135437e+09,1.890304207801818848e+00,2.797390699386596680e+00,-2.745736017823219299e-02,1.960627555847167969e+00
1.761481264578683615e+09,1.932998299598693848e+00,2.796387195587158203e+00,-3.691878169775009155e-02,1.962554454803466797e+00
1.761481264598855972e+09,1.970615506172180176e+00,2.793677091598510742e+00,-4.642806574702262878e-02,1.963981628417968750e+00
