# time,x,y,theta,velocity
1.761481263586247921e+09,-7.367769479751586914e-01,-9.568861126899719238e-02,-3.120733737945556641e+00,1.300184607505798340e+00
1.761481263650879383e+09,-8.365375399589538574e-01,-4.667718708515167236e-02,3.132410287857055664e+00,1.476115703582763672e+00
1.761481263719254255e+09,-9.202860593795776367e-01,-6.190815567970275879e-02,3.127280712127685547e+00,1.330818772315979004e+00
1.761481263783108711e+09,-1.037471175193786621e+00,-6.696054339408874512e-02,3.124874353408813477e+00,1.552758455276489258e+00
1.761481263849709272e+09,-1.085816860198974609e+00,-1.224438939243555069e-02,3.084819078445434570e+00,1.304085135459899902e+00
1.761481263849709272e+09,-1.178892135620117188e+00,-2.301585301756858826e-02,3.089692115783691406e+00,1.373126506805419922e+00
1.761481263983057261e+09,-1.255540490150451660e+00,1.496554445475339890e-02,3.062966346740722656e+00,1.335505962371826172e+00
1.761481264050381422e+09,-1.323122024536132812e+00,3.118722524959594011e-04,3.058905601501464844e+00,1.186806201934814453e+00
1.761481264119132042e+09,-1.392160654067993164e+00,1.100033074617385864e-01,3.009034633636474609e+00,1.587806820869445801e+00
1.761481264183066607e+09,-1.549317121505737305e+00,8.613072335720062256e-02,3.009661674499511719e+00,1.942544817924499512e+00
1.761481264249728680e+09,-1.568320035934448242e+00,6.083960458636283875e-02,2.994940996170043945e+00,1.134500265121459961e+00
1.761481264318758011e+09,-1.637728571891784668e+00,3.503159433603286743e-02,2.980041265487670898e+00,1.206725120544433594e+00
1.761481264383082151e+09,-1.760632753372192383e+00,9.214016795158386230e-02,2.945790290832519531e+00,1.664034724235534668e+00
1.761481264449790001e+09,-1.820074915885925293e+00,7.992103695869445801e-02,2.916432619094848633e+00,1.221365809440612793e+00
1.761481264520497084e+09,-1.888031959533691406e+00,9.650231897830963135e-02,2.878427267074584961e+00,1.163847923278808594e+00
1.761481264583071470e+09,-1.821956396102905273e+00,8.230674266815185547e-02,2.852513790130615234e+00,1.125978946685791016e+00
1.761481264649946690e+09,-2.064429521560668945e+00,1.671905219554901123e-01,2.801149606704711914e+00,2.498636722564697266e+00
1.761481264719853878e+09,-1.996187448501586914e+00,1.147288978099822998e-01,2.788063287734985352e+00,1.714397549629211426e+00
1.761481264783124685e+09,-2.114426851272583008e+00,2.310417592525482178e-01,2.718168020248413086e+00,2.114196777343750000e+00
1.761481264849704266e+09,-2.245199203491210938e+00,2.316274642944335938e-01,2.678586959838867188e+00,2.036876678466796875e+00
1.761481264919133186e+09,-2.251343011856079102e+00,3.622419238090515137e-01,2.619409084320068359e+00,1.982785940170288086e+00
1.761481264983114958e+09,-2.311455726623535156e+00,4.517692029476165771e-01,2.557484865188598633e+00,1.812531948089599609e+00
1.761481265050263405e+09,-2.276352167129516602e+00,4.355195462703704834e-01,2.548108816146850586e+00,1.222687959671020508e+00
1.761481265119780064e+09,-2.389206886291503906e+00,4.336191415786743164e-01,2.518562793731689453e+00,1.547869682312011719e+00
1.761481265183119059e+09,-2.533702135086059570e+00,6.577608585357666016e-01,2.431469202041625977e+00,2.770002365112304688e+00
1.761481265249725103e+09,-2.435688972473144531e+00,6.485526561737060547e-01,2.405070066452026367e+00,1.938706278800964355e+00
1.761481265320065498e+09,-2.570779323577880859e+00,7.777720093727111816e-01,2.339808940887451172e+00,2.400776624679565430e+00
1.761481265383097410e+09,-2.698085784912109375e+00,8.912808299064636230e-01,2.262121915817260742e+00,2.473408937454223633e+00
1.761481265449734449e+09,-2.617556810379028320e+00,8.681769371032714844e-01,2.250237941741943359e+00,1.824548959732055664e+00
1.761481265519500971e+09,-2.761009931564331055e+00,9.271873831748962402e-01,2.205158710479736328e+00,2.157318830490112305e+00
1.761481265583046198e+09,-2.660076141357421875e+00,8.914640545845031738e-01,2.195480346679687500e+00,1.880566239356994629e+00
1.761481265649742126e+09,-2.660008668899536133e+00,1.000624895095825195e+00,2.154657840728759766e+00,1.773705482482910156e+00
1.761481265720758200e+09,-2.762607097625732422e+00,1.024760246276855469e+00,2.105881690979003906e+00,1.710042715072631836e+00
1.761481265783065796e+09,-2.650153636932373047e+00,1.090597391128540039e+00,2.098225116729736328e+00,1.847948074340820312e+00
1.761481265849690199e+09,-2.751710891723632812e+00,9.614137411117553711e-01,2.085455417633056641e+00,2.142259359359741211e+00
1.761481265919506550e+09,-2.768553256988525391e+00,1.055523157119750977e+00,2.033515930175781250e+00,1.739729166030883789e+00
1.761481265984742403e+09,-2.761435508728027344e+00,1.219732522964477539e+00,1.953408360481262207e+00,2.136640787124633789e+00
1.761481266049675703e+09,-2.735506296157836914e+00,1.181833744049072266e+00,1.962954401969909668e+00,1.386633992195129395e+00
1.761481266120147467e+09,-2.746624946594238281e+00,1.208398938179016113e+00,1.922179102897644043e+00,9.828433990478515625e-01
1.761481266183210373e+09,-2.810030698776245117e+00,1.422284722328186035e+00,1.829905152320861816e+00,2.268407106399536133e+00
1.761481266249679804e+09,-2.773805379867553711e+00,1.560646414756774902e+00,1.777425169944763184e+00,2.062404155731201172e+00
1.761481266319230795e+09,-2.907458305358886719e+00,1.660373568534851074e+00,1.643956899642944336e+00,2.223659515380859375e+00
1.761481266383067369e+09,-2.957360982894897461e+00,1.727071166038513184e+00,1.569327950477600098e+00,1.728810310363769531e+00
1.761481266450054407e+09,-2.920809030532836914e+00,1.802596807479858398e+00,1.506584525108337402e+00,1.548928260803222656e+00
1.761481266520555019e+09,-2.793186426162719727e+00,1.906863451004028320e+00,1.414330124855041504e+00,2.067437648773193359e+00
1.761481266583152771e+09,-2.820074319839477539e+00,1.967126607894897461e+00,1.348615884780883789e+00,1.471497178077697754e+00
