# x,y,theta,velocity
3.114104032516479492e+00,2.558003902435302734e+00,-4.183350205421447754e-01,1.966001510620117188e+00
3.204108953475952148e+00,2.515606164932250977e+00,-4.625117480754852295e-01,1.941059589385986328e+00
3.292098045349121094e+00,2.469171524047851562e+00,-5.090671181678771973e-01,1.917242169380187988e+00
3.377768039703369141e+00,2.418587684631347656e+00,-5.580836534500122070e-01,1.894641995429992676e+00
3.460786342620849609e+00,2.363762378692626953e+00,-6.096568703651428223e-01,1.873380899429321289e+00
3.572369337081909180e+00,2.389457464218139648e+00,-8.550591468811035156e-01,1.284894585609436035e+00
3.631575822830200195e+00,2.308988809585571289e+00,-9.891240596771240234e-01,1.364106416702270508e+00
3.681990385055541992e+00,2.222748994827270508e+00,-1.081839799880981445e+00,1.453285932540893555e+00
3.725340604782104492e+00,2.132755279541015625e+00,-1.153478264808654785e+00,1.551549673080444336e+00
3.762922763824462891e+00,2.040205955505371094e+00,-1.211094021797180176e+00,1.650369763374328613e+00
3.795636415481567383e+00,1.945829749107360840e+00,-1.259402036666870117e+00,1.747409462928771973e+00
3.824110031127929688e+00,1.850104212760925293e+00,-1.301103711128234863e+00,1.841503381729125977e+00
3.848855972290039062e+00,1.753303408622741699e+00,-1.338808655738830566e+00,1.931908369064331055e+00
3.870042562484741211e+00,1.655673384666442871e+00,-1.376288890838623047e+00,1.990567088127136230e+00
3.887439250946044922e+00,1.557447075843811035e+00,-1.416320919990539551e+00,1.908965587615966797e+00
3.900723934173583984e+00,1.458638548851013184e+00,-1.460141777992248535e+00,1.824539780616760254e+00
3.909477949142456055e+00,1.359094142913818359e+00,-1.510027289390563965e+00,1.739717483520507812e+00
3.912883996963500977e+00,1.258782148361206055e+00,-1.571214556694030762e+00,1.659932255744934082e+00
3.909393787384033203e+00,1.158106207847595215e+00,-1.652566432952880859e+00,1.593795061111450195e+00
3.896445989608764648e+00,1.058203816413879395e+00,-1.764285802841186523e+00,1.549739241600036621e+00
3.870785236358642578e+00,9.610639214515686035e-01,-1.910725235939025879e+00,1.529680848121643066e+00
3.829665899276733398e+00,8.693763017654418945e-01,-2.084406614303588867e+00,1.525750875473022461e+00
3.772205114364624023e+00,7.863100171089172363e-01,-2.269787073135375977e+00,1.525750875473022461e+00
3.699975013732910156e+00,7.150860428810119629e-01,-2.454001188278198242e+00,1.525750875473022461e+00
3.616186618804931641e+00,6.581728458404541016e-01,-2.629273891448974609e+00,1.530509948730468750e+00
3.524482727050781250e+00,6.163880228996276855e-01,-2.786642551422119141e+00,1.545687675476074219e+00
3.427973747253417969e+00,5.884120464324951172e-01,-2.915658712387084961e+00,1.577867507934570312e+00
3.328973054885864258e+00,5.714485049247741699e-01,-3.011464834213256836e+00,1.631775975227355957e+00
3.229032516479492188e+00,5.623771548271179199e-01,-3.078533649444580078e+00,1.705713033676147461e+00
3.129005193710327148e+00,5.588219761848449707e-01,-3.127093791961669922e+00,1.792281985282897949e+00
3.029192686080932617e+00,5.594794750213623047e-01,3.117023468017578125e+00,1.883081674575805664e+00
2.929581642150878906e+00,5.637226700782775879e-01,3.083199024200439453e+00,1.972953319549560547e+00
2.830081939697265625e+00,5.711195468902587891e-01,3.054239749908447266e+00,2.000000000000000000e+00
2.730673551559448242e+00,5.811421871185302734e-01,3.030973434448242188e+00,2.000000000000000000e+00
2.631395578384399414e+00,5.931881070137023926e-01,3.013564348220825195e+00,2.000000000000000000e+00
2.532301425933837891e+00,6.066791415214538574e-01,3.001264572143554688e+00,2.000000000000000000e+00
2.433412551879882812e+00,6.211545467376708984e-01,2.992785692214965820e+00,2.000000000000000000e+00
2.334701538085937500e+00,6.363022923469543457e-01,2.986936807632446289e+00,2.000000000000000000e+00
2.236109495162963867e+00,6.519142389297485352e-01,2.983016252517700195e+00,2.000000000000000000e+00
2.137567043304443359e+00,6.678279042243957520e-01,2.980848312377929688e+00,2.000000000000000000e+00
2.039016008377075195e+00,6.838716268539428711e-01,2.980628967285156250e+00,2.000000000000000000e+00
1.940419316291809082e+00,6.998384594917297363e-01,2.982612371444702148e+00,2.000000000000000000e+00
1.841755032539367676e+00,7.154991626739501953e-01,2.986902475357055664e+00,2.000000000000000000e+00
1.743007540702819824e+00,7.306220531463623047e-01,2.993424415588378906e+00,2.000000000000000000e+00
1.644159436225891113e+00,7.449926733970642090e-01,3.001984596252441406e+00,2.000000000000000000e+00
1.545187592506408691e+00,7.584201693534851074e-01,3.012451648712158203e+00,2.000000000000000000e+00
1.446066617965698242e+00,7.707177400588989258e-01,3.024918794631958008e+00,2.000000000000000000e+00
1.346776485443115234e+00,7.816751599311828613e-01,3.039745092391967773e+00,2.000000000000000000e+00
1.247308850288391113e+00,7.910310029983520508e-01,3.057481288909912109e+00,2.000000000000000000e+00
1.147672772407531738e+00,7.984616160392761230e-01,3.078556299209594727e+00,2.000000000000000000e+00
1.047895669937133789e+00,8.036179542541503906e-01,3.102921724319458008e+00,2.000000000000000000e+00
9.480224251747131348e-01,8.061860799789428711e-01,3.129932403564453125e+00,2.000000000000000000e+00
8.481142520904541016e-01,8.059476017951965332e-01,-3.124746561050415039e+00,2.000000000000000000e+00
7.482463121414184570e-01,8.028203248977661133e-01,-3.096003532409667969e+00,2.000000000000000000e+00
6.485005021095275879e-01,7.968410849571228027e-01,-3.067968368530273438e+00,2.000000000000000000e+00
5.489563345909118652e-01,7.881211638450622559e-01,-3.041144132614135742e+00,2.000000000000000000e+00
4.496819674968719482e-01,7.768025994300842285e-01,-3.015687465667724609e+00,2.000000000000000000e+00
3.507288694381713867e-01,7.630305886268615723e-01,-2.991633653640747070e+00,2.000000000000000000e+00
2.521322965621948242e-01,7.469542026519775391e-01,-2.969064474105834961e+00,2.000000000000000000e+00
1.539132595062255859e-01,7.287333607673645020e-01,-2.948134422302246094e+00,2.000000000000000000e+00
5.608016997575759888e-02,7.085459232330322266e-01,-2.929041862487792969e+00,2.000000000000000000e+00
-4.137050360441207886e-02,6.865890622138977051e-01,-2.911980867385864258e+00,2.000000000000000000e+00
-1.384549587965011597e-01,6.630764603614807129e-01,-2.897116184234619141e+00,2.000000000000000000e+00
-2.352029085159301758e-01,6.382343769073486328e-01,-2.884584188461303711e+00,2.000000000000000000e+00
-3.316581547260284424e-01,6.122986674308776855e-01,-2.874514818191528320e+00,2.000000000000000000e+00
-4.278777539730072021e-01,5.855156779289245605e-01,-2.867057561874389648e+00,2.000000000000000000e+00
-5.239303112030029297e-01,5.581458210945129395e-01,-2.862392663955688477e+00,2.000000000000000000e+00
-6.198941469192504883e-01,5.304667949676513672e-01,-2.860730409622192383e+00,2.000000000000000000e+00
-7.158557176589965820e-01,5.027775764465332031e-01,-2.862309455871582031e+00,2.000000000000000000e+00
-8.119076490402221680e-01,4.754014611244201660e-01,-2.867396354675292969e+00,2.000000000000000000e+00
-9.081475138664245605e-01,4.486895203590393066e-01,-2.876286745071411133e+00,2.000000000000000000e+00
-1.004674911499023438e+00,4.230245351791381836e-01,-2.889312505722045898e+00,2.000000000000000000e+00
-1.101586103439331055e+00,3.988264501094818115e-01,-2.906849384307861328e+00,2.000000000000000000e+00
-1.198966503143310547e+00,3.765592277050018311e-01,-2.929317951202392578e+00,2.000000000000000000e+00
-1.296882390975952148e+00,3.567358851432800293e-01,-2.957152843475341797e+00,2.000000000000000000e+00
-1.395368456840515137e+00,3.399184346199035645e-01,-2.990765810012817383e+00,2.000000000000000000e+00
-1.494413375854492188e+00,3.267149031162261963e-01,-3.030524730682373047e+00,2.000000000000000000e+00
-1.593945384025573730e+00,3.177717626094818115e-01,-3.076671838760375977e+00,2.000000000000000000e+00
-1.693814992904663086e+00,3.137513697147369385e-01,-3.129227876663208008e+00,2.000000000000000000e+00
-1.793777942657470703e+00,3.153007328510284424e-01,3.095254421234130859e+00,2.000000000000000000e+00
-1.893485426902770996e+00,3.230103552341461182e-01,3.031070470809936523e+00,2.000000000000000000e+00
-1.992492198944091797e+00,3.373529314994812012e-01,2.962590694427490234e+00,2.000000000000000000e+00
-2.090271234512329102e+00,3.586164712905883789e-01,2.891422748565673828e+00,2.000000000000000000e+00
-2.186249732971191406e+00,3.868624567985534668e-01,2.819308519363403320e+00,2.000000000000000000e+00
-2.279883623123168945e+00,4.219330847263336182e-01,2.747991800308227539e+00,2.000000000000000000e+00
-2.370740890502929688e+00,4.634761214256286621e-01,2.679124593734741211e+00,2.000000000000000000e+00
-2.458565950393676758e+00,5.110109448432922363e-01,2.613958358764648438e+00,2.000000000000000000e+00
-2.543228149414062500e+00,5.639919638633728027e-01,2.553255558013916016e+00,2.000000000000000000e+00
-2.624655961990356445e+00,6.218180060386657715e-01,2.497395753860473633e+00,2.000000000000000000e+00
-2.702884912490844727e+00,6.839081048965454102e-01,2.448154687881469727e+00,2.000000000000000000e+00
-2.790893793106079102e+00,7.775140404701232910e-01,2.058268547058105469e+00,1.872026324272155762e+00
-2.834677457809448242e+00,8.668433427810668945e-01,1.994883775711059570e+00,1.862560510635375977e+00
-2.872740030288696289e+00,9.587565064430236816e-01,1.932004094123840332e+00,1.851621031761169434e+00
-2.904966115951538086e+00,1.052875161170959473e+00,1.869382143020629883e+00,1.839364171028137207e+00
-2.931241273880004883e+00,1.148825287818908691e+00,1.806771278381347656e+00,1.825949668884277344e+00
-2.951452016830444336e+00,1.246233344078063965e+00,1.743923544883728027e+00,1.811543107032775879e+00
-2.965482711791992188e+00,1.344721436500549316e+00,1.680585980415344238e+00,1.796318769454956055e+00
-2.973216533660888672e+00,1.443902373313903809e+00,1.616498470306396484e+00,1.780462384223937988e+00
-2.974534273147583008e+00,1.543375015258789062e+00,1.551390528678894043e+00,1.764174461364746094e+00
-2.969314813613891602e+00,1.642718791961669922e+00,1.484978318214416504e+00,1.747922420501708984e+00
-2.957437515258789062e+00,1.741487145423889160e+00,1.416961073875427246e+00,1.732053756713867188e+00
-2.938783645629882812e+00,1.839201211929321289e+00,1.347017288208007812e+00,1.716922640800476074e+00
-2.913240432739257812e+00,1.935343384742736816e+00,1.274801254272460938e+00,1.702943444252014160e+00
-2.880705833435058594e+00,2.029348373413085938e+00,1.199936509132385254e+00,1.690613627433776855e+00
-2.841096162796020508e+00,2.120595932006835938e+00,1.122017264366149902e+00,1.680515408515930176e+00
-2.794353961944580078e+00,2.208401441574096680e+00,1.040580272674560547e+00,1.673411726951599121e+00
-2.740462541580200195e+00,2.292006254196166992e+00,9.551848769187927246e-01,1.670025348663330078e+00
-2.679484844207763672e+00,2.370588779449462891e+00,8.660013675689697266e-01,1.670025348663330078e+00
-2.611719846725463867e+00,2.443400382995605469e+00,7.772997021675109863e-01,1.670025348663330078e+00
-2.537934541702270508e+00,2.510108947753906250e+00,6.938647627830505371e-01,1.674356818199157715e+00
-2.459022045135498047e+00,2.570672273635864258e+00,6.162366867065429688e-01,1.684267640113830566e+00
-2.375793218612670898e+00,2.625158071517944336e+00,5.438885688781738281e-01,1.698585748672485352e+00
-2.288961887359619141e+00,2.673702955245971680e+00,4.764650166034698486e-01,1.716577529907226562e+00
-2.199153900146484375e+00,2.716497182846069336e+00,4.136286377906799316e-01,1.737691640853881836e+00
-2.106914520263671875e+00,2.753767728805541992e+00,3.550677001476287842e-01,1.761420488357543945e+00
-2.012714624404907227e+00,2.785768032073974609e+00,3.005399107933044434e-01,1.787410974502563477e+00
-1.916961431503295898e+00,2.812772512435913086e+00,2.498511672019958496e-01,1.815407752990722656e+00
-1.820002555847167969e+00,2.835071086883544922e+00,2.028495222330093384e-01,1.845236301422119141e+00
-1.722133636474609375e+00,2.852965116500854492e+00,1.594177633523941040e-01,1.876786947250366211e+00
-1.623602867126464844e+00,2.866765499114990234e+00,1.194681525230407715e-01,1.910001993179321289e+00
-1.524615406990051270e+00,2.876789331436157227e+00,8.293846994638442993e-02,1.944868087768554688e+00
-1.425337910652160645e+00,2.883359432220458984e+00,4.978810623288154602e-02,1.981409430503845215e+00
