# time,x,y,theta,velocity
1.761393803790760994e+09,3.315057754516601562e+00,2.427956104278564453e+00,-5.130077600479125977e-01,1.248114943504333496e+00
1.761393803811173677e+09,3.333894252777099609e+00,2.415750980377197266e+00,-5.208759903907775879e-01,1.264268279075622559e+00
1.761393803830770731e+09,3.356890916824340820e+00,2.399751901626586914e+00,-5.383587479591369629e-01,1.278502106666564941e+00
1.761393803851793051e+09,3.371310710906982422e+00,2.387599229812622070e+00,-5.499173998832702637e-01,1.286880254745483398e+00
1.761393803871215582e+09,3.392403125762939453e+00,2.370397567749023438e+00,-5.638422369956970215e-01,1.290922045707702637e+00
1.761393803890624762e+09,3.408686637878417969e+00,2.360172510147094727e+00,-5.744941234588623047e-01,1.291977763175964355e+00
1.761393803911353827e+09,3.426705121994018555e+00,2.345398426055908203e+00,-5.882558822631835938e-01,1.293332695960998535e+00
1.761393803931454182e+09,3.440086126327514648e+00,2.327382802963256836e+00,-6.012026071548461914e-01,1.302464842796325684e+00
1.761393803951059341e+09,3.454550504684448242e+00,2.324651718139648438e+00,-6.222513318061828613e-01,1.311978101730346680e+00
1.761393803971258402e+09,3.469618558883666992e+00,2.311444282531738281e+00,-6.428886055946350098e-01,1.322478532791137695e+00
1.761393803990979910e+09,3.482182741165161133e+00,2.293737888336181641e+00,-6.579052209854125977e-01,1.347573757171630859e+00
1.761393804010968208e+09,3.503684043884277344e+00,2.262234687805175781e+00,-6.787869930267333984e-01,1.368179559707641602e+00
1.761393804030708075e+09,3.524667501449584961e+00,2.242388963699340820e+00,-6.883845925331115723e-01,1.390958189964294434e+00
1.761393804051130056e+09,3.538497924804687500e+00,2.227165222167968750e+00,-7.004478573799133301e-01,1.406049013137817383e+00
1.761393804070474863e+09,3.550548315048217773e+00,2.199424266815185547e+00,-7.187708020210266113e-01,1.423972487449645996e+00
1.761393804091171026e+09,3.565848350524902344e+00,2.176210165023803711e+00,-7.327526807785034180e-01,1.438911914825439453e+00
1.761393804110535383e+09,3.580173969268798828e+00,2.154858112335205078e+00,-7.429672479629516602e-01,1.455822110176086426e+00
