# time,x,y,theta,velocity
1.761393803790760994e+09,4.081696033477783203e+00,9.711621999740600586e-01,-1.700547814369201660e+00,1.282548546791076660e+00
1.761393803811173677e+09,4.060791492462158203e+00,9.460463523864746094e-01,-1.736373066902160645e+00,1.280136346817016602e+00
1.761393803830770731e+09,4.046001911163330078e+00,9.219638109207153320e-01,-1.763898491859436035e+00,1.279579639434814453e+00
1.761393803851793051e+09,4.037923336029052734e+00,9.070189595222473145e-01,-1.777711153030395508e+00,1.277093410491943359e+00
1.761393803871215582e+09,4.036475181579589844e+00,8.658183217048645020e-01,-1.813471674919128418e+00,1.273699522018432617e+00
1.761393803890624762e+09,4.034649848937988281e+00,8.344525098800659180e-01,-1.839673995971679688e+00,1.272815465927124023e+00
1.761393803911353827e+09,4.032656669616699219e+00,8.172176480293273926e-01,-1.857778429985046387e+00,1.272260785102844238e+00
1.761393803931454182e+09,4.034083843231201172e+00,7.911000251770019531e-01,-1.875148177146911621e+00,1.271983623504638672e+00
1.761393803951059341e+09,4.022213459014892578e+00,7.625622749328613281e-01,-1.905184626579284668e+00,1.269271492958068848e+00
1.761393803971258402e+09,4.016537189483642578e+00,7.278166413307189941e-01,-1.925386190414428711e+00,1.267737507820129395e+00
1.761393803990979910e+09,4.016961574554443359e+00,6.932865381240844727e-01,-1.944866895675659180e+00,1.265869736671447754e+00
1.761393804010968208e+09,4.005074501037597656e+00,6.760022044181823730e-01,-1.981007814407348633e+00,1.265348792076110840e+00
1.761393804030708075e+09,3.988903284072875977e+00,6.450104117393493652e-01,-2.011317968368530273e+00,1.264758825302124023e+00
1.761393804051130056e+09,3.975752830505371094e+00,6.193121671676635742e-01,-2.034649610519409180e+00,1.264079689979553223e+00
1.761393804070474863e+09,3.945853233337402344e+00,5.981303453445434570e-01,-2.076907873153686523e+00,1.263260245323181152e+00
1.761393804091171026e+09,3.926682949066162109e+00,5.843172073364257812e-01,-2.100469350814819336e+00,1.260826706886291504e+00
1.761393804110535383e+09,3.911915779113769531e+00,5.660818219184875488e-01,-2.118351936340332031e+00,1.256671190261840820e+00
1.761393804132394791e+09,3.903730392456054688e+00,5.515369772911071777e-01,-2.129868030548095703e+00,1.248518109321594238e+00
1.761393804150787354e+09,3.883203983306884766e+00,5.406979918479919434e-01,-2.160386562347412109e+00,1.248640179634094238e+00
1.761393804171573400e+09,3.863765478134155273e+00,5.334525108337402344e-01,-2.172669887542724609e+00,1.247818827629089355e+00
1.761393804191626310e+09,3.853121757507324219e+00,5.282264351844787598e-01,-2.178249359130859375e+00,1.247979760169982910e+00
1.761393804211165190e+09,3.816639423370361328e+00,5.185789465904235840e-01,-2.210933685302734375e+00,1.246717810630798340e+00
1.761393804231148005e+09,3.786353349685668945e+00,4.949227273464202881e-01,-2.235692501068115234e+00,1.242620587348937988e+00
1.761393804251373768e+09,3.759064912796020508e+00,4.763995110988616943e-01,-2.248735189437866211e+00,1.239097237586975098e+00
1.761393804270658731e+09,3.730439186096191406e+00,4.587328433990478516e-01,-2.271599531173706055e+00,1.239705085754394531e+00
1.761393804292166710e+09,3.704774379730224609e+00,4.398608505725860596e-01,-2.282769680023193359e+00,1.231003284454345703e+00
1.761393804311048508e+09,3.684525728225708008e+00,4.188641309738159180e-01,-2.291575193405151367e+00,1.227440118789672852e+00
1.761393804332364798e+09,3.667329072952270508e+00,3.987246453762054443e-01,-2.299653768539428711e+00,1.228181838989257812e+00
1.761393804351036787e+09,3.642564296722412109e+00,3.764642775058746338e-01,-2.328333854675292969e+00,1.227417826652526855e+00
1.761393804371411085e+09,3.615046501159667969e+00,3.578149378299713135e-01,-2.345061063766479492e+00,1.228720784187316895e+00
1.761393804391013384e+09,3.593231916427612305e+00,3.416875302791595459e-01,-2.354410171508789062e+00,1.230480790138244629e+00
1.761393804410921574e+09,3.570019960403442383e+00,3.330591619014739990e-01,-2.366902828216552734e+00,1.232328772544860840e+00
1.761393804430658102e+09,3.553362846374511719e+00,3.211772739887237549e-01,-2.376329660415649414e+00,1.234373688697814941e+00
1.761393804450879097e+09,3.539499998092651367e+00,3.081336319446563721e-01,-2.384810924530029297e+00,1.235063910484313965e+00
1.761393804470640421e+09,3.516974210739135742e+00,3.076068460941314697e-01,-2.399129390716552734e+00,1.236716508865356445e+00
1.761393804491905212e+09,3.493726491928100586e+00,3.071634471416473389e-01,-2.406761646270751953e+00,1.237125158309936523e+00
1.761393804510687590e+09,3.472943544387817383e+00,3.036027252674102783e-01,-2.412240028381347656e+00,1.238524794578552246e+00
1.761393804531331539e+09,3.454111337661743164e+00,2.977841198444366455e-01,-2.416205883026123047e+00,1.238872408866882324e+00
1.761393804550533772e+09,3.429361581802368164e+00,2.752187848091125488e-01,-2.433007240295410156e+00,1.240178585052490234e+00
1.761393804571344137e+09,3.406164407730102539e+00,2.627031505107879639e-01,-2.437360286712646484e+00,1.242901802062988281e+00
1.761393804590661526e+09,3.389367341995239258e+00,2.546631693840026855e-01,-2.438757419586181641e+00,1.244099020957946777e+00
1.761393804612070560e+09,3.371400117874145508e+00,2.499261796474456787e-01,-2.452038764953613281e+00,1.246159076690673828e+00
1.761393804630449057e+09,3.355505943298339844e+00,2.397182136774063110e-01,-2.464022159576416016e+00,1.245765924453735352e+00
1.761393804652154684e+09,3.338036298751831055e+00,2.245951294898986816e-01,-2.475254535675048828e+00,1.246696591377258301e+00
1.761393804670485258e+09,3.312820196151733398e+00,1.992470026016235352e-01,-2.492289543151855469e+00,1.247256278991699219e+00
1.761393804692119360e+09,3.291978359222412109e+00,1.766654253005981445e-01,-2.503064155578613281e+00,1.249226212501525879e+00
1.761393804850699902e+09,3.126523733139038086e+00,5.685237795114517212e-02,-2.583380699157714844e+00,1.269722819328308105e+00
1.761393804870874643e+09,3.100694656372070312e+00,3.946428373456001282e-02,-2.608941316604614258e+00,1.272285342216491699e+00
1.761393804890895605e+09,3.078331232070922852e+00,2.662815898656845093e-02,-2.624522209167480469e+00,1.276096343994140625e+00
1.761393804911264658e+09,3.055600643157958984e+00,1.171445939689874649e-02,-2.637079238891601562e+00,1.280299901962280273e+00
1.761393804931121111e+09,3.039150238037109375e+00,-5.450726021081209183e-03,-2.647863626480102539e+00,1.285433888435363770e+00
1.761393804951725960e+09,3.003712415695190430e+00,6.089810281991958618e-03,-2.664037704467773438e+00,1.288372039794921875e+00
1.761393804971155167e+09,2.974377155303955078e+00,7.051527500152587891e-03,-2.674102067947387695e+00,1.291872382164001465e+00
1.761393804990489006e+09,2.947885274887084961e+00,1.342625357210636139e-03,-2.680955171585083008e+00,1.297127008438110352e+00
1.761393805011044502e+09,2.928079605102539062e+00,-1.515778154134750366e-02,-2.710718870162963867e+00,1.301138043403625488e+00
1.761393805030643463e+09,2.908175945281982422e+00,-2.554496377706527710e-02,-2.726629972457885742e+00,1.304271459579467773e+00
1.761393805051229477e+09,2.887887001037597656e+00,-3.935727849602699280e-02,-2.739273786544799805e+00,1.307625293731689453e+00
1.761393805070533276e+09,2.861543893814086914e+00,-3.509883210062980652e-02,-2.758107900619506836e+00,1.313995718955993652e+00
1.761393805092126608e+09,2.833346843719482422e+00,-3.237725049257278442e-02,-2.769703149795532227e+00,1.318728804588317871e+00
1.761393805111403942e+09,2.810669898986816406e+00,-3.516436368227005005e-02,-2.778167963027954102e+00,1.325048923492431641e+00
1.761393805131589890e+09,2.786389589309692383e+00,-4.001849517226219177e-02,-2.784046888351440430e+00,1.329708218574523926e+00
1.761393805151316881e+09,2.751065492630004883e+00,-7.326948642730712891e-02,-2.808035373687744141e+00,1.333525180816650391e+00
1.761393805172042131e+09,2.714660406112670898e+00,-9.203144162893295288e-02,-2.819010257720947266e+00,1.336054325103759766e+00
1.761393805190591812e+09,2.686075448989868164e+00,-1.032164171338081360e-01,-2.825967788696289062e+00,1.342162728309631348e+00
1.761393805211043835e+09,2.660635232925415039e+00,-1.083386838436126709e-01,-2.835875034332275391e+00,1.347196102142333984e+00
1.761393805230910778e+09,2.637660026550292969e+00,-1.146888062357902527e-01,-2.843755006790161133e+00,1.350531101226806641e+00
1.761393805250895977e+09,2.615844488143920898e+00,-1.202405616641044617e-01,-2.849979162216186523e+00,1.355755686759948730e+00
1.761393805270638466e+09,2.593461990356445312e+00,-1.282587051391601562e-01,-2.871245145797729492e+00,1.363193392753601074e+00
1.761393805291363239e+09,2.572664737701416016e+00,-1.359032839536666870e-01,-2.886000633239746094e+00,1.369369029998779297e+00
1.761393805310968161e+09,2.549254179000854492e+00,-1.439807713031768799e-01,-2.895835399627685547e+00,1.375071048736572266e+00
1.761393805332576752e+09,2.529977560043334961e+00,-1.511317938566207886e-01,-2.902974605560302734e+00,1.380637764930725098e+00
