# time,x,y,theta,velocity
1.761393803732587099e+09,4.046778202056884766e+00,1.065251708030700684e+00,-1.675932049751281738e+00,1.499001026153564453e+00
1.761393803795691490e+09,4.030246257781982422e+00,1.005865573883056641e+00,-1.653049111366271973e+00,1.252303600311279297e+00
1.761393803795691490e+09,4.064876079559326172e+00,9.066388607025146484e-01,-1.606844902038574219e+00,1.451264023780822754e+00
1.761393803931862116e+09,4.014783382415771484e+00,7.210807800292968750e-01,-1.931780338287353516e+00,2.157055377960205078e+00
1.761393803995438337e+09,3.955763339996337891e+00,6.829066872596740723e-01,-1.998708248138427734e+00,1.498328328132629395e+00
1.761393804061946630e+09,3.908692836761474609e+00,6.036430597305297852e-01,-2.062238693237304688e+00,1.481341123580932617e+00
1.761393804132737875e+09,3.821262121200561523e+00,3.982460796833038330e-01,-2.291314125061035156e+00,2.461082220077514648e+00
1.761393804195279121e+09,3.756408452987670898e+00,3.825234472751617432e-01,-2.324618577957153320e+00,1.601533055305480957e+00
1.761393804261938810e+09,3.648265600204467773e+00,2.739708125591278076e-01,-2.455263137817382812e+00,1.999261498451232910e+00
1.761393804333063602e+09,3.583355188369750977e+00,2.498872429132461548e-01,-2.468203783035278320e+00,1.523159742355346680e+00
1.761393804395302773e+09,3.522573471069335938e+00,1.627045720815658569e-01,-2.457576036453247070e+00,1.595637559890747070e+00
1.761393804461925745e+09,3.471511363983154297e+00,4.900315776467323303e-02,-2.405491590499877930e+00,1.754701614379882812e+00
1.761393804531619310e+09,3.427822113037109375e+00,2.780558541417121887e-02,-2.432946443557739258e+00,1.215512514114379883e+00
1.761393804595278025e+09,3.376780748367309570e+00,-5.339279770851135254e-03,-2.484067440032958984e+00,1.125484943389892578e+00
1.761393804661948442e+09,3.318647146224975586e+00,-3.539254888892173767e-02,-2.549439430236816406e+00,1.101509809494018555e+00
1.761393804732066154e+09,3.243463039398193359e+00,-5.525379627943038940e-02,-2.654065132141113281e+00,1.143177866935729980e+00
1.761393804795283556e+09,3.181367635726928711e+00,-1.133514270186424255e-01,-2.663931608200073242e+00,1.205404877662658691e+00
1.761393804861941814e+09,3.109348773956298828e+00,-1.047663018107414246e-01,-2.773745059967041016e+00,1.135593414306640625e+00
1.761393804931429863e+09,3.052258729934692383e+00,-1.390710771083831787e-01,-2.762687921524047852e+00,1.072486162185668945e+00
