# time,x,y,theta,velocity
1.761523522439219713e+09,2.915354490280151367e+00,-3.523456305265426636e-02,-2.706903934478759766e+00,1.213562726974487305e+00
1.761523522459824562e+09,2.881586074829101562e+00,-5.002836138010025024e-02,-2.712525844573974609e+00,1.218607664108276367e+00
1.761523522479671717e+09,2.863822937011718750e+00,-4.455574601888656616e-02,-2.730843067169189453e+00,1.223130583763122559e+00
1.761523522499608040e+09,2.847659349441528320e+00,-4.988152533769607544e-02,-2.744890689849853516e+00,1.226631999015808105e+00
1.761523522520168066e+09,2.833895444869995117e+00,-6.088674813508987427e-02,-2.757602214813232422e+00,1.231518387794494629e+00
1.761523522539846659e+09,2.809128046035766602e+00,-4.993261024355888367e-02,-2.771924018859863281e+00,1.236047625541687012e+00
1.761523522559601784e+09,2.782547235488891602e+00,-4.378812760114669800e-02,-2.780148267745971680e+00,1.243655920028686523e+00
1.761523522579952955e+09,2.759122610092163086e+00,-4.218518733978271484e-02,-2.784576177597045898e+00,1.248507380485534668e+00
1.761523522599028826e+09,2.726198673248291016e+00,-7.072024792432785034e-02,-2.811335563659667969e+00,1.254385352134704590e+00
1.761523522619820356e+09,2.690983057022094727e+00,-8.556352555751800537e-02,-2.821850061416625977e+00,1.262089252471923828e+00
1.761523522638915300e+09,2.665226697921752930e+00,-9.481821209192276001e-02,-2.829193115234375000e+00,1.268965601921081543e+00
1.761523522660000324e+09,2.643788099288940430e+00,-1.012697666883468628e-01,-2.834377765655517578e+00,1.274155974388122559e+00
1.761523522678925514e+09,2.621869087219238281e+00,-1.131228655576705933e-01,-2.855094194412231445e+00,1.280189514160156250e+00
1.761523522701035738e+09,2.604015588760375977e+00,-1.313951760530471802e-01,-2.873467445373535156e+00,1.285985350608825684e+00
1.761523522719807863e+09,2.587630271911621094e+00,-1.453247368335723877e-01,-2.884951591491699219e+00,1.290305972099304199e+00
1.761523522739838123e+09,2.564631223678588867e+00,-1.551197320222854614e-01,-2.902042865753173828e+00,1.294566988945007324e+00
1.761523522759121418e+09,2.542555809020996094e+00,-1.724570840597152710e-01,-2.915101289749145508e+00,1.299703359603881836e+00
1.761523522780530930e+09,2.521078824996948242e+00,-1.906095147132873535e-01,-2.925151586532592773e+00,1.302920460700988770e+00
1.761523522799018145e+09,2.492560625076293945e+00,-1.706235259771347046e-01,-2.936271905899047852e+00,1.304699301719665527e+00
1.761523522819150925e+09,2.464802265167236328e+00,-1.657791882753372192e-01,-2.942181110382080078e+00,1.308347821235656738e+00
1.761523522839073896e+09,2.437245845794677734e+00,-1.677210032939910889e-01,-2.947118282318115234e+00,1.313692808151245117e+00
1.761523522859503031e+09,2.415553331375122070e+00,-1.691412478685379028e-01,-2.950723648071289062e+00,1.316798210144042969e+00
1.761523522879141569e+09,2.388874292373657227e+00,-1.680860817432403564e-01,-2.957357406616210938e+00,1.318681597709655762e+00
1.761523522899697304e+09,2.363743782043457031e+00,-1.705286204814910889e-01,-2.962513685226440430e+00,1.321578741073608398e+00
1.761523522919735909e+09,2.337471961975097656e+00,-1.742852628231048584e-01,-2.965332984924316406e+00,1.325775742530822754e+00
1.761523522939248800e+09,2.319395780563354492e+00,-1.729558408260345459e-01,-2.978707313537597656e+00,1.328476905822753906e+00
1.761523522959155560e+09,2.299391269683837891e+00,-1.736945360898971558e-01,-2.987783670425415039e+00,1.330279231071472168e+00
1.761523522979426861e+09,2.280748367309570312e+00,-1.744545400142669678e-01,-2.992738723754882812e+00,1.334495425224304199e+00
