# time,x,y,theta
1.761182078901826143e+09,-2.166954517364501953e+00,1.879243254661560059e-01,2.653679132461547852e+00
1.761182078968400717e+09,-2.253190517425537109e+00,2.415177077054977417e-01,2.596091985702514648e+00
1.761182079038272381e+09,-2.335163354873657227e+00,2.999424040317535400e-01,2.535477399826049805e+00
1.761182079101742506e+09,-2.402080297470092773e+00,3.536818325519561768e-01,2.483537435531616211e+00
1.761182079168445826e+09,-2.476145982742309570e+00,4.204303026199340820e-01,2.423234701156616211e+00
1.761182079237205505e+09,-2.545852661132812500e+00,4.913963079452514648e-01,2.363110542297363281e+00
1.761182079301835299e+09,-2.602045536041259766e+00,5.554184913635253906e-01,2.311695098876953125e+00
1.761182079368470907e+09,-2.662898540496826172e+00,6.338579058647155762e-01,2.247571229934692383e+00
1.761182079437345982e+09,-2.718002319335937500e+00,7.162772417068481445e-01,2.179161548614501953e+00
1.761182079501758575e+09,-2.760478258132934570e+00,7.896372079849243164e-01,2.120077848434448242e+00
1.761182079568729401e+09,-2.804503440856933594e+00,8.778884410858154297e-01,2.053388357162475586e+00
1.761182079638299704e+09,-2.843073606491088867e+00,9.681659936904907227e-01,1.992679834365844727e+00
1.761182079702600956e+09,-2.871379137039184570e+00,1.047023296356201172e+00,1.938641309738159180e+00
1.761182079768419743e+09,-2.898160934448242188e+00,1.140431642532348633e+00,1.871307373046875000e+00
1.761182079837290764e+09,-2.918328046798706055e+00,1.234873652458190918e+00,1.803719520568847656e+00
1.761182079901839972e+09,-2.930359840393066406e+00,1.316185712814331055e+00,1.746046066284179688e+00
1.761182079968525410e+09,-2.938397645950317383e+00,1.411070823669433594e+00,1.679657220840454102e+00
1.761182080037499905e+09,-2.939971685409545898e+00,1.505467414855957031e+00,1.613223671913146973e+00
1.761182080101924658e+09,-2.936295986175537109e+00,1.585681557655334473e+00,1.556726336479187012e+00
1.761182080168427944e+09,-2.926301479339599609e+00,1.678097844123840332e+00,1.491313338279724121e+00
1.761182080237300158e+09,-2.910348653793334961e+00,1.768858194351196289e+00,1.426304221153259277e+00
1.761182080301864624e+09,-2.892112493515014648e+00,1.844998121261596680e+00,1.371075749397277832e+00
1.761182080368490696e+09,-2.865704774856567383e+00,1.931714892387390137e+00,1.307167768478393555e+00
1.761182080436972380e+09,-2.833871126174926758e+00,2.015864133834838867e+00,1.242428064346313477e+00
1.761182080501886129e+09,-2.801923751831054688e+00,2.085381746292114258e+00,1.182415843009948730e+00
1.761182080568468094e+09,-2.759478807449340820e+00,2.163298845291137695e+00,1.111656665802001953e+00
1.761182080637103796e+09,-2.711802005767822266e+00,2.237582206726074219e+00,1.041219472885131836e+00
1.761182080701731443e+09,-2.666980266571044922e+00,2.298198938369750977e+00,9.810639619827270508e-01
1.761182080768732786e+09,-2.610294342041015625e+00,2.365184068679809570e+00,9.110577106475830078e-01
1.761182080837085247e+09,-2.549099922180175781e+00,2.427977085113525391e+00,8.412461876869201660e-01
1.761182080901784658e+09,-2.493478298187255859e+00,2.478508949279785156e+00,7.843590974807739258e-01
1.761182080968440771e+09,-2.425446987152099609e+00,2.533853292465209961e+00,7.221678495407104492e-01
1.761182081037169456e+09,-2.354080915451049805e+00,2.585021257400512695e+00,6.604408621788024902e-01
1.761182081101835966e+09,-2.290362358093261719e+00,2.625425577163696289e+00,6.075425744056701660e-01
1.761182081168485641e+09,-2.213132619857788086e+00,2.668429851531982422e+00,5.457167029380798340e-01
1.761182081237950087e+09,-2.133001804351806641e+00,2.707026481628417969e+00,4.856486320495605469e-01
1.761182081302145004e+09,-2.062343835830688477e+00,2.737028360366821289e+00,4.383556544780731201e-01
1.761182081368472099e+09,-1.977614879608154297e+00,2.768204927444458008e+00,3.836627602577209473e-01
1.761182081437222004e+09,-1.890520095825195312e+00,2.795173168182373047e+00,3.299640119075775146e-01
1.761182081501740217e+09,-1.814219236373901367e+00,2.815413236618041992e+00,2.884976267814636230e-01
1.761182081568525553e+09,-1.723213195800781250e+00,2.835516691207885742e+00,2.409708648920059204e-01
1.761182081637270212e+09,-1.630219578742980957e+00,2.852046966552734375e+00,1.971032619476318359e-01
1.761182081701772213e+09,-1.549049377441406250e+00,2.863665103912353516e+00,1.625725179910659790e-01
1.761182081768546343e+09,-1.452565908432006836e+00,2.873979806900024414e+00,1.223486810922622681e-01
1.761182081837541819e+09,-1.354231238365173340e+00,2.880944967269897461e+00,8.477145433425903320e-02
1.761182081901805401e+09,-1.268532752990722656e+00,2.884678125381469727e+00,5.647067725658416748e-02
1.761182081968462944e+09,-1.167150378227233887e+00,2.886303901672363281e+00,2.514352835714817047e-02
1.761182082037093639e+09,-1.064715385437011719e+00,2.885668992996215820e+00,6.283161640167236328e+00
1.761182082101808310e+09,-9.763469696044921875e-01,2.883257389068603516e+00,6.262636184692382812e+00
1.761182082168490171e+09,-8.728213310241699219e-01,2.878401517868041992e+00,6.240942478179931641e+00
1.761182082237462997e+09,-7.689794898033142090e-01,2.872104644775390625e+00,6.225213527679443359e+00
1.761182082301808834e+09,-6.798094511032104492e-01,2.865737676620483398e+00,6.214913845062255859e+00
1.761182082368448019e+09,-5.756175518035888672e-01,2.857892513275146484e+00,6.208699226379394531e+00
1.761182082437587976e+09,-4.713168442249298096e-01,2.849534511566162109e+00,6.203729152679443359e+00
1.761182082501744270e+09,-3.818551003932952881e-01,2.842072486877441406e+00,6.200867176055908203e+00
1.761182082568416595e+09,-2.773719429969787598e-01,2.833849430084228516e+00,6.203938961029052734e+00
1.761182082638110161e+09,-1.727950870990753174e-01,2.826119184494018555e+00,6.208508491516113281e+00
1.761182082701767206e+09,-8.309752494096755981e-02,2.819883346557617188e+00,6.212632656097412109e+00
1.761182082768431187e+09,2.162795886397361755e-02,2.813400030136108398e+00,6.220666408538818359e+00
1.761182082838892698e+09,1.264601200819015503e-01,2.808489799499511719e+00,6.234211921691894531e+00
1.761182082901829720e+09,2.163767516613006592e-01,2.805479288101196289e+00,6.246544361114501953e+00
1.761182082968487978e+09,3.213134109973907471e-01,2.802742242813110352e+00,6.255611896514892578e+00
1.761182083037336826e+09,4.262688159942626953e-01,2.800458192825317383e+00,6.260997772216796875e+00
1.761182083101796389e+09,5.162433385848999023e-01,2.798918008804321289e+00,6.265219211578369141e+00
1.761182083168452263e+09,6.212246417999267578e-01,2.797605276107788086e+00,6.270106792449951172e+00
1.761182083237450361e+09,7.262140512466430664e-01,2.796800851821899414e+00,6.274919986724853516e+00
1.761182083301810980e+09,8.162088990211486816e-01,2.796520233154296875e+00,6.279073238372802734e+00
1.761182083368459702e+09,9.212047457695007324e-01,2.796668291091918945e+00,7.660206174477934837e-04
1.761182083438378572e+09,1.026199817657470703e+00,2.797320127487182617e+00,5.579831078648567200e-03
1.761182083501738071e+09,1.116192817687988281e+00,2.798286437988281250e+00,9.733807295560836792e-03
1.761182083568379402e+09,1.221179008483886719e+00,2.799888610839843750e+00,1.461254246532917023e-02
1.761182083637420654e+09,1.326167345046997070e+00,2.801369428634643555e+00,1.400881353765726089e-02
1.761182083701766491e+09,1.416162848472595215e+00,2.802194118499755859e+00,1.039934251457452774e-02
1.761182083768429279e+09,1.521160960197448730e+00,2.802696466445922852e+00,5.616581067442893982e-03
1.761182083837559223e+09,1.626159191131591797e+00,2.802361488342285156e+00,6.280721187591552734e+00
1.761182083901810646e+09,1.716145277023315430e+00,2.800828695297241211e+00,6.269265174865722656e+00
1.761182083968493700e+09,1.821095705032348633e+00,2.797638654708862305e+00,6.254941463470458984e+00
1.761182084037285805e+09,1.925989031791687012e+00,2.792932510375976562e+00,6.240388870239257812e+00
1.761182084101793289e+09,2.015827894210815430e+00,2.787572383880615234e+00,6.226627826690673828e+00
1.761182084168450832e+09,2.120470046997070312e+00,2.778943538665771484e+00,6.204165935516357422e+00
1.761182084236972094e+09,2.224873542785644531e+00,2.767791271209716797e+00,6.180203437805175781e+00
1.761182084301790714e+09,2.314126491546630859e+00,2.756231546401977539e+00,6.159457683563232422e+00
1.761182084368549824e+09,2.417923450469970703e+00,2.740401029586791992e+00,6.135074615478515625e+00
1.761182084436985731e+09,2.521164417266845703e+00,2.721291542053222656e+00,6.104292392730712891e+00
1.761182084501769781e+09,2.609094858169555664e+00,2.702116966247558594e+00,6.075620651245117188e+00
1.761182084568614960e+09,2.710928201675415039e+00,2.676545143127441406e+00,6.041797637939453125e+00
1.761182084637042761e+09,2.811837196350097656e+00,2.647539377212524414e+00,6.007845401763916016e+00
1.761182084701807022e+09,2.897403717041015625e+00,2.619658470153808594e+00,5.975603103637695312e+00
1.761182084768533230e+09,2.995805263519287109e+00,2.583046913146972656e+00,5.932971477508544922e+00
1.761182084837446928e+09,3.092453241348266602e+00,2.542227745056152344e+00,5.889495849609375000e+00
1.761182084901966810e+09,3.173398971557617188e+00,2.504109621047973633e+00,5.852079391479492188e+00
1.761182084968498945e+09,3.264588356018066406e+00,2.455830812454223633e+00,5.803161621093750000e+00
1.761182085037339926e+09,3.351996421813964844e+00,2.403299808502197266e+00,5.751169204711914062e+00
1.761182085101794004e+09,3.423745870590209961e+00,2.355201482772827148e+00,5.706667900085449219e+00
1.761182085168463945e+09,3.503595352172851562e+00,2.295799016952514648e+00,5.655308723449707031e+00
1.761182085236846924e+09,3.579178333282470703e+00,2.232740640640258789e+00,5.601414680480957031e+00
1.761182085301731586e+09,3.640100240707397461e+00,2.175626754760742188e+00,5.551291942596435547e+00
1.761182085368429899e+09,3.706713438034057617e+00,2.105726957321166992e+00,5.492567062377929688e+00
1.761182085437521696e+09,3.768423557281494141e+00,2.032615423202514648e+00,5.433627605438232422e+00
1.761182085501768351e+09,3.816899538040161133e+00,1.967193841934204102e+00,5.378312110900878906e+00
1.761182085568467855e+09,3.868198871612548828e+00,1.887894988059997559e+00,5.312348365783691406e+00
1.761182085637777090e+09,3.913838624954223633e+00,1.805726647377014160e+00,5.246397495269775391e+00
1.761182085701690435e+09,3.948428153991699219e+00,1.733243703842163086e+00,5.190110683441162109e+00
1.761182085768408298e+09,3.983446836471557617e+00,1.646556138992309570e+00,5.124640464782714844e+00
1.761182085838381052e+09,4.012606620788574219e+00,1.557985544204711914e+00,5.059255123138427734e+00
1.761182085901778698e+09,4.032870769500732422e+00,1.480887174606323242e+00,5.003232479095458984e+00
1.761182085968431473e+09,4.050205230712890625e+00,1.389810919761657715e+00,4.932027339935302734e+00
1.761182086036941290e+09,4.060589313507080078e+00,1.298137784004211426e+00,4.858868122100830078e+00
1.761182086101749659e+09,4.064042091369628906e+00,1.219480514526367188e+00,4.796183109283447266e+00
1.761182086168405056e+09,4.061791419982910156e+00,1.128094553947448730e+00,4.723302841186523438e+00
1.761182086237057447e+09,4.052906990051269531e+00,1.037684559822082520e+00,4.650823593139648438e+00
1.761182086301756144e+09,4.040121078491210938e+00,9.613116383552551270e-01,4.589034080505371094e+00
1.761182086368503094e+09,4.019337654113769531e+00,8.738885521888732910e-01,4.517283439636230469e+00
1.761182086436901093e+09,3.992448329925537109e+00,7.886568903923034668e-01,4.445952415466308594e+00
1.761182086501704216e+09,3.964708805084228516e+00,7.176483869552612305e-01,4.385095119476318359e+00
1.761182086568408966e+09,3.927049398422241211e+00,6.374093294143676758e-01,4.314354896545410156e+00
1.761182086637451887e+09,3.883887052536010742e+00,5.602181553840637207e-01,4.243909835815429688e+00
1.761182086701823711e+09,3.842662096023559570e+00,4.966847598552703857e-01,4.183605194091796875e+00
1.761182086768399000e+09,3.789833545684814453e+00,4.258905351161956787e-01,4.113263607025146484e+00
1.761182086837266207e+09,3.732156276702880859e+00,3.589780628681182861e-01,4.043002128601074219e+00
1.761182086901745319e+09,3.679039478302001953e+00,3.049312233924865723e-01,3.982738256454467773e+00
1.761182086968459606e+09,3.613272905349731445e+00,2.456096857786178589e-01,3.916343450546264648e+00
1.761182087036772728e+09,3.543870925903320312e+00,1.901298612356185913e-01,3.853619337081909180e+00
1.761182087102050304e+09,3.481506109237670898e+00,1.458494961261749268e-01,3.800082445144653320e+00
1.761182087168583870e+09,3.405809640884399414e+00,9.768881648778915405e-02,3.742447614669799805e+00
1.761182087237059593e+09,3.327098846435546875e+00,5.316051840782165527e-02,3.687495470046997070e+00
1.761182087301797152e+09,3.257230997085571289e+00,1.810325868427753448e-02,3.640306949615478516e+00
1.761182087368466377e+09,3.173066854476928711e+00,-1.917885243892669678e-02,3.586955308914184570e+00
1.761182087436862230e+09,3.086399078369140625e+00,-5.306544899940490723e-02,3.538573265075683594e+00
1.761182087501744032e+09,3.010098457336425781e+00,-7.921431958675384521e-02,3.497502803802490234e+00
1.761182087568444490e+09,2.918875694274902344e+00,-1.067449375987052917e-01,3.454358100891113281e+00
1.761182087637615681e+09,2.825414419174194336e+00,-1.312043666839599609e-01,3.413960456848144531e+00
1.761182087701761484e+09,2.743534088134765625e+00,-1.495134532451629639e-01,3.379360437393188477e+00
1.761182087768461704e+09,2.646007061004638672e+00,-1.683750152587890625e-01,3.344715595245361328e+00
1.761182087836920977e+09,2.546505212783813477e+00,-1.845141500234603882e-01,3.312021017074584961e+00
1.761182087901782990e+09,2.459909200668334961e+00,-1.962010711431503296e-01,3.286147356033325195e+00
1.761182087968525410e+09,2.357806205749511719e+00,-2.078889608383178711e-01,3.261245012283325195e+00
1.761182088036730051e+09,2.254820823669433594e+00,-2.172897458076477051e-01,3.237333297729492188e+00
1.761182088101804256e+09,2.166023969650268555e+00,-2.234547734260559082e-01,3.216949224472045898e+00
1.761182088168418169e+09,2.062022209167480469e+00,-2.291640788316726685e-01,3.199465274810791016e+00
1.761182088237575769e+09,1.957708120346069336e+00,-2.334274053573608398e-01,3.184576749801635742e+00
