# time,x,y,theta
1.761199130546509743e+09,-2.605463981628417969e+00,5.608471035957336426e-01,2.307191371917724609e+00
1.761199130611372709e+09,-2.657834053039550781e+00,6.279317736625671387e-01,2.254533767700195312e+00
1.761199130677952051e+09,-2.713628053665161133e+00,7.099149227142333984e-01,2.186990022659301758e+00
1.761199130747076750e+09,-2.763460874557495117e+00,7.953629493713378906e-01,2.118195295333862305e+00
1.761199130811357975e+09,-2.801239013671875000e+00,8.709284067153930664e-01,2.059179306030273438e+00
1.761199130877884865e+09,-2.839852571487426758e+00,9.612290859222412109e-01,1.994710206985473633e+00
1.761199130947346210e+09,-2.872919797897338867e+00,1.053127050399780273e+00,1.934646487236022949e+00
1.761199131011247396e+09,-2.896180152893066406e+00,1.133107185363769531e+00,1.878881812095642090e+00
1.761199131077968359e+09,-2.917095184326171875e+00,1.227346658706665039e+00,1.811542153358459473e+00
1.761199131146644354e+09,-2.931416749954223633e+00,1.322144389152526855e+00,1.744328260421752930e+00
1.761199131211377144e+09,-2.938482284545898438e+00,1.403393268585205078e+00,1.686980366706848145e+00
1.761199131277966261e+09,-2.940739154815673828e+00,1.497802972793579102e+00,1.620536208152770996e+00
1.761199131346488476e+09,-2.936690568923950195e+00,1.591414451599121094e+00,1.554652690887451172e+00
1.761199131411292076e+09,-2.928326606750488281e+00,1.670641660690307617e+00,1.498514652252197266e+00
1.761199131477905273e+09,-2.913032770156860352e+00,1.761496067047119141e+00,1.433530926704406738e+00
1.761199131551149368e+09,-2.891985654830932617e+00,1.850399136543273926e+00,1.369150876998901367e+00
1.761199131612168789e+09,-2.869511842727661133e+00,1.924894332885742188e+00,1.314314007759094238e+00
1.761199131678017139e+09,-2.838106870651245117e+00,2.009175062179565430e+00,1.247759819030761719e+00
1.761199131746516466e+09,-2.800747632980346680e+00,2.090255022048950195e+00,1.177015423774719238e+00
1.761199131811239481e+09,-2.764314174652099609e+00,2.157048463821411133e+00,1.116296291351318359e+00
1.761199131878065586e+09,-2.716953516006469727e+00,2.231598854064941406e+00,1.045802831649780273e+00
1.761199131946445227e+09,-2.664635419845581055e+00,2.302285909652709961e+00,9.755609631538391113e-01
1.761199132011296034e+09,-2.616028070449829102e+00,2.359673500061035156e+00,9.155951738357543945e-01
1.761199132077907085e+09,-2.555120468139648438e+00,2.422743558883666992e+00,8.457857370376586914e-01
1.761199132146851540e+09,-2.490257740020751953e+00,2.481723785400390625e+00,7.799397110939025879e-01
1.761199132211266279e+09,-2.431956529617309570e+00,2.529174089431762695e+00,7.267101407051086426e-01
1.761199132278005123e+09,-2.360843420028686523e+00,2.580650806427001953e+00,6.649908423423767090e-01
1.761199132346967459e+09,-2.286492347717285156e+00,2.627815246582031250e+00,6.033135652542114258e-01
1.761199132411247015e+09,-2.220288991928100586e+00,2.664691925048828125e+00,5.502769947052001953e-01
1.761199132477879047e+09,-2.140379667282104492e+00,2.703630924224853516e+00,4.902253448963165283e-01
1.761199132547120094e+09,-2.057994127273559570e+00,2.738687992095947266e+00,4.351293444633483887e-01
1.761199132611206055e+09,-1.985418200492858887e+00,2.765458583831787109e+00,3.883143067359924316e-01
1.761199132677987337e+09,-1.898561239242553711e+00,2.792789697647094727e+00,3.346746265888214111e-01
1.761199132747150660e+09,-1.809646010398864746e+00,2.816514968872070312e+00,2.865042984485626221e-01
1.761199132811232328e+09,-1.731728792190551758e+00,2.833840608596801758e+00,2.458047866821289062e-01
1.761199132877972603e+09,-1.638949513435363770e+00,2.850538015365600586e+00,2.000636309385299683e-01
1.761199132947291613e+09,-1.544330358505249023e+00,2.864011287689208984e+00,1.593616604804992676e-01
1.761199133011198997e+09,-1.461720347404479980e+00,2.872807025909423828e+00,1.249013543128967285e-01
1.761199133077953577e+09,-1.363645076751708984e+00,2.880280971527099609e+00,8.953542262315750122e-02
1.761199133147211313e+09,-1.263789296150207520e+00,2.884937286376953125e+00,5.707382783293724060e-02
1.761199133211255789e+09,-1.176963925361633301e+00,2.886487483978271484e+00,2.925962582230567932e-02
1.761199133277980566e+09,-1.074655055999755859e+00,2.885999917984008789e+00,2.260989043861627579e-03
1.761199133346560955e+09,-9.716061949729919434e-01,2.883221149444580078e+00,6.261326789855957031e+00
