# time,x,y,theta,velocity
1.761327419071909666e+09,-2.983414095716757419e+00,1.625516523428176985e+00,1.488815020321662574e+00,1.782183432174508031e+00
1.761327419099881649e+09,-2.979589192672524867e+00,1.660887799770968121e+00,1.464460805869822080e+00,1.775984312926847331e+00
1.761327419115459442e+09,-2.974904092133973776e+00,1.696053033035407998e+00,1.440103734457904849e+00,1.771919079055128687e+00
1.761327419133605480e+09,-2.969364442849347085e+00,1.731010762272563674e+00,1.415781987012314946e+00,1.766162057912909589e+00
1.761327419152755499e+09,-2.962987880057402101e+00,1.765685550169949325e+00,1.391454663791669377e+00,1.759883537694262090e+00
1.761327419173284054e+09,-2.955777523111462468e+00,1.800091549857969042e+00,1.367192611756797849e+00,1.755766234568217454e+00
1.761327419192374468e+09,-2.947739516511060476e+00,1.834228890790419175e+00,1.343008468530505928e+00,1.750047985976292741e+00
1.761327419213145733e+09,-2.938897220725743775e+00,1.868026188801617860e+00,1.318847243177772244e+00,1.743853941122432749e+00
1.761327419232611418e+09,-2.929247668568813356e+00,1.901481288996025532e+00,1.294626748926878790e+00,1.736914096669859076e+00
1.761327419255088806e+09,-2.918724762835407383e+00,1.934510296020081288e+00,1.269326059436717502e+00,1.730032558564334799e+00
1.761327419272443056e+09,-2.907333866058205984e+00,1.967130773222896645e+00,1.243360834197273057e+00,1.725519810756384942e+00
1.761327419293040514e+09,-2.895100745600692971e+00,1.999311639566637266e+00,1.216999709702988541e+00,1.717748484475839055e+00
1.761327419312192917e+09,-2.882044151365660056e+00,2.031029714687652810e+00,1.190437689105863672e+00,1.712652234902034776e+00
1.761327419332653999e+09,-2.868164227940832145e+00,2.062304955195887857e+00,1.163829409984473040e+00,1.709310236537673777e+00
1.761327419352106810e+09,-2.853484104082297801e+00,2.093102594742276779e+00,1.137194650810395391e+00,1.702874415713358403e+00
1.761327419372296095e+09,-2.838022472068552293e+00,2.123397117801806289e+00,1.110574288453760383e+00,1.698653958619039228e+00
1.761327419391959667e+09,-2.821779631638695385e+00,2.153201376722319260e+00,1.084025034644827024e+00,1.695886283978736753e+00
1.761327419412395239e+09,-2.804779111046118878e+00,2.182485372682764435e+00,1.057520365990659572e+00,1.690595260358262575e+00
1.761327419431678057e+09,-2.787040556717497619e+00,2.211226520069805801e+00,1.031067414827144590e+00,1.687125533840881708e+00
1.761327419452722073e+09,-2.768566195171044964e+00,2.239432427121390567e+00,1.004695916300163638e+00,1.684850170325430607e+00
1.761327419471780777e+09,-2.749377688992489688e+00,2.267080798263332309e+00,9.783788660563970119e-01,1.680912784051054487e+00
1.761327419492185354e+09,-2.729446975941930642e+00,2.294118536583069634e+00,9.514368320407158297e-01,1.678330740472093963e+00
1.761327419511694431e+09,-2.708744073346964321e+00,2.320516003497498758e+00,9.236034145384006688e-01,1.676637498158775719e+00
1.761327419532250166e+09,-2.687297034157552833e+00,2.346260522712080299e+00,8.952415719503726832e-01,1.674361437875341529e+00
1.761327419551874161e+09,-2.665121598270405290e+00,2.371330472880948559e+00,8.664553515187888300e-01,1.672868852075869661e+00
