# time,x,y,theta,velocity
1.761334028390076876e+09,3.103765249252319336e+00,8.468715101480484009e-02,-2.641225337982177734e+00,8.242915272712707520e-01
1.761334028452737808e+09,3.085470914840698242e+00,1.254849135875701904e-01,-2.653910875320434570e+00,7.167599201202392578e-01
1.761334028519252300e+09,2.992744445800781250e+00,1.038780212402343750e-01,-2.716105937957763672e+00,1.214739561080932617e+00
1.761334028588648319e+09,3.019994735717773438e+00,7.507861405611038208e-02,-2.618929386138916016e+00,7.807283401489257812e-01
1.761334028588648319e+09,2.907305240631103516e+00,8.574406057596206665e-02,-2.700281620025634766e+00,1.422747015953063965e+00
1.761334028719628096e+09,2.942874193191528320e+00,4.824733734130859375e-02,-2.641599893569946289e+00,9.694982171058654785e-01
1.761334028789135695e+09,2.884976625442504883e+00,-3.486737608909606934e-02,-2.658879518508911133e+00,1.354421496391296387e+00
1.761334028852641582e+09,2.670585393905639648e+00,-8.161279559135437012e-02,-2.814481735229492188e+00,2.710321903228759766e+00
1.761334028919344187e+09,2.693106412887573242e+00,-4.589184373617172241e-02,-2.812608003616333008e+00,1.256487369537353516e+00
1.761334028987847328e+09,2.786689758300781250e+00,-1.373769063502550125e-02,-2.733130693435668945e+00,1.415954828262329102e+00
1.761334029052614927e+09,2.726679086685180664e+00,-4.451541230082511902e-02,-2.970814466476440430e+00,1.132936239242553711e+00
1.761334029119367599e+09,2.687836170196533203e+00,3.770292387343943119e-04,-2.832520008087158203e+00,9.632056951522827148e-01
1.761334029188901901e+09,2.645612478256225586e+00,-1.074000354856252670e-02,-2.847926616668701172e+00,7.474178671836853027e-01
1.761334029252602577e+09,2.602345705032348633e+00,-2.588965743780136108e-02,-2.854214429855346680e+00,7.055706381797790527e-01
1.761334029319263697e+09,2.484544992446899414e+00,-8.269479125738143921e-02,-2.892773389816284180e+00,1.584878802299499512e+00
1.761334029387867212e+09,2.443856000900268555e+00,-5.388150364160537720e-02,-2.929334163665771484e+00,9.989708065986633301e-01
1.761334029452682018e+09,2.437360286712646484e+00,-2.469382248818874359e-02,-2.922482490539550781e+00,6.136595606803894043e-01
1.761334029519277096e+09,2.426432132720947266e+00,1.160681620240211487e-02,-2.901032686233520508e+00,5.821523070335388184e-01
1.761334029587769032e+09,2.331788539886474609e+00,-7.458235323429107666e-02,-2.913789272308349609e+00,1.518726944923400879e+00
1.761334029652628422e+09,2.328342914581298828e+00,5.366416648030281067e-03,-2.897444725036621094e+00,1.295859336853027344e+00
1.761334029719227314e+09,2.290689706802368164e+00,-9.146659635007381439e-03,-2.889436960220336914e+00,8.124685883522033691e-01
1.761334029787775755e+09,2.226639509201049805e+00,-6.076063960790634155e-02,-2.873773336410522461e+00,1.107451796531677246e+00
1.761334029853027344e+09,2.163800239562988281e+00,-7.822150364518165588e-03,-2.896847724914550781e+00,1.194979667663574219e+00
1.761334029853027344e+09,2.060340404510498047e+00,-1.163249909877777100e-01,-2.884739637374877930e+00,1.932681798934936523e+00
1.761334029988158464e+09,1.931353330612182617e+00,-1.291535049676895142e-01,-2.933136463165283203e+00,1.940850257873535156e+00
1.761334030052589893e+09,1.890000224113464355e+00,-2.579694986343383789e-01,-2.905285835266113281e+00,2.002810001373291016e+00
1.761334030119332314e+09,1.809812188148498535e+00,-1.976032853126525879e-01,-2.980101585388183594e+00,1.654732108116149902e+00
1.761334030189792871e+09,1.674520015716552734e+00,-1.784214079380035400e-01,-3.029220581054687500e+00,1.931194186210632324e+00
1.761334030252815485e+09,1.624913096427917480e+00,-1.909872740507125854e-01,-3.032266139984130859e+00,1.116682052612304688e+00
1.761334030319240570e+09,1.553768277168273926e+00,-9.178309887647628784e-02,-3.062348365783691406e+00,1.616823911666870117e+00
