# time,x,y,theta,velocity
1.761367613604231834e+09,2.465108549607339494e+00,2.730306192356572126e+00,-1.620170195754158105e-01,1.399999859948787284e+00
1.761367613621747494e+09,2.492610562599741009e+00,2.725049576637220028e+00,-1.700479047158316714e-01,1.399999870737547170e+00
1.761367613640196085e+09,2.520060487982513475e+00,2.719527369047106902e+00,-1.785598092965464123e-01,1.399999880524689599e+00
1.761367613659649372e+09,2.547457203711804841e+00,2.713746936882128757e+00,-1.873367416965747712e-01,1.399999889403203523e+00
1.761367613680519819e+09,2.574799115261280136e+00,2.707712581800086227e+00,-1.962597124008509664e-01,1.399999897457445019e+00
1.761367613699808836e+09,2.602084351927553385e+00,2.701426922813228604e+00,-2.052631661168276278e-01,1.399999904763938874e+00
1.761367613719929934e+09,2.629310883390388653e+00,2.694891658396471268e+00,-2.143109832153398397e-01,1.399999911392105112e+00
1.761367613740025759e+09,2.656476588330452415e+00,2.688107986754959988e+00,-2.233832602844405824e-01,1.399999917404918914e+00
1.761367613762906313e+09,2.683579294633983814e+00,2.681076837788834766e+00,-2.324690280752614857e-01,1.399999922859509249e+00
1.761367613779956579e+09,2.710616802900907452e+00,2.673799001271081277e+00,-2.415622399601853321e-01,1.399999927807700884e+00
1.761367613801388741e+09,2.737586900194097783e+00,2.666275197779241601e+00,-2.506595619384211493e-01,1.399999932296507321e+00
1.761367613820328474e+09,2.764487368105025045e+00,2.658506118021301656e+00,-2.597591550461617604e-01,1.399999936368577558e+00
1.761367613840951443e+09,2.791315987516995278e+00,2.650492444689474869e+00,-2.688600044671763944e-01,1.399999940062600867e+00
1.761367613859886646e+09,2.818070541452271538e+00,2.642234864638556946e+00,-2.779615498285903930e-01,1.399999943413674730e+00
1.761367613880710125e+09,2.844748816808035485e+00,2.633734075694018184e+00,-2.870634814359551146e-01,1.399999946453638344e+00
1.761367613900066853e+09,2.871345461006934663e+00,2.624981356521852938e+00,-2.962851961547453006e-01,1.399999949211374606e+00
1.761367613921090841e+09,2.897828866021898264e+00,2.615891830003373553e+00,-3.065448087393154442e-01,1.399999951713085444e+00
1.761367613939671040e+09,2.924196977812854037e+00,2.606473039739233055e+00,-3.174524763241086678e-01,1.399999953982540069e+00
1.761367613961028814e+09,2.950448972018364646e+00,2.596735272820889673e+00,-3.287171881569961873e-01,1.399999956041300786e+00
1.761367613980495453e+09,2.976582858239523510e+00,2.586684825046178471e+00,-3.401786308107184187e-01,1.399999957908928172e+00
1.761367614000962973e+09,3.002595980344680449e+00,2.576325814403969350e+00,-3.517484852440289633e-01,1.399999959603166921e+00
1.761367614019743681e+09,3.028485306533657440e+00,2.565661177688415950e+00,-3.633780916569915309e-01,1.399999961140114157e+00
1.761367614041393280e+09,3.054228902631597631e+00,2.554701112809985908e+00,-3.750472464809029294e-01,1.398072033294728511e+00
1.761367614059424877e+09,3.079813101686887933e+00,2.543452170354233655e+00,-3.867354070541504374e-01,1.396807744406875829e+00
1.761367614080723047e+09,3.105244605284564585e+00,2.531912166809727083e+00,-3.984253523168688749e-01,1.395978654046583722e+00
1.761367614099530220e+09,3.130466850872508644e+00,2.520108074254666874e+00,-4.101321254512309000e-01,1.389170723214407044e+00
1.761367614122449398e+09,3.155447842378770851e+00,2.508056057414346895e+00,-4.218353391684994680e-01,1.384706245292688376e+00
1.761367614139988422e+09,3.180219441085161414e+00,2.495742711890867049e+00,-4.335060136928403640e-01,1.381778547640516219e+00
1.761367614160814524e+09,3.204801508588246861e+00,2.483160098011402805e+00,-4.451395135903262745e-01,1.379858633667857548e+00
1.761367614180111885e+09,3.229122651278776068e+00,2.470281746932803113e+00,-4.574252228896667494e-01,1.372589699878488556e+00
1.761367614200768471e+09,3.253137228715300644e+00,2.457085788103342772e+00,-4.705581061973795887e-01,1.367822907263073873e+00
1.761367614220053196e+09,3.276883573280397144e+00,2.443570127956405269e+00,-4.841124337279628098e-01,1.364696958878236055e+00
1.761367614242868662e+09,3.300384861617033039e+00,2.429733330557851012e+00,-4.978708531894320277e-01,1.362647036825182845e+00
1.761367614260897875e+09,3.323641117793622257e+00,2.415583387700273921e+00,-5.117325229376821216e-01,1.358131684422547503e+00
1.761367614280985832e+09,3.346591236562257876e+00,2.401163646614714153e+00,-5.256584147769560733e-01,1.352602697981805990e+00
1.761367614300163031e+09,3.369256527417961333e+00,2.386465980222355565e+00,-5.395813632508252855e-01,1.348976921148482777e+00
1.761367614321016788e+09,3.391648161020039076e+00,2.371488119188444266e+00,-5.534813409492279623e-01,1.343590231880351871e+00
1.761367614340237856e+09,3.413717236955953194e+00,2.356267608393716184e+00,-5.673668092685393294e-01,1.337621088649220580e+00
