# time,x,y,theta,velocity
1.761334217620210886e+09,-2.468601288626760315e+00,2.523659037312944164e+00,6.835477628553712215e-01,1.670473479166554309e+00
1.761334217639482260e+09,-2.441899889501672583e+00,2.543744456141740162e+00,6.606848830462797029e-01,1.670834004469293754e+00
1.761334217661818266e+09,-2.414736692258414141e+00,2.563212608428816708e+00,6.378280205595092678e-01,1.671161058964353519e+00
1.761334217679546595e+09,-2.387125475335927671e+00,2.582055202002514260e+00,6.149735743331109505e-01,1.671929009630006790e+00
1.761334217700222969e+09,-2.359070584489981304e+00,2.600270307292815275e+00,5.921270623517741472e-01,1.673074515714647825e+00
1.761334217719611883e+09,-2.330586824895890530e+00,2.617848806904920611e+00,5.692782510956608810e-01,1.674113674162760690e+00
1.761334217740119219e+09,-2.301690916324917957e+00,2.634780465343963929e+00,5.464201564836420610e-01,1.675056358182307026e+00
1.761334217759315491e+09,-2.272396513149324893e+00,2.651056969057170143e+00,5.235528447830929411e-01,1.676592350424483513e+00
1.761334217780611992e+09,-2.242702959403551244e+00,2.666678012377789120e+00,5.006875386591130850e-01,1.678634195469446366e+00
1.761334217798935175e+09,-2.212625665023749910e+00,2.681634401696989745e+00,4.778115775725254033e-01,1.680486477667384460e+00
1.761334217822239876e+09,-2.182171868269819903e+00,2.695931926596788930e+00,4.550512346775911210e-01,1.683837134776051458e+00
1.761334217839297533e+09,-2.151383241741621877e+00,2.709651190957576450e+00,4.333651513449244819e-01,1.686876720237783678e+00
1.761334217860488415e+09,-2.120270941990989755e+00,2.722782434324025225e+00,4.124004871523850868e-01,1.690638089607946482e+00
1.761334217879860878e+09,-2.088822327548043756e+00,2.735321955639843150e+00,3.918741547452039287e-01,1.695006494134433828e+00
1.761334217900317430e+09,-2.057066146450224231e+00,2.747315388310355377e+00,3.722633267834164483e-01,1.700097647062806860e+00
1.761334217919032812e+09,-2.025004785282809916e+00,2.758808745796056616e+00,3.537494065201491344e-01,1.705790798172461820e+00
1.761334217940904856e+09,-1.992630338202809659e+00,2.769731709153186117e+00,3.352083576209606841e-01,1.710955402840480311e+00
1.761334217959377527e+09,-1.959941489112273061e+00,2.780028133785473976e+00,3.160793486232671423e-01,1.716876378404831982e+00
1.761334217981939077e+09,-1.926943641914239169e+00,2.789761486163671034e+00,2.972501143857727568e-01,1.723424739595612820e+00
1.761334217999684334e+09,-1.893666779992357219e+00,2.798972851487373070e+00,2.791186044833758872e-01,1.729365157498173655e+00
1.761334218020096779e+09,-1.860103387286011101e+00,2.807653417720579636e+00,2.614033825845087922e-01,1.737353265806000024e+00
1.761334218039617300e+09,-1.826251368490255045e+00,2.815806828578713006e+00,2.440423273537147275e-01,1.744599766146606168e+00
1.761334218060214520e+09,-1.792152940597716126e+00,2.823512339642981317e+00,2.278745528856398472e-01,1.751173508660207156e+00
1.761334218079464912e+09,-1.757819334140682255e+00,2.830761761261658016e+00,2.125045048062139397e-01,1.758555298986935078e+00
1.761334218100955009e+09,-1.723226989433305878e+00,2.837550727803783701e+00,1.976209601241145086e-01,1.766602676355312651e+00
1.761334218119738817e+09,-1.688400264170958565e+00,2.843927879820641991e+00,1.836755098733564018e-01,1.773902943276305821e+00
1.761334218140114307e+09,-1.653349430319182245e+00,2.849877835411545934e+00,1.701698360343509020e-01,1.782025693944004674e+00
1.761334218159603596e+09,-1.618041250250581875e+00,2.855346893558553312e+00,1.563809828921710332e-01,1.790823233702810713e+00
1.761334218181075335e+09,-1.582500388717177131e+00,2.860391393702022889e+00,1.430497217244138253e-01,1.798804018689942774e+00
1.761334218199345350e+09,-1.546746390818295458e+00,2.865056631625948480e+00,1.305304341150972380e-01,1.807623251033528389e+00
1.761334218220749140e+09,-1.510751488077056948e+00,2.869336785243458809e+00,1.185141545363364024e-01,1.817127990819654704e+00
1.761334218240361452e+09,-1.474529897038868054e+00,2.873224664780241522e+00,1.067845176321789574e-01,1.825750320092538903e+00
1.761334218260578632e+09,-1.438094428759378651e+00,2.876715176119888362e+00,9.521033774512940862e-02,1.835230043757331453e+00
1.761334218281025648e+09,-1.401412519372639665e+00,2.879750660742814716e+00,8.306087408463863619e-02,1.845408729851194307e+00
1.761334218300107718e+09,-1.364501455781126582e+00,2.882335519154662684e+00,7.062924595856623355e-02,1.854642436932235849e+00
1.761334218319606781e+09,-1.327379561016041265e+00,2.884520452526362355e+00,5.854727256195731144e-02,1.864756436751727753e+00
1.761334218340758085e+09,-1.290017299232084635e+00,2.886298849455980697e+00,4.668417879391117270e-02,1.875586383747048114e+00
1.761334218359382391e+09,-1.252431078993224256e+00,2.887663418565307172e+00,3.493137922741708368e-02,1.885410889320344729e+00
1.761334218380780697e+09,-1.214627176355455918e+00,2.888608266182798534e+00,2.322827731938280002e-02,1.896049227480260280e+00
1.761334218399720669e+09,-1.176612254005942493e+00,2.889128122259293274e+00,1.153451097972620770e-02,1.905699912990343359e+00
1.761334218420227289e+09,-1.138409925944044998e+00,2.889227489941154747e+00,-6.188406100473622126e-05,1.914454638532482544e+00
1.761334218440787077e+09,-1.100041284263348684e+00,2.888994441984849892e+00,-1.059216206493587484e-02,1.922396584131901953e+00
1.761334218462335825e+09,-1.061524769319865724e+00,2.888425332491537656e+00,-2.036641313122469418e-02,1.929601207463671697e+00
1.761334218479525566e+09,-1.022877497216152509e+00,2.887513007184721481e+00,-2.967024440189749285e-02,1.936136960787954830e+00
1.761334218500838757e+09,-9.841153204279530220e-01,2.886254184842800719e+00,-3.868696139108897952e-02,1.942065941325704204e+00
1.761334218525414705e+09,-9.452504386651684465e-01,2.884705919881437541e+00,-4.685505678870630075e-02,1.947444481254132054e+00
1.761334218540096760e+09,-9.062932292960564906e-01,2.882917874227247435e+00,-5.391754571480091712e-02,1.952323682927590731e+00
1.761334218559386969e+09,-8.672543771268063084e-01,2.880894778163998193e+00,-6.015241995209332643e-02,1.956749904409085472e+00
1.761334218580751896e+09,-8.281386037623926777e-01,2.878730252436974446e+00,-6.481961134775396371e-02,1.960765199925525115e+00
1.761334218599500895e+09,-7.889540400834988976e-01,2.876427838459769237e+00,-6.838854429712105942e-02,1.964407719431552124e+00
1.761334218621053934e+09,-7.497081885717538086e-01,2.873988668669355651e+00,-7.125350180250958343e-02,1.967712071078265401e+00
1.761334218640685320e+09,-7.104076149959267505e-01,2.871417959927755170e+00,-7.367107106280837425e-02,1.970709650030710414e+00
1.761334218661512136e+09,-6.710581154241185287e-01,2.868722705661068240e+00,-7.580755926884676088e-02,1.973428936758283347e+00
1.761334218679684877e+09,-6.316648481126185821e-01,2.865910339087482495e+00,-7.777019240712169934e-02,1.975895767632153577e+00
1.761334218700216055e+09,-5.922281313532783420e-01,2.863046492864858905e+00,-7.894319112518857762e-02,1.978133580400691427e+00
1.761334218719374895e+09,-5.527482919386712545e-01,2.860187570884399566e+00,-7.903285429195985867e-02,1.980163636875205579e+00
1.761334218740250826e+09,-5.132292932458872858e-01,2.857333694516849931e+00,-7.842115011669051339e-02,1.982005224941757460e+00
1.761334218759407043e+09,-4.736744164440409577e-01,2.854489340249689810e+00,-7.735844981652675867e-02,1.983675841818402619e+00
1.761334218780761957e+09,-4.340864686531375471e-01,2.851660992712321541e+00,-7.600826342083635834e-02,1.985191360299013663e+00
1.761334218799278259e+09,-3.944679179426814342e-01,2.848855763465989455e+00,-7.447688047843772918e-02,1.986566179563191925e+00
1.761334218820297480e+09,-3.548251345096661291e-01,2.846021990957178005e+00,-7.351928434259426270e-02,1.987813361985140137e+00
1.761334218838809967e+09,-3.151594812352883634e-01,2.843174711539758981e+00,-7.283222072180108031e-02,1.988944757241335237e+00
1.761334218861208677e+09,-2.754688096294912736e-01,2.840375197006863139e+00,-7.174899709046324292e-02,1.989971114896168736e+00
1.761334218879532576e+09,-2.357593202255664488e-01,2.837564484341756454e+00,-7.109496390266058230e-02,1.990902186535250973e+00
1.761334218900354862e+09,-1.960363177497462805e-01,2.834693923774628921e+00,-7.130106002247885155e-02,1.991746818416760378e+00
1.761334218920458078e+09,-1.563009703009457796e-01,2.831771279366694039e+00,-7.207158794784376821e-02,1.992513035521133791e+00
1.761334218940544605e+09,-1.165546322144026675e-01,2.828799365568867685e+00,-7.321084345742014110e-02,1.993208117797669932e+00
1.761334218960581064e+09,-7.679872265497703077e-02,2.825778177114690148e+00,-7.458963481096538006e-02,1.993838669332472335e+00
1.761334218980687857e+09,-3.703465025524362020e-02,2.822706213328880498e+00,-7.612294716773540526e-02,1.994410681094911597e+00
1.761334218999856949e+09,2.736230792059160533e-03,2.819581283885093992e+00,-7.775505422461416460e-02,1.994929587858767839e+00
1.761334219020220995e+09,4.251264413720028112e-02,2.816400983942476177e+00,-7.944960415243976226e-02,1.995400319838871672e+00
1.761334219040573120e+09,8.229340174716150147e-02,2.813162961120067695e+00,-8.118302630624477101e-02,1.995827349533851436e+00
1.761334219060467958e+09,1.220822281960309841e-01,2.809923733497009746e+00,-8.225225126172941437e-02,1.996214734220046694e+00
1.761334219079580069e+09,1.618822551245308050e-01,2.806731421706512464e+00,-8.230674893954884053e-02,1.996566154500328594e+00
1.761334219100600004e+09,2.016874678419545430e-01,2.803520103941149255e+00,-8.238425940168639383e-02,1.996884949274087884e+00
1.761334219120505571e+09,2.414930068155852205e-01,2.800238020536646388e+00,-8.305723436539860782e-02,1.997174147460643256e+00
1.761334219140284538e+09,2.813036526073846577e-01,2.796950771622832566e+00,-8.343444029801652673e-02,1.997436496777480031e+00
1.761334219160904646e+09,3.211232551504811239e-01,2.793711577195877371e+00,-8.303991726383522232e-02,1.997674489846746892e+00
1.761334219180292606e+09,3.609509204079709432e-01,2.790515845020253405e+00,-8.214020096946253457e-02,1.997890387878050955e+00
1.761334219199552774e+09,4.007861319569577807e-01,2.787363005641698255e+00,-8.091161082155842732e-02,1.998086242152566694e+00
1.761334219220447540e+09,4.406293553935533569e-01,2.784264673311384719e+00,-7.934801488479628628e-02,1.998263913512580148e+00
1.761334219239643335e+09,4.804874547931203277e-01,2.781317805551289268e+00,-7.651341413999926400e-02,1.998425090041645591e+00
1.761334219260581732e+09,5.203598200009940111e-01,2.778526347509583605e+00,-7.275916376689142706e-02,1.998571303103331864e+00
1.761334219279526711e+09,5.602455868557928431e-01,2.775890807084107070e+00,-6.840729236609922881e-02,1.998703941890950020e+00
1.761334219299579620e+09,6.001441423094922012e-01,2.773415380594695723e+00,-6.366997240759289522e-02,1.998824266626495927e+00
1.761334219319512606e+09,6.400549450719449363e-01,2.771105944323167147e+00,-5.868642375857582166e-02,1.998933420534219296e+00
