# time,x,y,theta,velocity
1.761334217620210886e+09,4.019747870561578118e+00,1.504542578330705371e+00,-1.255460445711816364e+00,1.239403929176911001e+00
1.761334217639482260e+09,4.025562453936533558e+00,1.480454749754017696e+00,-1.272915059168213014e+00,1.238639095194051798e+00
1.761334217661818266e+09,4.030941505172557449e+00,1.456278840379125583e+00,-1.290471669738811444e+00,1.238137535393515121e+00
1.761334217679546595e+09,4.035793798106877439e+00,1.432020782533141023e+00,-1.309024455136463816e+00,1.235885287364441476e+00
1.761334217700222969e+09,4.040125807833637062e+00,1.407701869623418700e+00,-1.328146278151369986e+00,1.234408317070837979e+00
1.761334217719611883e+09,4.043950941093251039e+00,1.383322563075030986e+00,-1.347541467843251350e+00,1.233439755340500765e+00
1.761334217740119219e+09,4.047273931677530356e+00,1.358909370832663832e+00,-1.367076159480568487e+00,1.230580925711908913e+00
1.761334217759315491e+09,4.050098317590339114e+00,1.334480606803172931e+00,-1.386666725063143257e+00,1.228706173739036123e+00
1.761334217780611992e+09,4.052429523038167503e+00,1.310030692760288940e+00,-1.406264251895632755e+00,1.227476756314283435e+00
1.761334217798935175e+09,4.054271212294318083e+00,1.285559228015299427e+00,-1.425851968941326930e+00,1.226670533823972065e+00
1.761334217822239876e+09,4.055624421818329495e+00,1.261094993968381983e+00,-1.445437208109781491e+00,1.223687137053708573e+00
1.761334217839297533e+09,4.056490660230927858e+00,1.236657567528328450e+00,-1.465005605029697566e+00,1.221730696933956306e+00
1.761334217860488415e+09,4.056872854783216908e+00,1.212239821967709963e+00,-1.484542598292562632e+00,1.220447710379728212e+00
1.761334217879860878e+09,4.056773337632008314e+00,1.187840297368893960e+00,-1.504049330327288825e+00,1.219606358537823398e+00
1.761334217900317430e+09,4.056194612226547314e+00,1.163488747831148640e+00,-1.523542969210840647e+00,1.216439520162740484e+00
1.761334217919032812e+09,4.055139217090037107e+00,1.139205107473134859e+00,-1.543013038913718882e+00,1.214362783433808435e+00
1.761334217940904856e+09,4.053609149761491892e+00,1.114980825510616613e+00,-1.562446765627633294e+00,1.213000909245587122e+00
1.761334217959377527e+09,4.051606382308281518e+00,1.090813414613650334e+00,-1.581846782872707857e+00,1.212107824783457133e+00
1.761334217981939077e+09,4.049135635376547526e+00,1.066732242849523171e+00,-1.601231337592177617e+00,1.208858189075326051e+00
1.761334217999684334e+09,4.046200928620706350e+00,1.042756813483167955e+00,-1.620590341245166321e+00,1.206727155839205201e+00
1.761334218020096779e+09,4.042803488454338456e+00,1.018877817154331344e+00,-1.639911433394102724e+00,1.205329675302513781e+00
1.761334218039617300e+09,4.038945018251726360e+00,9.950921517042418118e-01,-1.659197708429586138e+00,1.204413241050185102e+00
1.761334218060214520e+09,4.034632235924885180e+00,9.714270978640363596e-01,-1.678467040713491176e+00,1.201270494426994961e+00
1.761334218079464912e+09,4.029870473829214816e+00,9.479007918877750960e-01,-1.697710320158192454e+00,1.199209556491715789e+00
1.761334218100955009e+09,4.024660274905279778e+00,9.245042922395130258e-01,-1.716916409794945197e+00,1.197858042773832787e+00
1.761334218119738817e+09,4.019003102107751246e+00,9.012346062993497053e-01,-1.736088702234918069e+00,1.196971752459913718e+00
1.761334218140114307e+09,4.012907091762823342e+00,8.781159934217133145e-01,-1.755243778326159187e+00,1.194096089608321920e+00
1.761334218159603596e+09,4.006378514170336302e+00,8.551647490727838363e-01,-1.774373888346354677e+00,1.192210298811130054e+00
1.761334218181075335e+09,3.999417452221962321e+00,8.323732432881492116e-01,-1.793469562916773841e+00,1.190973642389879128e+00
1.761334218199345350e+09,3.992025243762789888e+00,8.097392069448722252e-01,-1.812534246704603946e+00,1.190162672739110583e+00
1.761334218220749140e+09,3.984210526725816770e+00,7.872827061254917824e-01,-1.831582260293212139e+00,1.187737886817066268e+00
1.761334218240361452e+09,3.975979950897098991e+00,7.650175973328862122e-01,-1.850607860702726315e+00,1.186147770307260485e+00
1.761334218260578632e+09,3.967333597093350761e+00,7.429385924932672136e-01,-1.869603908964841077e+00,1.185105009999321224e+00
1.761334218281025648e+09,3.958272948031913430e+00,7.210448252900545363e-01,-1.888573698789105970e+00,1.184421192773911891e+00
1.761334218300107718e+09,3.948805852280592443e+00,6.993509119726661893e-01,-1.907528219420328464e+00,1.182668392012536263e+00
1.761334218319606781e+09,3.938938582597399041e+00,6.778676452023100207e-01,-1.926464574371794969e+00,1.181518947270332465e+00
1.761334218340758085e+09,3.928671974969007330e+00,6.565932263462878060e-01,-1.945378768281925241e+00,1.180765168949091226e+00
1.761334218359382391e+09,3.918008124695439687e+00,6.355289572275849563e-01,-1.964273712460967269e+00,1.180270859186549837e+00
1.761334218380780697e+09,3.906952347935268577e+00,6.146826878051123710e-01,-1.983155785820373440e+00,1.179459867081667168e+00
1.761334218399720669e+09,3.895509546599394746e+00,5.940615124810045833e-01,-2.002025973406337034e+00,1.178928037890656144e+00
1.761334218420227289e+09,3.883682439950280951e+00,5.736683902212009745e-01,-2.020884417918483056e+00,1.178579277049818463e+00
1.761334218440787077e+09,3.871474449443757404e+00,5.535076454575195148e-01,-2.039733376738325443e+00,1.178350568046706792e+00
1.761334218462335825e+09,3.858889480297269969e+00,5.335844754049602345e-01,-2.058575343954798686e+00,1.178200586162333918e+00
1.761334218479525566e+09,3.845931779468012124e+00,5.139046274958801730e-01,-2.077412419740014560e+00,1.178102231636128261e+00
1.761334218500838757e+09,3.832605845740534090e+00,4.944741866024878196e-01,-2.096246186964470848e+00,1.178037733094416950e+00
1.761334218525414705e+09,3.818916374057369278e+00,4.752994336029368050e-01,-2.115077769275805597e+00,1.177995436496147574e+00
1.761334218540096760e+09,3.804868221717365717e+00,4.563867506024816834e-01,-2.133907935084562002e+00,1.177967699400429114e+00
1.761334218559386969e+09,3.790466388192544667e+00,4.377425568463770289e-01,-2.152737196552436671e+00,1.177949510077637818e+00
1.761334218580751896e+09,3.775716003217419292e+00,4.193732649383460909e-01,-2.171565888588582460e+00,1.177937581955567303e+00
1.761334218599500895e+09,3.760622319765631438e+00,4.012852505678869974e-01,-2.190394226869972538e+00,1.177929759778911345e+00
1.761334218621053934e+09,3.745188703097657612e+00,3.834824965473553893e-01,-2.209221240514305240e+00,1.178228576024205942e+00
1.761334218640685320e+09,3.729418827523677926e+00,3.659692437064157589e-01,-2.228048631274880620e+00,1.178499650468850746e+00
1.761334218661512136e+09,3.713318560703374960e+00,3.487521601215153311e-01,-2.246878682569982022e+00,1.178745558633806700e+00
1.761334218679684877e+09,3.696893829680901522e+00,3.318377946586739680e-01,-2.265712229576342995e+00,1.178968636931251091e+00
1.761334218700216055e+09,3.680146154456338081e+00,3.152280914171071147e-01,-2.284547158433809511e+00,1.179796870101818440e+00
1.761334218719374895e+09,3.663084333500904677e+00,2.989183084580507854e-01,-2.303269056820445027e+00,1.180548210935133957e+00
1.761334218740250826e+09,3.645774649271804613e+00,2.828507259964693210e-01,-2.321017941074229984e+00,1.181229798038703649e+00
1.761334218759407043e+09,3.628214535681681951e+00,2.670378325318241708e-01,-2.338221308822278299e+00,1.181848107278869131e+00
1.761334218780761957e+09,3.610393474317232787e+00,2.514879123971762165e-01,-2.355155029407797418e+00,1.183304289124014641e+00
1.761334218799278259e+09,3.592305170663836034e+00,2.362066565187617151e-01,-2.371960441341138814e+00,1.184625280506478973e+00
1.761334218820297480e+09,3.573952527521049305e+00,2.212040978675968439e-01,-2.388710790387582161e+00,1.185823632373289360e+00
1.761334218838809967e+09,3.555339574292214255e+00,2.064888870298507706e-01,-2.405441558121407475e+00,1.186910730454132645e+00
1.761334218861208677e+09,3.536462069471558944e+00,1.920618003241445493e-01,-2.422166040483432869e+00,1.189015727059556049e+00
1.761334218879532576e+09,3.517317122077671776e+00,1.779239064458348896e-01,-2.438897279302306043e+00,1.190925297890391032e+00
1.761334218900354862e+09,3.497911519529482760e+00,1.640831938104721777e-01,-2.455645843490274149e+00,1.192657586079636012e+00
1.761334218920458078e+09,3.478252074737557820e+00,1.505471682636827513e-01,-2.472415571553832070e+00,1.194229050370010370e+00
1.761334218940544605e+09,3.458345606386418858e+00,1.373229118825192163e-01,-2.489207145116564490e+00,1.195654621491059499e+00
1.761334218960581064e+09,3.438218364416433914e+00,1.243620614335057550e-01,-2.505379771321156746e+00,1.198255862635581925e+00
1.761334218980687857e+09,3.417887187685175299e+00,1.116298949876746854e-01,-2.520779501568380265e+00,1.200615607159990939e+00
1.761334218999856949e+09,3.397350054988647283e+00,9.914589449521822584e-02,-2.535806937744826239e+00,1.202756275368397798e+00
1.761334219020220995e+09,3.376608357414576655e+00,8.692425236485103179e-02,-2.550659835578335422e+00,1.204698206086355805e+00
1.761334219040573120e+09,3.355652486326911266e+00,7.496852781689757050e-02,-2.565431588217987446e+00,1.207930546335928002e+00
1.761334219060467958e+09,3.334475309680353217e+00,6.328129150065300856e-02,-2.580175760317710232e+00,1.210862799357151021e+00
1.761334219079580069e+09,3.313083869894006384e+00,5.187176509508881206e-02,-2.594923792269203666e+00,1.213522824947467438e+00
1.761334219100600004e+09,3.291485330915703944e+00,4.074814515208692589e-02,-2.609689758059023923e+00,1.215935896428654406e+00
1.761334219120505571e+09,3.269672269479550142e+00,2.991051224543388870e-02,-2.624474388606336195e+00,1.219738449269455849e+00
1.761334219140284538e+09,3.247638799316507452e+00,1.935939970392214216e-02,-2.639285261823463014e+00,1.223187976916576547e+00
1.761334219160904646e+09,3.225394300896849309e+00,9.102756231189921415e-03,-2.654131118916002396e+00,1.226317253875089941e+00
1.761334219180292606e+09,3.202951756804452099e+00,-8.610009420240722494e-04,-2.668896622802042984e+00,1.229156011897875267e+00
1.761334219199552774e+09,3.180338321662187440e+00,-1.061322705867000921e-02,-2.682703141407856595e+00,1.233472779293216748e+00
1.761334219220447540e+09,3.157542324673846323e+00,-2.014603301299484894e-02,-2.695968333633282921e+00,1.237388782331134029e+00
1.761334219239643335e+09,3.134568178671754080e+00,-2.944195103565205862e-02,-2.708976912536050552e+00,1.240941227572804229e+00
1.761334219260581732e+09,3.111421776203928236e+00,-3.848794315313344705e-02,-2.721871351778142767e+00,1.244163867359564080e+00
1.761334219279526711e+09,3.088092135810274641e+00,-4.728044758270596309e-02,-2.734717601599719661e+00,1.248946267863557225e+00
1.761334219299579620e+09,3.064570529459272663e+00,-5.581670093356878859e-02,-2.747556331928626250e+00,1.253284675099116230e+00
1.761334219319512606e+09,3.040866835705463789e+00,-6.408794525207303638e-02,-2.760413205940945414e+00,1.257220308956179311e+00
1.761334219340584040e+09,3.016990582184345904e+00,-7.208638948575057936e-02,-2.773299233379160178e+00,1.260790562511425295e+00
1.761334219359797239e+09,2.992931977361177331e+00,-7.981118722818349165e-02,-2.786212514477292679e+00,1.265998379746836822e+00
1.761334219380801916e+09,2.968699625375215589e+00,-8.731547878202899904e-02,-2.798519936100676730e+00,1.270722708450949368e+00
1.761334219399051189e+09,2.944315955621774616e+00,-9.463216547237709997e-02,-2.810048699966154029e+00,1.275008435214311842e+00
1.761334219420869827e+09,2.919785969170918261e+00,-1.017414804715054272e-01,-2.821189728770675753e+00,1.278896279401404712e+00
1.761334219439657927e+09,2.895095786096444801e+00,-1.086352334132172359e-01,-2.832138800335371798e+00,1.284497684632064374e+00
1.761334219460936308e+09,2.870234397051625308e+00,-1.153079532884804803e-01,-2.843003460721495568e+00,1.289579061016518313e+00
1.761334219479653358e+09,2.845212277687080515e+00,-1.217502219102344768e-01,-2.853844266192953505e+00,1.294188687511519387e+00
1.761334219501433134e+09,2.820018114563107581e+00,-1.279594661629290808e-01,-2.864685470179500371e+00,1.300547990334776305e+00
1.761334219519703388e+09,2.794642567409704625e+00,-1.339333337715095662e-01,-2.875545814240290099e+00,1.306316901859123192e+00
1.761334219541196346e+09,2.769098391828249017e+00,-1.396644394570107084e-01,-2.886440029150409536e+00,1.311550233420883282e+00
1.761334219560495138e+09,2.743399542197490604e+00,-1.451556922445970954e-01,-2.897255703402369154e+00,1.316297707726864497e+00
1.761334219580685854e+09,2.717552286088381397e+00,-1.504929900192954473e-01,-2.907097701171815540e+00,1.322884709646440893e+00
