# time,x,y,theta,velocity
1.761334222499969244e+09,-9.279122948646545410e-01,-2.773213982582092285e-01,1.994013071060180664e+00,1.988327264785766602e+00
1.761334222499969244e+09,-1.059287548065185547e+00,-1.035920903086662292e-01,2.305929183959960938e+00,2.883506536483764648e+00
1.761334222901072741e+09,-1.169934511184692383e+00,-1.114458888769149780e-01,2.710954427719116211e+00,2.029767751693725586e+00
1.761334222965028048e+09,-1.399478673934936523e+00,5.135604366660118103e-02,2.713877916336059570e+00,3.563799381256103516e+00
1.761334222965028048e+09,-1.591426253318786621e+00,9.273811429738998413e-02,2.822826147079467773e+00,3.130895853042602539e+00
1.761334223035263538e+09,-1.777290940284729004e+00,1.289680451154708862e-01,2.834766626358032227e+00,2.927578449249267578e+00
1.761334223102865696e+09,-1.824136137962341309e+00,7.407402247190475464e-02,2.905471086502075195e+00,1.636009216308593750e+00
1.761334223167318344e+09,-2.027639389038085938e+00,2.317578345537185669e-02,2.976891994476318359e+00,2.693405866622924805e+00
1.761334223301388502e+09,-2.155360937118530273e+00,1.168668791651725769e-01,2.746368646621704102e+00,2.471230268478393555e+00
1.761334223364908218e+09,-2.290926933288574219e+00,9.094417840242385864e-02,2.757290840148925781e+00,2.190602540969848633e+00
1.761334223431740522e+09,-2.031813859939575195e+00,-3.622824847698211670e-01,-3.081780910491943359e+00,6.138884544372558594e+00
1.761334223501111984e+09,-9.889939427375793457e-01,-1.631502270698547363e+00,-2.101677179336547852e+00,1.908978843688964844e+01
1.761334223566979170e+09,-1.053336858749389648e+00,-1.774438142776489258e+00,-2.191701412200927734e+00,7.372815132141113281e+00
1.761334223632018089e+09,-1.130043029785156250e+00,-1.792866706848144531e+00,-2.296868801116943359e+00,3.040177583694458008e+00
1.761334223632018089e+09,-1.294392466545104980e+00,-1.835412621498107910e+00,-2.447501897811889648e+00,2.694608211517333984e+00
1.761334223902518988e+09,-2.584887981414794922e+00,8.214208483695983887e-01,1.454267024993896484e+00,3.182187461853027344e+01
