# x,y,theta,velocity
2.151737213134765625e+00,2.793079853057861328e+00,-9.560135751962661743e-02,2.000000000000000000e+00
2.250664949417114258e+00,2.782456159591674805e+00,-1.186840534210205078e-01,2.000000000000000000e+00
2.349308013916015625e+00,2.769454717636108398e+00,-1.437377631664276123e-01,2.000000000000000000e+00
2.447578668594360352e+00,2.753888845443725586e+00,-1.707837432622909546e-01,2.000000000000000000e+00
2.545373678207397461e+00,2.735572814941406250e+00,-1.998456269502639771e-01,2.000000000000000000e+00
2.702939987182617188e+00,2.687704563140869141e+00,-3.765672445297241211e-01,1.241149067878723145e+00
2.794576168060302734e+00,2.648633956909179688e+00,-4.441388249397277832e-01,1.080421924591064453e+00
2.882623910903930664e+00,2.602202653884887695e+00,-5.584656596183776855e-01,9.227920770645141602e-01
2.962910652160644531e+00,2.543456077575683594e+00,-8.072452545166015625e-01,8.124350309371948242e-01
3.017395734786987305e+00,2.461409330368041992e+00,-1.342462539672851562e+00,8.046224713325500488e-01
3.004742622375488281e+00,2.363445997238159180e+00,-2.068993568420410156e+00,8.046224713325500488e-01
2.925895452499389648e+00,2.293199300765991211e+00,-2.684109449386596680e+00,8.046224713325500488e-01
2.791290760040283203e+00,2.258359670639038086e+00,-3.015936374664306641e+00,9.657629132270812988e-01
2.609615802764892578e+00,2.253246307373046875e+00,3.107226371765136719e+00,1.239215731620788574e+00
2.388882875442504883e+00,2.272194385528564453e+00,3.022156238555908203e+00,1.549236059188842773e+00
2.136487483978271484e+00,2.310025215148925781e+00,2.973580121994018555e+00,1.863918781280517578e+00
1.859230041503906250e+00,2.362029552459716797e+00,2.945381641387939453e+00,2.000000000000000000e+00
1.563335657119750977e+00,2.423949718475341797e+00,2.929956436157226562e+00,2.000000000000000000e+00
1.254475355148315430e+00,2.491963148117065430e+00,2.923374176025390625e+00,2.000000000000000000e+00
9.377862811088562012e-01,2.562664985656738281e+00,2.923485517501831055e+00,2.000000000000000000e+00
6.178922057151794434e-01,2.633050918579101562e+00,2.929099082946777344e+00,2.000000000000000000e+00
2.989241778850555420e-01,2.700500011444091797e+00,2.939591407775878906e+00,2.000000000000000000e+00
-1.545870210975408554e-02,2.762757539749145508e+00,2.954711437225341797e+00,2.000000000000000000e+00
-3.220491111278533936e-01,2.817918300628662109e+00,2.974481582641601562e+00,2.000000000000000000e+00
-6.180706620216369629e-01,2.864408731460571289e+00,2.999150276184082031e+00,2.000000000000000000e+00
-9.011574387550354004e-01,2.900970220565795898e+00,3.029175758361816406e+00,2.000000000000000000e+00
-1.169333457946777344e+00,2.926642417907714844e+00,3.065227985382080078e+00,2.000000000000000000e+00
-1.420992136001586914e+00,2.940744638442993164e+00,3.108202695846557617e+00,2.000000000000000000e+00
-1.654875636100769043e+00,2.942860603332519531e+00,-3.123946905136108398e+00,2.000000000000000000e+00
-1.870054125785827637e+00,2.932819843292236328e+00,-3.063462495803833008e+00,2.000000000000000000e+00
-2.065905809402465820e+00,2.910681247711181641e+00,-2.991919994354248047e+00,2.000000000000000000e+00
-2.242095947265625000e+00,2.876715898513793945e+00,-2.907594680786132812e+00,1.977026820182800293e+00
-2.398555994033813477e+00,2.831389427185058594e+00,-2.808896303176879883e+00,1.887147545814514160e+00
-2.535463809967041016e+00,2.775345563888549805e+00,-2.694835901260375977e+00,1.821544647216796875e+00
-2.653222322463989258e+00,2.709388494491577148e+00,-2.565720796585083008e+00,1.780148148536682129e+00
-2.752439737319946289e+00,2.634466409683227539e+00,-2.423907518386840820e+00,1.759654045104980469e+00
-2.833908081054687500e+00,2.551653385162353516e+00,-2.274145364761352539e+00,1.753086328506469727e+00
-2.898583650588989258e+00,2.462132692337036133e+00,-2.122984409332275391e+00,1.750815272331237793e+00
-2.947565793991088867e+00,2.367180109024047852e+00,-1.977233767509460449e+00,1.749583721160888672e+00
-2.982075929641723633e+00,2.268146276473999023e+00,-1.842257857322692871e+00,1.745061159133911133e+00
-3.003438472747802734e+00,2.166439056396484375e+00,-1.721056818962097168e+00,1.729757905006408691e+00
-3.013058423995971680e+00,2.063508033752441406e+00,-1.614366292953491211e+00,1.698371767997741699e+00
-3.012402772903442383e+00,1.960825681686401367e+00,-1.521332621574401855e+00,1.648162245750427246e+00
-3.002977609634399414e+00,1.859871029853820801e+00,-1.440235853195190430e+00,1.578512668609619141e+00
