# x,y,theta,velocity,time
-1.518063233935888379e+00,-9.508692567745680169e-01,1.400545786405393178e+00,0.000000000000000000e+00,1.738851939349328041e+09
-1.514601223813739406e+00,-9.529821563680790364e-01,1.401350622794003575e+00,0.000000000000000000e+00,1.738851939380168676e+09
-1.523095341123096524e+00,-9.510742915371552808e-01,1.401690667715859817e+00,0.000000000000000000e+00,1.738851939403140306e+09
-1.518047871570517904e+00,-9.451823766097748880e-01,1.398486363404271904e+00,0.000000000000000000e+00,1.738851939426980495e+09
-1.519400189286286729e+00,-9.505103718004547231e-01,1.399565081182314819e+00,0.000000000000000000e+00,1.738851939457592010e+09
-1.521077172724968340e+00,-9.554507902951836495e-01,1.401750240204611364e+00,0.000000000000000000e+00,1.738851939488604546e+09
-1.523144432078560762e+00,-9.580970390926625280e-01,1.403632776828428907e+00,0.000000000000000000e+00,1.738851939521400452e+09
-1.517214376122154595e+00,-9.566327770234692718e-01,1.405398126665344583e+00,0.000000000000000000e+00,1.738851939551504612e+09
-1.519943451672869816e+00,-9.577435374337790464e-01,1.406206960648103799e+00,0.000000000000000000e+00,1.738851939572747946e+09
-1.523627090654083860e+00,-9.573657058365692141e-01,1.404275907547214430e+00,0.000000000000000000e+00,1.738851939595921755e+09
-1.522468221611357198e+00,-9.573542674529833540e-01,1.404018956327311107e+00,0.000000000000000000e+00,1.738851939619327068e+09
-1.525666270172621353e+00,-9.549412602573512654e-01,1.404765229831353102e+00,0.000000000000000000e+00,1.738851939644019604e+09
-1.523075686968763165e+00,-9.503354301175388485e-01,1.401715850886331216e+00,0.000000000000000000e+00,1.738851939668672800e+09
-1.522913845281262279e+00,-9.511948861728363180e-01,1.401919158956799194e+00,0.000000000000000000e+00,1.738851939692038774e+09
-1.517415461445363434e+00,-9.468193776778472959e-01,1.399849530910740603e+00,0.000000000000000000e+00,1.738851939713659286e+09
-1.522352924173419941e+00,-9.498963582191978228e-01,1.402286006374507954e+00,0.000000000000000000e+00,1.738851939738582611e+09
-1.526485696122959590e+00,-9.489640009116948605e-01,1.403796865051488041e+00,0.000000000000000000e+00,1.738851939763714314e+09
-1.531058299462613626e+00,-9.386265067551989860e-01,1.401765133031351862e+00,0.000000000000000000e+00,1.738851939786703825e+09
-1.522907659034653305e+00,-9.394125387053774423e-01,1.398505840814093792e+00,0.000000000000000000e+00,1.738851939808907509e+09
-1.520769873843492048e+00,-9.420579445887735659e-01,1.398369066710989150e+00,0.000000000000000000e+00,1.738851939831630945e+09
-1.519948713732402812e+00,-9.393361014294647759e-01,1.398662560148322020e+00,0.000000000000000000e+00,1.738851939858331442e+09
-1.524614986148742801e+00,-9.437547575275410106e-01,1.401069028510965486e+00,0.000000000000000000e+00,1.738851939880130291e+09
-1.530867349504761776e+00,-9.521167110729824579e-01,1.404312911011229792e+00,0.000000000000000000e+00,1.738851939903140306e+09
-1.523478905426340457e+00,-9.537242411109843054e-01,1.404086806072710081e+00,0.000000000000000000e+00,1.738851939928661346e+09
-1.521113813295529305e+00,-9.555130560196745115e-01,1.404746431364484627e+00,0.000000000000000000e+00,1.738851939950119019e+09
-1.522206715945281008e+00,-9.560955799936597943e-01,1.403136128882307432e+00,0.000000000000000000e+00,1.738851939969924688e+09
-1.520797288490456367e+00,-9.554979178549392049e-01,1.404225516776482996e+00,0.000000000000000000e+00,1.738851939993675232e+09
-1.519266088947526683e+00,-9.503333505846124352e-01,1.403484904409244782e+00,0.000000000000000000e+00,1.738851940014677048e+09
-1.513839203361380781e+00,-9.497521532449582082e-01,1.401282582512065167e+00,0.000000000000000000e+00,1.738851940036117077e+09
-1.512865399409061729e+00,-9.461426496884809412e-01,1.399613089656524423e+00,0.000000000000000000e+00,1.738851940061192274e+09
-1.512276112790988059e+00,-9.452792279655179986e-01,1.399571576888403390e+00,0.000000000000000000e+00,1.738851940082642317e+09
-1.513612408844451584e+00,-9.467983330737446135e-01,1.400601997639702168e+00,0.000000000000000000e+00,1.738851940103762388e+09
-1.516618698817403521e+00,-9.452778574907577669e-01,1.400245707996885747e+00,0.000000000000000000e+00,1.738851940126563311e+09
-1.512782040723078758e+00,-9.470191365986592169e-01,1.400898178471754241e+00,0.000000000000000000e+00,1.738851940149576426e+09
-1.517423873155989034e+00,-9.515793879948485356e-01,1.401168943385469490e+00,0.000000000000000000e+00,1.738851940174305201e+09
-1.517914006579217823e+00,-9.546673138198180641e-01,1.401306541340486822e+00,0.000000000000000000e+00,1.738851940198373556e+09
-1.516981268336588418e+00,-9.548471699263673118e-01,1.402712735198873295e+00,0.000000000000000000e+00,1.738851940225988865e+09
-1.515107943261596368e+00,-9.533379609902312701e-01,1.402523764186772937e+00,0.000000000000000000e+00,1.738851940250316620e+09
-1.517324077746398325e+00,-9.538265074581047109e-01,1.401488437884117033e+00,0.000000000000000000e+00,1.738851940273470402e+09
-1.519373100151572231e+00,-9.583017968600684444e-01,1.403483073922869195e+00,0.000000000000000000e+00,1.738851940294481039e+09
-1.519520571042954238e+00,-9.613463237796351368e-01,1.406611914583427270e+00,0.000000000000000000e+00,1.738851940315908194e+09
-1.513912181530878920e+00,-9.575321373450853546e-01,1.405583317683584132e+00,0.000000000000000000e+00,1.738851940342296600e+09
-1.521521956612033710e+00,-9.473157250713356570e-01,1.401145806205091437e+00,0.000000000000000000e+00,1.738851940365715027e+09
-1.518828150858292592e+00,-9.468032972812929771e-01,1.399578221938431843e+00,0.000000000000000000e+00,1.738851940393825293e+09
-1.520244580902535558e+00,-9.481977963903986950e-01,1.401964501821941544e+00,0.000000000000000000e+00,1.738851940422731161e+09
-1.523787612096236366e+00,-9.529587481372027158e-01,1.403309820924453888e+00,0.000000000000000000e+00,1.738851940445083857e+09
-1.527910589268841379e+00,-9.585443340609308693e-01,1.403067166203248339e+00,0.000000000000000000e+00,1.738851940465986013e+09
-1.523289240290773172e+00,-9.570566873488097759e-01,1.403313232399197252e+00,0.000000000000000000e+00,1.738851940481447697e+09
-1.518465439964804764e+00,-9.566686588581391204e-01,1.404087178205392084e+00,0.000000000000000000e+00,1.738851940498455763e+09
-1.520759190965943031e+00,-9.544757549221671855e-01,1.401446695712349699e+00,0.000000000000000000e+00,1.738851940513808727e+09
-1.522091210261179217e+00,-9.551309420893319135e-01,1.405571734006718421e+00,0.000000000000000000e+00,1.738851940539749622e+09
-1.522322745491197171e+00,-9.540923668296251714e-01,1.402520510323055802e+00,0.000000000000000000e+00,1.738851940572277308e+09
-1.521280972128853604e+00,-9.538127225031020062e-01,1.403147828254097007e+00,0.000000000000000000e+00,1.738851940608651638e+09
-1.521101585121273692e+00,-9.518636477837854049e-01,1.403291710724976715e+00,0.000000000000000000e+00,1.738851940643491030e+09
-1.517467535417165614e+00,-9.531075191022631010e-01,1.402114654094281709e+00,0.000000000000000000e+00,1.738851940678540707e+09
-1.521725107264301657e+00,-9.546826299120416692e-01,1.402547006134566843e+00,0.000000000000000000e+00,1.738851940709348202e+09
-1.522589110243645738e+00,-9.528475840035220967e-01,1.402440509438333427e+00,0.000000000000000000e+00,1.738851940735224247e+09
-1.524050041542614142e+00,-9.531503487503532046e-01,1.401924911847172828e+00,0.000000000000000000e+00,1.738851940750648260e+09
-1.520882876697438046e+00,-9.499132598596596866e-01,1.401862643733762459e+00,0.000000000000000000e+00,1.738851940766059875e+09
-1.520767636160386571e+00,-9.522879550953745609e-01,1.401735153524574562e+00,0.000000000000000000e+00,1.738851940789650679e+09
-1.523862678414906302e+00,-9.561878328954341866e-01,1.405118561600081639e+00,0.000000000000000000e+00,1.738851940806348324e+09
-1.522752985032023165e+00,-9.588225161017479570e-01,1.404547193763844737e+00,0.000000000000000000e+00,1.738851940824343681e+09
-1.521085434837498029e+00,-9.586516334446852916e-01,1.402298467656065029e+00,0.000000000000000000e+00,1.738851940839801788e+09
-1.521522598881688726e+00,-9.560598318685911146e-01,1.403938405670663192e+00,0.000000000000000000e+00,1.738851940867958069e+09
-1.522205152946990436e+00,-9.517818722472275450e-01,1.402236322278765712e+00,0.000000000000000000e+00,1.738851940896774769e+09
-1.519080054115991230e+00,-9.553078475438421258e-01,1.402189280658694193e+00,0.000000000000000000e+00,1.738851940925939560e+09
-1.523876992893782534e+00,-9.606762463461836488e-01,1.402206994457946498e+00,0.000000000000000000e+00,1.738851940960622311e+09
-1.524032690450640937e+00,-9.599342508869554980e-01,1.405158950247921368e+00,0.000000000000000000e+00,1.738851940995239496e+09
-1.520746503143523443e+00,-9.553513009013574475e-01,1.404085439874845909e+00,0.000000000000000000e+00,1.738851941029242516e+09
-1.512126961320391150e+00,-9.540567808823163798e-01,1.402498963828824108e+00,0.000000000000000000e+00,1.738851941061807632e+09
-1.513044562695227802e+00,-9.559454676811333096e-01,1.402848248387696284e+00,0.000000000000000000e+00,1.738851941099937201e+09
-1.515445220571599805e+00,-9.536590557353011866e-01,1.402878487496129756e+00,0.000000000000000000e+00,1.738851941118517399e+09
-1.519168375689458728e+00,-9.492080529626679697e-01,1.402036752316240031e+00,0.000000000000000000e+00,1.738851941138421535e+09
-1.519532216410881986e+00,-9.452876088334387639e-01,1.399950419166371196e+00,0.000000000000000000e+00,1.738851941159324646e+09
-1.512734206245884394e+00,-9.405658817266999705e-01,1.400303752698546012e+00,0.000000000000000000e+00,1.738851941183388472e+09
-1.520654295758993024e+00,-9.455207239547511744e-01,1.401301643597823832e+00,0.000000000000000000e+00,1.738851941200871706e+09
-1.514596205193378564e+00,-9.426830516684922001e-01,1.400121895391732485e+00,0.000000000000000000e+00,1.738851941227448702e+09
-1.522475879675559307e+00,-9.465791428600802693e-01,1.403382788358461530e+00,0.000000000000000000e+00,1.738851941251392365e+09
-1.520240036957361429e+00,-9.484733520592908418e-01,1.402601698296398913e+00,0.000000000000000000e+00,1.738851941277062416e+09
-1.520774701852406263e+00,-9.491176538945997887e-01,1.403053273870097817e+00,0.000000000000000000e+00,1.738851941300531387e+09
-1.519752599000441906e+00,-9.534133447250529025e-01,1.403565357551099790e+00,0.000000000000000000e+00,1.738851941337842226e+09
-1.519158361218633013e+00,-9.562752873065056836e-01,1.404529711966750360e+00,0.000000000000000000e+00,1.738851941379912376e+09
-1.519015560861830760e+00,-9.528867665373679241e-01,1.403716833204702752e+00,0.000000000000000000e+00,1.738851941400572538e+09
-1.524956728943905881e+00,-9.495464426409545577e-01,1.402655138539314228e+00,0.000000000000000000e+00,1.738851941418349981e+09
-1.519497986548404844e+00,-9.504776354763689872e-01,1.401025693435902886e+00,0.000000000000000000e+00,1.738851941443408489e+09
-1.522700059718478771e+00,-9.515826018294595290e-01,1.402895600657542374e+00,0.000000000000000000e+00,1.738851941462806463e+09
-1.523816553925737560e+00,-9.562955832203360318e-01,1.403561141544640511e+00,0.000000000000000000e+00,1.738851941482158899e+09
-1.527832631661931284e+00,-9.575113221591783352e-01,1.405050771789267960e+00,0.000000000000000000e+00,1.738851941503841877e+09
-1.526590064269736979e+00,-9.572829169939236493e-01,1.405217116951183121e+00,0.000000000000000000e+00,1.738851941539915562e+09
-1.531367945763105087e+00,-9.537096490994168008e-01,1.402294199508672179e+00,0.000000000000000000e+00,1.738851941578416348e+09
-1.525449609071834800e+00,-9.565954361354637170e-01,1.404954703810600947e+00,0.000000000000000000e+00,1.738851941617617846e+09
-1.515448779241655775e+00,-9.577488987905936613e-01,1.403107268912163752e+00,0.000000000000000000e+00,1.738851941651849985e+09
-1.518865749558330425e+00,-9.533802833807835109e-01,1.401554672650872524e+00,0.000000000000000000e+00,1.738851941681985617e+09
-1.519495878907033193e+00,-9.529645576796703654e-01,1.402795421866967152e+00,0.000000000000000000e+00,1.738851941700384855e+09
-1.526860546498461702e+00,-9.521566577672262444e-01,1.402553692483214931e+00,0.000000000000000000e+00,1.738851941718226671e+09
-1.521160015298602897e+00,-9.494983325525795381e-01,1.402134089526809291e+00,0.000000000000000000e+00,1.738851941736239433e+09
-1.522442115567631093e+00,-9.484070284716075161e-01,1.401613327742870396e+00,0.000000000000000000e+00,1.738851941759401083e+09
-1.525066749086294138e+00,-9.498221743059651612e-01,1.402886624940391291e+00,0.000000000000000000e+00,1.738851941788466454e+09
-1.520821332738615528e+00,-9.504645445113841795e-01,1.404223070242393012e+00,0.000000000000000000e+00,1.738851941827370882e+09
-1.524419906403180036e+00,-9.398076387640342810e-01,1.401141517030564776e+00,0.000000000000000000e+00,1.738851941859180212e+09
-1.525936961829908789e+00,-9.413469921155501741e-01,1.400812421439572963e+00,0.000000000000000000e+00,1.738851941888758421e+09
-1.522742909484048779e+00,-9.416439524473672051e-01,1.399900532548569165e+00,0.000000000000000000e+00,1.738851941917574167e+09
-1.519468462620808147e+00,-9.417013473432533921e-01,1.398290515368037390e+00,0.000000000000000000e+00,1.738851941947334766e+09
-1.517311285029011136e+00,-9.381248314837558056e-01,1.397818686098266872e+00,0.000000000000000000e+00,1.738851941976599455e+09
-1.521599882163506390e+00,-9.383811208032631912e-01,1.399772106980213371e+00,0.000000000000000000e+00,1.738851941995336533e+09
-1.518454539489362265e+00,-9.493275345352754080e-01,1.402141681092713199e+00,0.000000000000000000e+00,1.738851942015341997e+09
-1.516872516331756682e+00,-9.498092310701310437e-01,1.401574142603392081e+00,0.000000000000000000e+00,1.738851942033181667e+09
-1.523567535351710189e+00,-9.517399631386618264e-01,1.404138051358840178e+00,0.000000000000000000e+00,1.738851942059094667e+09
-1.522174709182226415e+00,-9.533569998713630200e-01,1.402479395090010073e+00,0.000000000000000000e+00,1.738851942088886261e+09
-1.522048577187765428e+00,-9.559881244841221815e-01,1.403813969961111630e+00,0.000000000000000000e+00,1.738851942118282318e+09
-1.520528297339894586e+00,-9.573412520364140699e-01,1.404565533423790313e+00,0.000000000000000000e+00,1.738851942148276329e+09
-1.525914684917930586e+00,-9.524498458161431147e-01,1.401410829696080773e+00,0.000000000000000000e+00,1.738851942180708408e+09
-1.519543180899596058e+00,-9.525682283047686161e-01,1.401384175371644281e+00,0.000000000000000000e+00,1.738851942210562468e+09
-1.523586169729397088e+00,-9.535908878829099100e-01,1.403148991703152992e+00,0.000000000000000000e+00,1.738851942239842653e+09
-1.519627760369247627e+00,-9.581071787938015838e-01,1.404184713726804423e+00,0.000000000000000000e+00,1.738851942260327578e+09
-1.514759562180464147e+00,-9.536348300103879572e-01,1.400425740798423746e+00,0.000000000000000000e+00,1.738851942275063276e+09
-1.514956578246538177e+00,-9.559836163051154134e-01,1.402996071549102330e+00,0.000000000000000000e+00,1.738851942294218302e+09
-1.517439994133405579e+00,-9.592077447335192186e-01,1.404072395096511050e+00,0.000000000000000000e+00,1.738851942319498539e+09
-1.517785319519679987e+00,-9.502801353818255414e-01,1.403140992457336145e+00,0.000000000000000000e+00,1.738851942343435764e+09
-1.522399699583846688e+00,-9.522884422906130464e-01,1.403008295433336050e+00,0.000000000000000000e+00,1.738851942365668297e+09
-1.522142650278994314e+00,-9.512282912010772140e-01,1.402227540440731834e+00,0.000000000000000000e+00,1.738851942398818493e+09
-1.525597069052318178e+00,-9.479234791110449088e-01,1.400680068847369952e+00,0.000000000000000000e+00,1.738851942435076714e+09
