# x,y,theta,velocity,time
-1.511112366205639823e+00,-8.896919562133532855e-01,1.380168604453288816e+00,0.000000000000000000e+00,1.738852380251158714e+09
-1.512975739777429052e+00,-8.865002179120811121e-01,1.377322731432775393e+00,0.000000000000000000e+00,1.738852380271332741e+09
-1.517831897596219726e+00,-8.863824577111502068e-01,1.378159112241228446e+00,0.000000000000000000e+00,1.738852380290502310e+09
-1.516148297260632827e+00,-8.883261015230674573e-01,1.377485420329690680e+00,0.000000000000000000e+00,1.738852380315300226e+09
-1.510272705225269130e+00,-8.895113249146017198e-01,1.378132260096485373e+00,0.000000000000000000e+00,1.738852380330719233e+09
-1.501184431049158663e+00,-8.892806358964520097e-01,1.378168391162809980e+00,0.000000000000000000e+00,1.738852380344811916e+09
-1.507537522845272981e+00,-8.870336417100151971e-01,1.378801853734383576e+00,0.000000000000000000e+00,1.738852380371861696e+09
-1.509134829837543990e+00,-8.853603522584827523e-01,1.378434271084895801e+00,0.000000000000000000e+00,1.738852380395292521e+09
-1.508302864000728771e+00,-8.837226032377145657e-01,1.376745520122956146e+00,0.000000000000000000e+00,1.738852380409724236e+09
-1.508901040192420107e+00,-8.861089862294236896e-01,1.375974423466445939e+00,0.000000000000000000e+00,1.738852380431333065e+09
-1.512943990796897342e+00,-8.856285695504724220e-01,1.376776532964315791e+00,0.000000000000000000e+00,1.738852380447416067e+09
-1.518099451442429304e+00,-8.801790202751489378e-01,1.376345758186565460e+00,0.000000000000000000e+00,1.738852380475224733e+09
-1.514390343469228739e+00,-8.752762976995087651e-01,1.375721238323503570e+00,0.000000000000000000e+00,1.738852380499331474e+09
-1.513755882165841227e+00,-8.785586052499596565e-01,1.374499708152346678e+00,0.000000000000000000e+00,1.738852380507986784e+09
-1.508266132532589232e+00,-8.851446876249244866e-01,1.374725528170549049e+00,0.000000000000000000e+00,1.738852380523864269e+09
-1.502979402069110071e+00,-8.845121966910647338e-01,1.374881481480618284e+00,0.000000000000000000e+00,1.738852380549054384e+09
-1.505834594753173938e+00,-8.817002587322678719e-01,1.376158270982317466e+00,0.000000000000000000e+00,1.738852380562839031e+09
-1.502280769258088844e+00,-8.855130665025219283e-01,1.376079290701448743e+00,0.000000000000000000e+00,1.738852380589727640e+09
-1.503937139926285971e+00,-8.886980889706387332e-01,1.375343673762461139e+00,0.000000000000000000e+00,1.738852380605087757e+09
-1.503774208028297643e+00,-8.846785947535561467e-01,1.375879125910742795e+00,0.000000000000000000e+00,1.738852380628417730e+09
-1.500307980690167575e+00,-8.877808675332045096e-01,1.377147788923502425e+00,0.000000000000000000e+00,1.738852380647128820e+09
-1.508589553823507901e+00,-8.857594341465290233e-01,1.377504431029037635e+00,0.000000000000000000e+00,1.738852380671007633e+09
-1.512098402389895124e+00,-8.868308623433326376e-01,1.378047286635441182e+00,0.000000000000000000e+00,1.738852380687375069e+09
-1.504866281779687176e+00,-8.864457065075391773e-01,1.377013882722983640e+00,0.000000000000000000e+00,1.738852380713558674e+09
-1.503074288336894382e+00,-8.834769842196816825e-01,1.376830973371933942e+00,0.000000000000000000e+00,1.738852380732225418e+09
-1.506646818701394830e+00,-8.832712479226426661e-01,1.377479324192887100e+00,0.000000000000000000e+00,1.738852380755625725e+09
-1.510308504648485650e+00,-8.825951209930911201e-01,1.376873479816583590e+00,0.000000000000000000e+00,1.738852380769681215e+09
-1.514017516917677497e+00,-8.789439874805016206e-01,1.377266088018585410e+00,0.000000000000000000e+00,1.738852380796479464e+09
-1.509541873221154740e+00,-8.851273895737564734e-01,1.376465433280288364e+00,0.000000000000000000e+00,1.738852380811824560e+09
-1.504489013637788641e+00,-8.842258631836138472e-01,1.376806190449999079e+00,0.000000000000000000e+00,1.738852380836848497e+09
-1.510255128102813371e+00,-8.820148592543725075e-01,1.377948126991392908e+00,0.000000000000000000e+00,1.738852380854931355e+09
-1.507634904456188307e+00,-8.826723957619371230e-01,1.376256083699128219e+00,0.000000000000000000e+00,1.738852380876364231e+09
-1.505477063596878162e+00,-8.865520268729381037e-01,1.377069284407494765e+00,0.000000000000000000e+00,1.738852380896639109e+09
-1.503706782861007563e+00,-8.884652086386952696e-01,1.377753955361195493e+00,0.000000000000000000e+00,1.738852380913687229e+09
-1.504295979611377065e+00,-8.898119920849781872e-01,1.375466631959017194e+00,0.000000000000000000e+00,1.738852380933506012e+09
-1.504430157278414226e+00,-8.926851831045415908e-01,1.377293709155176460e+00,0.000000000000000000e+00,1.738852380962092161e+09
-1.507387488966660527e+00,-8.888507725325369702e-01,1.378428595606003393e+00,0.000000000000000000e+00,1.738852380982747078e+09
-1.507051032050781281e+00,-8.875574890188123733e-01,1.377049375894905614e+00,0.000000000000000000e+00,1.738852380998708487e+09
-1.507262281760766154e+00,-8.863768828984478487e-01,1.378441609211174423e+00,0.000000000000000000e+00,1.738852381017783403e+09
-1.501787385898438520e+00,-8.861410022499918160e-01,1.375085397486218941e+00,0.000000000000000000e+00,1.738852381035727978e+09
-1.501776068338684045e+00,-8.877862785616108532e-01,1.376514010227524620e+00,0.000000000000000000e+00,1.738852381057451248e+09
-1.503782719698153247e+00,-8.835017956408468542e-01,1.377168486830401717e+00,0.000000000000000000e+00,1.738852381076592684e+09
