# x,y,theta,velocity,time
-1.487251019196437207e+00,-8.018908635686977648e-01,1.365382961259661521e+00,0.000000000000000000e+00,5.978824303616000179e+03
-1.491290588803771744e+00,-8.010419636512203789e-01,1.365729584003600339e+00,0.000000000000000000e+00,5.978840235200000279e+03
-1.492022224710227274e+00,-8.043573888034766250e-01,1.365208825405584303e+00,0.000000000000000000e+00,5.978861679583999830e+03
-1.494570116340020904e+00,-8.054427749762355093e-01,1.366140960953346584e+00,0.000000000000000000e+00,5.978884110496000176e+03
-1.496370555434288985e+00,-8.064242031879153005e-01,1.365604988965792188e+00,0.000000000000000000e+00,5.978910367552000025e+03
-1.504914986546957323e+00,-8.047187855526060085e-01,1.367484759595461341e+00,0.000000000000000000e+00,5.978925618880000002e+03
-1.502173726097467465e+00,-8.063224982336787416e-01,1.368275373708740528e+00,0.000000000000000000e+00,5.978941224096000042e+03
-1.497519622092881919e+00,-8.076735666948771097e-01,1.367301241885194640e+00,0.000000000000000000e+00,5.978958862720000070e+03
-1.497624389945418022e+00,-8.077132162427231865e-01,1.366425745692744664e+00,0.000000000000000000e+00,5.978979536480000206e+03
-1.497534899537978026e+00,-8.106547304729422310e-01,1.367153329677627704e+00,0.000000000000000000e+00,5.979007494976000089e+03
-1.494184979271861557e+00,-8.079468467523438502e-01,1.366579498374494772e+00,0.000000000000000000e+00,5.979025781792000089e+03
-1.495256176876533338e+00,-8.071070119135489440e-01,1.365253530575727403e+00,0.000000000000000000e+00,5.979044000832000165e+03
-1.496575084427500313e+00,-8.068598545923522103e-01,1.367220756688705796e+00,0.000000000000000000e+00,5.979060756576000131e+03
-1.491506250502228514e+00,-8.080537366792566178e-01,1.366493681590528420e+00,0.000000000000000000e+00,5.979081798240000353e+03
-1.485564253607602581e+00,-8.066165300249120707e-01,1.365405879048689819e+00,0.000000000000000000e+00,5.979110852351999711e+03
-1.486488158198867815e+00,-8.035830049223697813e-01,1.366495272241543324e+00,0.000000000000000000e+00,5.979124715744000241e+03
