# x,y,theta,velocity,time
-1.493076783449499345e+00,-8.645105589390598144e-01,1.334022716594137625e+00,0.000000000000000000e+00,9.779229886079999687e+02
-1.494185891399727462e+00,-8.592697406415773509e-01,1.333168209721688369e+00,0.000000000000000000e+00,9.779538486720000492e+02
-1.491477239292487766e+00,-8.648968607012789134e-01,1.333318085738118386e+00,0.000000000000000000e+00,9.779843430720000015e+02
-1.489462143905836422e+00,-8.631463821190056285e-01,1.334149525324783925e+00,0.000000000000000000e+00,9.780067669119999891e+02
-1.493078526074927526e+00,-8.606535732727642607e-01,1.333090554975967512e+00,0.000000000000000000e+00,9.780258224640000435e+02
-1.497987477665433609e+00,-8.565459865516718008e-01,1.334176391360866409e+00,0.000000000000000000e+00,9.780500990399999637e+02
-1.507850475979786165e+00,-8.601817536413370879e-01,1.334636663551890923e+00,0.000000000000000000e+00,9.780701191360000166e+02
-1.502522076517161631e+00,-8.643619119794134775e-01,1.335236512591218228e+00,0.000000000000000000e+00,9.780918349759999728e+02
-1.503718157958951362e+00,-8.626747958414944240e-01,1.334076136602777796e+00,0.000000000000000000e+00,9.781126115199999731e+02
-1.500695151355638579e+00,-8.640042625291191047e-01,1.333774820771086222e+00,0.000000000000000000e+00,9.781439035839999860e+02
-1.496626379104439186e+00,-8.690304044783788706e-01,1.334337458420872702e+00,0.000000000000000000e+00,9.781693411840000181e+02
-1.497825677631158481e+00,-8.684227664699070148e-01,1.335071843961412652e+00,0.000000000000000000e+00,9.781898528000000397e+02
-1.503236159369910396e+00,-8.682039062261939222e-01,1.334936507313379206e+00,0.000000000000000000e+00,9.782095533440000281e+02
-1.502824301367814197e+00,-8.662988241732250128e-01,1.333631591195469035e+00,0.000000000000000000e+00,9.782362731199999644e+02
-1.501983213416616891e+00,-8.655724612243500538e-01,1.334107932160162546e+00,0.000000000000000000e+00,9.782561819840000226e+02
-1.502935744723677747e+00,-8.593623129619176737e-01,1.333591793208144027e+00,0.000000000000000000e+00,9.782718781759999729e+02
-1.500780611816205479e+00,-8.589190152582422133e-01,1.332800087509961928e+00,0.000000000000000000e+00,9.782926666240000486e+02
-1.490975437255534608e+00,-8.643193314970495367e-01,1.333593510482765643e+00,0.000000000000000000e+00,9.783094856320000190e+02
-1.488715140430580952e+00,-8.644537584504348171e-01,1.333303480344426584e+00,0.000000000000000000e+00,9.783274471680000488e+02
-1.485030077448695973e+00,-8.652341103326538496e-01,1.331734276656796778e+00,0.000000000000000000e+00,9.783486130239999738e+02
-1.493699194267762431e+00,-8.690602976910293265e-01,1.334174450044543603e+00,0.000000000000000000e+00,9.783731822720000082e+02
-1.498424475647878396e+00,-8.710669245368977132e-01,1.335710909856162809e+00,0.000000000000000000e+00,9.784006270400000176e+02
-1.492918899434579227e+00,-8.745776297210410277e-01,1.335229441604701250e+00,0.000000000000000000e+00,9.784238507520000212e+02
-1.493478810510188159e+00,-8.708117064251670314e-01,1.334795490887349612e+00,0.000000000000000000e+00,9.784461085760000287e+02
-1.493507773060342103e+00,-8.655992776093935914e-01,1.333599064835212511e+00,0.000000000000000000e+00,9.784670815680000260e+02
-1.494067373838102064e+00,-8.660900389950104694e-01,1.334130647342960163e+00,0.000000000000000000e+00,9.784887931519999711e+02
-1.500974728145765269e+00,-8.691073811473277733e-01,1.333876225853291464e+00,0.000000000000000000e+00,9.785052368640000395e+02
-1.499573914803426611e+00,-8.681136597477163708e-01,1.333974399023542645e+00,0.000000000000000000e+00,9.785265805760000148e+02
-1.504393765370030334e+00,-8.698522024135620923e-01,1.333084030654600571e+00,0.000000000000000000e+00,9.785397372480000513e+02
-1.501532135091832032e+00,-8.765986533921276136e-01,1.334923321221669790e+00,0.000000000000000000e+00,9.785603641599999492e+02
-1.499986596352331336e+00,-8.711659051656912567e-01,1.333242073656040638e+00,0.000000000000000000e+00,9.785897949120000021e+02
-1.500195102303528483e+00,-8.712745005993474123e-01,1.333604067746991584e+00,0.000000000000000000e+00,9.786209948480000094e+02
-1.499159037625787061e+00,-8.694343131115580547e-01,1.334216485813773501e+00,0.000000000000000000e+00,9.786533994239999856e+02
-1.496735787473448154e+00,-8.711839136486537738e-01,1.334146846997206204e+00,0.000000000000000000e+00,9.786804233279999607e+02
-1.499008823079078567e+00,-8.717029536419053093e-01,1.334469528945491534e+00,0.000000000000000000e+00,9.786938094719999981e+02
-1.492962433697901270e+00,-8.679773525718417204e-01,1.334407195275702174e+00,0.000000000000000000e+00,9.787183874559999595e+02
