# time,x,y,theta,velocity
1.760745792779293537e+09,1.185685062408447266e+01,-3.610593795776367188e+00,-1.177344202995300293e+00,3.961374521255493164e+00
1.760745792799215317e+09,1.188806438446044922e+01,-3.683420896530151367e+00,-1.182101964950561523e+00,3.962067127227783203e+00
1.760745792819183588e+09,1.191886901855468750e+01,-3.756441354751586914e+00,-1.186125278472900391e+00,3.963143587112426758e+00
1.760745792838900089e+09,1.194928073883056641e+01,-3.829609155654907227e+00,-1.189774513244628906e+00,3.960650444030761719e+00
1.760745792859306097e+09,1.197932052612304688e+01,-3.902894973754882812e+00,-1.193238615989685059e+00,3.959778070449829102e+00
1.760745792878895044e+09,1.200902366638183594e+01,-3.976312875747680664e+00,-1.196604847908020020e+00,3.960098028182983398e+00
1.760745792899371624e+09,1.203841590881347656e+01,-4.049869537353515625e+00,-1.199924826622009277e+00,3.961048126220703125e+00
1.760745792918903351e+09,1.206750392913818359e+01,-4.123530387878417969e+00,-1.203243374824523926e+00,3.958712816238403320e+00
1.760745792939117908e+09,1.209629535675048828e+01,-4.197281360626220703e+00,-1.206571578979492188e+00,3.958460569381713867e+00
1.760745792958973646e+09,1.212481021881103516e+01,-4.271141052246093750e+00,-1.209904074668884277e+00,3.958836078643798828e+00
1.760745792979323149e+09,1.215305805206298828e+01,-4.345116138458251953e+00,-1.213241100311279297e+00,3.959670782089233398e+00
1.760745792998993874e+09,1.218104648590087891e+01,-4.419209003448486328e+00,-1.216583728790283203e+00,3.960592508316040039e+00
1.760745793019411802e+09,1.220878028869628906e+01,-4.493417263031005859e+00,-1.219932794570922852e+00,3.961559534072875977e+00
1.760745793038927078e+09,1.223624897003173828e+01,-4.567706584930419922e+00,-1.223300218582153320e+00,3.959071159362792969e+00
1.760745793059374809e+09,1.226345252990722656e+01,-4.642069339752197266e+00,-1.226678967475891113e+00,3.959167480468750000e+00
1.760745793078965187e+09,1.229040145874023438e+01,-4.716529846191406250e+00,-1.230057358741760254e+00,3.959549903869628906e+00
1.760745793099272966e+09,1.231709861755371094e+01,-4.791091442108154297e+00,-1.233435034751892090e+00,3.960141420364379883e+00
1.760745793118904829e+09,1.234354591369628906e+01,-4.865756511688232422e+00,-1.236811876296997070e+00,3.960925579071044922e+00
1.760745793139340878e+09,1.236974334716796875e+01,-4.940527915954589844e+00,-1.240188002586364746e+00,3.961884260177612305e+00
1.760745793158895969e+09,1.239566993713378906e+01,-5.015417098999023438e+00,-1.243877768516540527e+00,3.963093757629394531e+00
1.760745793179262638e+09,1.242093467712402344e+01,-5.090525627136230469e+00,-1.252100467681884766e+00,3.961450576782226562e+00
1.760745793198948145e+09,1.244538307189941406e+01,-5.165889263153076172e+00,-1.264478325843811035e+00,3.961604356765747070e+00
1.760745793219223738e+09,1.246898555755615234e+01,-5.241531372070312500e+00,-1.279158711433410645e+00,3.962316274642944336e+00
1.760745793238872766e+09,1.249167823791503906e+01,-5.317471981048583984e+00,-1.295080780982971191e+00,3.963595151901245117e+00
1.760745793259394169e+09,1.251337814331054688e+01,-5.393688678741455078e+00,-1.311696767807006836e+00,3.961180448532104492e+00
1.760745793278874159e+09,1.253416252136230469e+01,-5.470137596130371094e+00,-1.326918959617614746e+00,3.961205244064331055e+00
1.760745793299188137e+09,1.255411434173583984e+01,-5.546814918518066406e+00,-1.339896082878112793e+00,3.961881399154663086e+00
1.760745793318942785e+09,1.257320022583007812e+01,-5.623732089996337891e+00,-1.351567506790161133e+00,3.963151693344116211e+00
1.760745793339293242e+09,1.259140968322753906e+01,-5.700856208801269531e+00,-1.362527608871459961e+00,3.961434125900268555e+00
1.760745793358875990e+09,1.260874557495117188e+01,-5.778166770935058594e+00,-1.373095154762268066e+00,3.961648464202880859e+00
