# time,x,y,theta,velocity
1.760745490352695227e+09,2.834331035614013672e+00,-1.194415378570556641e+01,4.216310754418373108e-02,2.411897182464599609e+00
1.760745490372845173e+09,2.882703304290771484e+00,-1.194401645660400391e+01,2.281778678297996521e-02,2.425239801406860352e+00
1.760745490392519236e+09,2.931354522705078125e+00,-1.194481468200683594e+01,3.213036339730024338e-03,2.440437793731689453e+00
1.760745490412418604e+09,2.980303049087524414e+00,-1.194656276702880859e+01,-1.652934215962886810e-02,2.457383394241333008e+00
1.760745490432676554e+09,3.029531002044677734e+00,-1.194927501678466797e+01,-3.640083596110343933e-02,2.472755908966064453e+00
1.760745490452321529e+09,3.079021453857421875e+00,-1.195296764373779297e+01,-5.638427287340164185e-02,2.489924430847167969e+00
1.760745490472635746e+09,3.128759145736694336e+00,-1.195763015747070312e+01,-7.619360834360122681e-02,2.505499362945556641e+00
1.760745490492343664e+09,3.178751230239868164e+00,-1.196305561065673828e+01,-9.380505234003067017e-02,2.522915124893188477e+00
1.760745490512631178e+09,3.228985548019409180e+00,-1.196927356719970703e+01,-1.104006320238113403e-01,2.538714170455932617e+00
1.760745490532346964e+09,3.279469966888427734e+00,-1.197616863250732422e+01,-1.250660270452499390e-01,2.556395292282104492e+00
1.760745490552546501e+09,3.330211639404296875e+00,-1.198364830017089844e+01,-1.378719061613082886e-01,2.572435140609741211e+00
1.760745490572201014e+09,3.381202459335327148e+00,-1.199174880981445312e+01,-1.499213874340057373e-01,2.590394258499145508e+00
1.760745490592633963e+09,3.432435750961303711e+00,-1.200048351287841797e+01,-1.616920679807662964e-01,2.606685876846313477e+00
1.760745490612339973e+09,3.483910560607910156e+00,-1.200983905792236328e+01,-1.730866879224777222e-01,2.624930143356323242e+00
1.760745490632523060e+09,3.535663843154907227e+00,-1.201960182189941406e+01,-1.821438521146774292e-01,2.641480684280395508e+00
1.760745490652308702e+09,3.587688446044921875e+00,-1.202981185913085938e+01,-1.903418302536010742e-01,2.660015344619750977e+00
1.760745490672611475e+09,3.639940023422241211e+00,-1.204068183898925781e+01,-2.001282870769500732e-01,2.676829099655151367e+00
1.760745490692243576e+09,3.692463159561157227e+00,-1.205199241638183594e+01,-2.085780054330825806e-01,2.695656299591064453e+00
