# time,x,y,theta,velocity
1.760747584669769287e+09,1.863408279418945312e+01,-2.122278213500976562e+01,3.133029937744140625e+00,3.962469816207885742e+00
1.760747584690354347e+09,1.855485534667968750e+01,-2.122239875793457031e+01,3.136316061019897461e+00,3.960453748703002930e+00
1.760747584709737539e+09,1.847564506530761719e+01,-2.122216033935546875e+01,3.139738559722900391e+00,3.960709571838378906e+00
1.760747584730576992e+09,1.839642333984375000e+01,-2.122209358215332031e+01,-3.139972686767578125e+00,3.961392402648925781e+00
1.760747584749627829e+09,1.831718826293945312e+01,-2.122222518920898438e+01,-3.136487245559692383e+00,3.962109327316284180e+00
1.760747584770082712e+09,1.823793601989746094e+01,-2.122257041931152344e+01,-3.133009672164916992e+00,3.963267087936401367e+00
1.760747584789631605e+09,1.815869522094726562e+01,-2.122314643859863281e+01,-3.129537582397460938e+00,3.961122751235961914e+00
1.760747584810102940e+09,1.807948684692382812e+01,-2.122396278381347656e+01,-3.126072645187377930e+00,3.960158824920654297e+00
1.760747584829740047e+09,1.800028800964355469e+01,-2.122487258911132812e+01,-3.124363183975219727e+00,3.960194349288940430e+00
1.760747584850187063e+09,1.792108535766601562e+01,-2.122574424743652344e+01,-3.125035285949707031e+00,3.960683345794677734e+00
1.760747584870004177e+09,1.784186553955078125e+01,-2.122657012939453125e+01,-3.127047538757324219e+00,3.961698770523071289e+00
1.760747584890030861e+09,1.776262283325195312e+01,-2.122732353210449219e+01,-3.129796266555786133e+00,3.962870121002197266e+00
1.760747584909669161e+09,1.768339538574218750e+01,-2.122796630859375000e+01,-3.132941246032714844e+00,3.960324287414550781e+00
1.760747584929963350e+09,1.760419082641601562e+01,-2.122846794128417969e+01,-3.136286258697509766e+00,3.960292339324951172e+00
1.760747584949700356e+09,1.752498435974121094e+01,-2.122879791259765625e+01,-3.139720678329467773e+00,3.960375785827636719e+00
1.760747584969910383e+09,1.744577407836914062e+01,-2.122893333435058594e+01,3.139997959136962891e+00,3.960743188858032227e+00
1.760747584989661455e+09,1.736655044555664062e+01,-2.122885704040527344e+01,3.136527776718139648e+00,3.961498260498046875e+00
1.760747585009994745e+09,1.728731155395507812e+01,-2.122855377197265625e+01,3.133067131042480469e+00,3.962432384490966797e+00
1.760747585029640675e+09,1.720805549621582031e+01,-2.122801208496093750e+01,3.129620552062988281e+00,3.963508367538452148e+00
1.760747585049937487e+09,1.712881851196289062e+01,-2.122722244262695312e+01,3.126175165176391602e+00,3.960642814636230469e+00
1.760747585069728136e+09,1.704961204528808594e+01,-2.122618293762207031e+01,3.122735500335693359e+00,3.960692882537841797e+00
1.760747585089949608e+09,1.697040557861328125e+01,-2.122488594055175781e+01,3.119310617446899414e+00,3.961019277572631836e+00
1.760747585109773159e+09,1.689119338989257812e+01,-2.122332763671875000e+01,3.115898609161376953e+00,3.961776256561279297e+00
1.760747585130065441e+09,1.681200790405273438e+01,-2.122150802612304688e+01,3.112483978271484375e+00,3.958972215652465820e+00
1.760747585149657488e+09,1.673285484313964844e+01,-2.121942520141601562e+01,3.109071016311645508e+00,3.959026336669921875e+00
1.760747585170339823e+09,1.665370178222656250e+01,-2.121707534790039062e+01,3.105669498443603516e+00,3.959792613983154297e+00
1.760747585189723730e+09,1.657456970214843750e+01,-2.121446037292480469e+01,3.102267503738403320e+00,3.957816362380981445e+00
1.760747585209908724e+09,1.649547576904296875e+01,-2.121157836914062500e+01,3.098862886428833008e+00,3.956943273544311523e+00
1.760747585229821205e+09,1.641639709472656250e+01,-2.120842933654785156e+01,3.095463991165161133e+00,3.957199335098266602e+00
1.760747585250142097e+09,1.633731651306152344e+01,-2.120501136779785156e+01,3.092074155807495117e+00,3.958160400390625000e+00
1.760747585269777536e+09,1.625822257995605469e+01,-2.120132637023925781e+01,3.088693380355834961e+00,3.959836959838867188e+00
1.760747585289903641e+09,1.617913246154785156e+01,-2.119737243652343750e+01,3.085310459136962891e+00,3.959039926528930664e+00
1.760747585309667587e+09,1.610006141662597656e+01,-2.119315147399902344e+01,3.081923961639404297e+00,3.959385395050048828e+00
1.760747585329956770e+09,1.602099037170410156e+01,-2.118866157531738281e+01,3.078540563583374023e+00,3.960374116897583008e+00
1.760747585349725962e+09,1.594191455841064453e+01,-2.118390274047851562e+01,3.075160980224609375e+00,3.961557626724243164e+00
1.760747585370225906e+09,1.586286640167236328e+01,-2.117887687683105469e+01,3.071771860122680664e+00,3.959383010864257812e+00
1.760747585389657259e+09,1.578385257720947266e+01,-2.117358589172363281e+01,3.068377971649169922e+00,3.959653139114379883e+00
1.760747585409951448e+09,1.570485019683837891e+01,-2.116802597045898438e+01,3.064988851547241211e+00,3.960186958312988281e+00
1.760747585429694176e+09,1.562585163116455078e+01,-2.116219711303710938e+01,3.061603784561157227e+00,3.961103200912475586e+00
1.760747585449922085e+09,1.554685211181640625e+01,-2.115607261657714844e+01,3.057909488677978516e+00,3.962503910064697266e+00
