# time,x,y,theta,velocity
1.760748133428110600e+09,2.211015510559082031e+01,-6.886889457702636719e+00,2.662490844726562500e+00,3.822870254516601562e+00
1.760748133447887421e+09,2.204235458374023438e+01,-6.851190567016601562e+00,2.665602684020996094e+00,3.839314937591552734e+00
1.760748133468113422e+09,2.197413444519042969e+01,-6.815619945526123047e+00,2.668655157089233398e+00,3.854232788085937500e+00
1.760748133487818003e+09,2.190552711486816406e+01,-6.780176639556884766e+00,2.671708106994628906e+00,3.867765665054321289e+00
1.760748133508310556e+09,2.183656311035156250e+01,-6.744862079620361328e+00,2.674787759780883789e+00,3.880042076110839844e+00
1.760748133527869463e+09,2.176733779907226562e+01,-6.709546566009521484e+00,2.676208972930908203e+00,3.891178846359252930e+00
1.760748133548153400e+09,2.169793319702148438e+01,-6.674113750457763672e+00,2.675369262695312500e+00,3.901281833648681641e+00
1.760748133567893028e+09,2.162837600708007812e+01,-6.638558387756347656e+00,2.673276185989379883e+00,3.910446643829345703e+00
1.760748133588265419e+09,2.155870628356933594e+01,-6.602836608886718750e+00,2.670197010040283203e+00,3.918760776519775391e+00
1.760748133607843161e+09,2.148907089233398438e+01,-6.566707134246826172e+00,2.664043903350830078e+00,3.926302909851074219e+00
1.760748133628314257e+09,2.141950416564941406e+01,-6.530129909515380859e+00,2.655974388122558594e+00,3.933144807815551758e+00
1.760748133647863388e+09,2.135004997253417969e+01,-6.493065357208251953e+00,2.646858930587768555e+00,3.939351558685302734e+00
1.760748133668043137e+09,2.128073501586914062e+01,-6.455492496490478516e+00,2.637501001358032227e+00,3.944982051849365234e+00
1.760748133687867165e+09,2.121147918701171875e+01,-6.417586326599121094e+00,2.630603790283203125e+00,3.950089931488037109e+00
1.760748133708274364e+09,2.114223098754882812e+01,-6.379463195800781250e+00,2.627054214477539062e+00,3.954723596572875977e+00
1.760748133727834463e+09,2.107293701171875000e+01,-6.341237545013427734e+00,2.626770734786987305e+00,3.958926916122436523e+00
1.760748133748403072e+09,2.100360107421875000e+01,-6.302927970886230469e+00,2.628317832946777344e+00,3.962740182876586914e+00
1.760748133767826080e+09,2.093420219421386719e+01,-6.264576435089111328e+00,2.630864620208740234e+00,3.966199398040771484e+00
