# time,x,y,theta,velocity
1.762310134830125093e+09,1.301996135711669922e+01,-7.792263984680175781e+00,-1.400038838386535645e+00,3.999979972839355469e+00
1.762310134849798441e+09,1.303310012817382812e+01,-7.870120525360107422e+00,-1.398907303810119629e+00,3.999981880187988281e+00
1.762310134869889021e+09,1.304636955261230469e+01,-7.947720527648925781e+00,-1.397836208343505859e+00,3.999983549118041992e+00
1.762310134889786959e+09,1.306049060821533203e+01,-8.028556823730468750e+00,-1.396349310874938965e+00,3.999985218048095703e+00
1.762310134909868002e+09,1.307398986816406250e+01,-8.105978012084960938e+00,-1.393895864486694336e+00,3.999986410140991211e+00
1.762310134929631948e+09,1.308710956573486328e+01,-8.182882308959960938e+00,-1.392331480979919434e+00,3.999987840652465820e+00
1.762310134949951410e+09,1.310121345520019531e+01,-8.261743545532226562e+00,-1.391851902008056641e+00,3.999988794326782227e+00
1.762310134969584942e+09,1.311544704437255859e+01,-8.340541839599609375e+00,-1.391806840896606445e+00,3.999989986419677734e+00
1.762310134990049839e+09,1.313047885894775391e+01,-8.421675682067871094e+00,-1.391861200332641602e+00,3.999990940093994141e+00
1.762310135009698629e+09,1.314720249176025391e+01,-8.507053375244140625e+00,-1.392275214195251465e+00,3.999991655349731445e+00
1.762310135030151844e+09,1.316257667541503906e+01,-8.588527679443359375e+00,-1.394266009330749512e+00,3.999992370605468750e+00
1.762310135049649000e+09,1.317702102661132812e+01,-8.666946411132812500e+00,-1.395734190940856934e+00,3.999993085861206055e+00
1.762310135070247889e+09,1.319065761566162109e+01,-8.737504005432128906e+00,-1.396010875701904297e+00,3.999993801116943359e+00
1.762310135089516401e+09,1.321226024627685547e+01,-8.843307495117187500e+00,-1.400242447853088379e+00,3.999994277954101562e+00
1.762310135110185862e+09,1.322698593139648438e+01,-8.922608375549316406e+00,-1.401610493659973145e+00,3.999994993209838867e+00
1.762310135129680395e+09,1.323799610137939453e+01,-8.988584518432617188e+00,-1.401016712188720703e+00,3.999995470046997070e+00
1.762310135150179148e+09,1.325793743133544922e+01,-9.093357086181640625e+00,-1.400262951850891113e+00,3.999995708465576172e+00
1.762310135169619560e+09,1.326799869537353516e+01,-9.153906822204589844e+00,-1.399847984313964844e+00,3.999996185302734375e+00
1.762310135190346956e+09,1.328465366363525391e+01,-9.240358352661132812e+00,-1.396954417228698730e+00,3.999996662139892578e+00
1.762310135209615946e+09,1.330800151824951172e+01,-9.346973419189453125e+00,-1.393630504608154297e+00,3.999996900558471680e+00
1.762310135230039358e+09,1.331644344329833984e+01,-9.398209571838378906e+00,-1.392489314079284668e+00,3.999997138977050781e+00
1.762310135249889374e+09,1.333133697509765625e+01,-9.479597091674804688e+00,-1.390048384666442871e+00,3.999997377395629883e+00
1.762310135269709349e+09,1.335013008117675781e+01,-9.568482398986816406e+00,-1.385898113250732422e+00,3.999997615814208984e+00
1.762310135289646149e+09,1.336415386199951172e+01,-9.643287658691406250e+00,-1.381687879562377930e+00,3.999997854232788086e+00
1.762310135309701681e+09,1.338289451599121094e+01,-9.732098579406738281e+00,-1.372443437576293945e+00,3.999998092651367188e+00
1.762310135329917908e+09,1.340059947967529297e+01,-9.816636085510253906e+00,-1.368697166442871094e+00,3.999998331069946289e+00
1.762310135350192547e+09,1.341573238372802734e+01,-9.894929885864257812e+00,-1.366236209869384766e+00,3.999998331069946289e+00
1.762310135369612694e+09,1.343237590789794922e+01,-9.978196144104003906e+00,-1.365520715713500977e+00,3.999998569488525391e+00
1.762310135390078783e+09,1.344743442535400391e+01,-1.005856990814208984e+01,-1.363987922668457031e+00,3.999998807907104492e+00
1.762310135409817696e+09,1.346241283416748047e+01,-1.013537883758544922e+01,-1.364356279373168945e+00,3.999998807907104492e+00
1.762310135429921627e+09,1.347995090484619141e+01,-1.022246456146240234e+01,-1.361331820487976074e+00,3.999998807907104492e+00
1.762310135449635267e+09,1.349526977539062500e+01,-1.030254364013671875e+01,-1.358236432075500488e+00,3.999999046325683594e+00
1.762310135470096588e+09,1.351109409332275391e+01,-1.038142108917236328e+01,-1.355452537536621094e+00,3.999999046325683594e+00
1.762310135489506483e+09,1.352734279632568359e+01,-1.046138954162597656e+01,-1.352744340896606445e+00,3.999999284744262695e+00
1.762310135510164261e+09,1.354293537139892578e+01,-1.053833770751953125e+01,-1.350210189819335938e+00,3.999999284744262695e+00
1.762310135529531002e+09,1.355917644500732422e+01,-1.061783981323242188e+01,-1.348398804664611816e+00,3.999999284744262695e+00
1.762310135550133228e+09,1.357538032531738281e+01,-1.069606018066406250e+01,-1.346378684043884277e+00,3.999999284744262695e+00
1.762310135569670916e+09,1.359183025360107422e+01,-1.077524566650390625e+01,-1.343973636627197266e+00,3.999999523162841797e+00
1.762310135590200663e+09,1.360837936401367188e+01,-1.085413551330566406e+01,-1.342068672180175781e+00,3.999999523162841797e+00
1.762310135609601021e+09,1.362437820434570312e+01,-1.092984008789062500e+01,-1.339694142341613770e+00,3.999999523162841797e+00
1.762310135630246639e+09,1.364078330993652344e+01,-1.100718975067138672e+01,-1.337715387344360352e+00,3.999999523162841797e+00
1.762310135649734259e+09,1.365763378143310547e+01,-1.108540058135986328e+01,-1.336296081542968750e+00,3.999999523162841797e+00
1.762310135669682741e+09,1.367410755157470703e+01,-1.116231346130371094e+01,-1.334335803985595703e+00,3.999999761581420898e+00
1.762310135689629793e+09,1.369129848480224609e+01,-1.124024105072021484e+01,-1.332095146179199219e+00,3.999999761581420898e+00
1.762310135709760427e+09,1.370934963226318359e+01,-1.131910228729248047e+01,-1.329852700233459473e+00,3.999999761581420898e+00
1.762310135729852676e+09,1.372658348083496094e+01,-1.139422512054443359e+01,-1.326399087905883789e+00,3.999999761581420898e+00
1.762310135749944210e+09,1.374504470825195312e+01,-1.146890735626220703e+01,-1.320497155189514160e+00,3.999999761581420898e+00
1.762310135769750834e+09,1.376395702362060547e+01,-1.154566860198974609e+01,-1.313452124595642090e+00,3.999999761581420898e+00
1.762310135790194273e+09,1.378340816497802734e+01,-1.162384986877441406e+01,-1.305088758468627930e+00,3.999999761581420898e+00
1.762310135809756994e+09,1.380224037170410156e+01,-1.170158290863037109e+01,-1.297203540802001953e+00,3.999999761581420898e+00
1.762310135829955578e+09,1.382223415374755859e+01,-1.178102016448974609e+01,-1.290239453315734863e+00,3.999999761581420898e+00
1.762310135849548817e+09,1.384100246429443359e+01,-1.185730457305908203e+01,-1.284356355667114258e+00,3.999999761581420898e+00
1.762310135869923592e+09,1.386086654663085938e+01,-1.193657684326171875e+01,-1.279872298240661621e+00,3.999999761581420898e+00
1.762310135889493704e+09,1.388456439971923828e+01,-1.201932048797607422e+01,-1.263635396957397461e+00,4.000000000000000000e+00
1.762310135910115957e+09,1.390601158142089844e+01,-1.209673118591308594e+01,-1.256594777107238770e+00,4.000000000000000000e+00
1.762310135929591417e+09,1.392929553985595703e+01,-1.218039703369140625e+01,-1.251773834228515625e+00,4.000000000000000000e+00
1.762310135950371504e+09,1.394994163513183594e+01,-1.225520515441894531e+01,-1.245491981506347656e+00,4.000000000000000000e+00
1.762310135969643116e+09,1.397256088256835938e+01,-1.233292388916015625e+01,-1.235732436180114746e+00,4.000000000000000000e+00
1.762310135990072489e+09,1.399499130249023438e+01,-1.240817737579345703e+01,-1.227966785430908203e+00,4.000000000000000000e+00
