# time,x,y,theta,velocity
1.762310134830125093e+09,1.304770278930664062e+01,-8.034351348876953125e+00,-1.398399591445922852e+00,3.999979972839355469e+00
1.762310134849798441e+09,1.306144809722900391e+01,-8.113162040710449219e+00,-1.396307587623596191e+00,3.999981880187988281e+00
1.762310134869889021e+09,1.307526588439941406e+01,-8.191959381103515625e+00,-1.393934726715087891e+00,3.999983549118041992e+00
1.762310134889786959e+09,1.308916950225830078e+01,-8.270741462707519531e+00,-1.391344904899597168e+00,3.999985218048095703e+00
1.762310134909868002e+09,1.310316944122314453e+01,-8.349506378173828125e+00,-1.388590216636657715e+00,3.999986410140991211e+00
1.762310134929631948e+09,1.311721801757812500e+01,-8.428262710571289062e+00,-1.386442303657531738e+00,3.999987840652465820e+00
1.762310134949951410e+09,1.313126850128173828e+01,-8.507019042968750000e+00,-1.385462164878845215e+00,3.999988794326782227e+00
1.762310134969584942e+09,1.314532661437988281e+01,-8.585774421691894531e+00,-1.385428905487060547e+00,3.999989986419677734e+00
1.762310134990049839e+09,1.315939140319824219e+01,-8.664527893066406250e+00,-1.386157989501953125e+00,3.999990940093994141e+00
1.762310135009698629e+09,1.317345714569091797e+01,-8.743281364440917969e+00,-1.387495875358581543e+00,3.999991655349731445e+00
1.762310135030151844e+09,1.318751049041748047e+01,-8.822036743164062500e+00,-1.389315485954284668e+00,3.999992370605468750e+00
1.762310135049649000e+09,1.320154190063476562e+01,-8.900796890258789062e+00,-1.391512393951416016e+00,3.999993085861206055e+00
1.762310135070247889e+09,1.321553421020507812e+01,-8.979563713073730469e+00,-1.394000887870788574e+00,3.999993801116943359e+00
1.762310135089516401e+09,1.322953224182128906e+01,-9.058329582214355469e+00,-1.395981431007385254e+00,3.999994277954101562e+00
1.762310135110185862e+09,1.324357891082763672e+01,-9.137086868286132812e+00,-1.396870613098144531e+00,3.999994993209838867e+00
1.762310135129680395e+09,1.325766468048095703e+01,-9.215836524963378906e+00,-1.396870851516723633e+00,3.999995470046997070e+00
1.762310135150179148e+09,1.327178573608398438e+01,-9.294580459594726562e+00,-1.396151661872863770e+00,3.999995708465576172e+00
1.762310135169619560e+09,1.328594493865966797e+01,-9.373317718505859375e+00,-1.394854903221130371e+00,3.999996185302734375e+00
1.762310135190346956e+09,1.330014896392822266e+01,-9.452046394348144531e+00,-1.393097996711730957e+00,3.999996662139892578e+00
1.762310135209615946e+09,1.331440639495849609e+01,-9.530765533447265625e+00,-1.390978217124938965e+00,3.999996900558471680e+00
1.762310135230039358e+09,1.332872962951660156e+01,-9.609472274780273438e+00,-1.388575196266174316e+00,3.999997138977050781e+00
1.762310135249889374e+09,1.334313011169433594e+01,-9.688165664672851562e+00,-1.385954499244689941e+00,3.999997377395629883e+00
1.762310135269709349e+09,1.335761928558349609e+01,-9.766842842102050781e+00,-1.383168816566467285e+00,3.999997615814208984e+00
1.762310135289646149e+09,1.337221145629882812e+01,-9.845500946044921875e+00,-1.380261063575744629e+00,3.999997854232788086e+00
1.762310135309701681e+09,1.338691711425781250e+01,-9.924137115478515625e+00,-1.377265334129333496e+00,3.999998092651367188e+00
1.762310135329917908e+09,1.340174770355224609e+01,-1.000275039672851562e+01,-1.374208688735961914e+00,3.999998331069946289e+00
1.762310135350192547e+09,1.341671562194824219e+01,-1.008133792877197266e+01,-1.371112585067749023e+00,3.999998331069946289e+00
1.762310135369612694e+09,1.343182945251464844e+01,-1.015989685058593750e+01,-1.367993354797363281e+00,3.999998569488525391e+00
1.762310135390078783e+09,1.344709968566894531e+01,-1.023842620849609375e+01,-1.364863753318786621e+00,3.999998807907104492e+00
1.762310135409817696e+09,1.346253299713134766e+01,-1.031692314147949219e+01,-1.361733078956604004e+00,3.999998807907104492e+00
1.762310135429921627e+09,1.347813987731933594e+01,-1.039538669586181641e+01,-1.358608365058898926e+00,3.999998807907104492e+00
1.762310135449635267e+09,1.349392414093017578e+01,-1.047381305694580078e+01,-1.355494499206542969e+00,3.999999046325683594e+00
1.762310135470096588e+09,1.350989437103271484e+01,-1.055220317840576172e+01,-1.352394580841064453e+00,3.999999046325683594e+00
1.762310135489506483e+09,1.352605438232421875e+01,-1.063055419921875000e+01,-1.349310994148254395e+00,3.999999284744262695e+00
1.762310135510164261e+09,1.354240894317626953e+01,-1.070886421203613281e+01,-1.346244573593139648e+00,3.999999284744262695e+00
1.762310135529531002e+09,1.355896377563476562e+01,-1.078713321685791016e+01,-1.343195915222167969e+00,3.999999284744262695e+00
1.762310135550133228e+09,1.357572078704833984e+01,-1.086535835266113281e+01,-1.340164661407470703e+00,3.999999284744262695e+00
1.762310135569670916e+09,1.359268379211425781e+01,-1.094353866577148438e+01,-1.337150335311889648e+00,3.999999523162841797e+00
