# time,x,y,theta,velocity
1.762310134830125093e+09,1.300198459625244141e+01,-7.716634750366210938e+00,-1.401108145713806152e+00,3.999979972839355469e+00
1.762310134849798441e+09,1.301683998107910156e+01,-7.796655178070068359e+00,-1.400511622428894043e+00,3.999981880187988281e+00
1.762310134869889021e+09,1.303178215026855469e+01,-7.872474670410156250e+00,-1.399717092514038086e+00,3.999983549118041992e+00
1.762310134889786959e+09,1.305338668823242188e+01,-7.962858200073242188e+00,-1.398648500442504883e+00,3.999985218048095703e+00
1.762310134909868002e+09,1.307140445709228516e+01,-8.043083190917968750e+00,-1.397779822349548340e+00,3.999986410140991211e+00
1.762310134929631948e+09,1.308828353881835938e+01,-8.115853309631347656e+00,-1.397677659988403320e+00,3.999987840652465820e+00
1.762310134949951410e+09,1.310480690002441406e+01,-8.184676170349121094e+00,-1.398421049118041992e+00,3.999988794326782227e+00
1.762310134969584942e+09,1.312810993194580078e+01,-8.264948844909667969e+00,-1.398794651031494141e+00,3.999989986419677734e+00
1.762310134990049839e+09,1.314782333374023438e+01,-8.340923309326171875e+00,-1.398871183395385742e+00,3.999990940093994141e+00
1.762310135009698629e+09,1.316707134246826172e+01,-8.413350105285644531e+00,-1.399628281593322754e+00,3.999991655349731445e+00
1.762310135030151844e+09,1.317960834503173828e+01,-8.493865966796875000e+00,-1.401071548461914062e+00,3.999992370605468750e+00
1.762310135049649000e+09,1.319497108459472656e+01,-8.575501441955566406e+00,-1.402171611785888672e+00,3.999993085861206055e+00
1.762310135070247889e+09,1.321118927001953125e+01,-8.646703720092773438e+00,-1.402692794799804688e+00,3.999993801116943359e+00
1.762310135089516401e+09,1.323078727722167969e+01,-8.744099617004394531e+00,-1.413257598876953125e+00,3.999994277954101562e+00
1.762310135110185862e+09,1.325024318695068359e+01,-8.834573745727539062e+00,-1.417689681053161621e+00,3.999994993209838867e+00
1.762310135129680395e+09,1.327202892303466797e+01,-8.916842460632324219e+00,-1.419357419013977051e+00,3.999995470046997070e+00
1.762310135150179148e+09,1.329068660736083984e+01,-8.995270729064941406e+00,-1.419313311576843262e+00,3.999995708465576172e+00
1.762310135169619560e+09,1.330759906768798828e+01,-9.101357460021972656e+00,-1.418330073356628418e+00,3.999996185302734375e+00
1.762310135190346956e+09,1.332720470428466797e+01,-9.213644981384277344e+00,-1.415261626243591309e+00,3.999996662139892578e+00
1.762310135209615946e+09,1.334429645538330078e+01,-9.310080528259277344e+00,-1.411557912826538086e+00,3.999996900558471680e+00
1.762310135230039358e+09,1.336050319671630859e+01,-9.402787208557128906e+00,-1.407613277435302734e+00,3.999997138977050781e+00
1.762310135249889374e+09,1.337819957733154297e+01,-9.483530998229980469e+00,-1.404791831970214844e+00,3.999997377395629883e+00
1.762310135269709349e+09,1.339608001708984375e+01,-9.555880546569824219e+00,-1.403213620185852051e+00,3.999997615814208984e+00
1.762310135289646149e+09,1.341468811035156250e+01,-9.637162208557128906e+00,-1.402286171913146973e+00,3.999997854232788086e+00
1.762310135309701681e+09,1.343393230438232422e+01,-9.719323158264160156e+00,-1.401109337806701660e+00,3.999998092651367188e+00
1.762310135329917908e+09,1.344978809356689453e+01,-9.792189598083496094e+00,-1.399335265159606934e+00,3.999998331069946289e+00
1.762310135350192547e+09,1.346345043182373047e+01,-9.857751846313476562e+00,-1.397814273834228516e+00,3.999998331069946289e+00
1.762310135369612694e+09,1.348065376281738281e+01,-9.932957649230957031e+00,-1.396727919578552246e+00,3.999998569488525391e+00
1.762310135390078783e+09,1.349706840515136719e+01,-1.000728511810302734e+01,-1.394858002662658691e+00,3.999998807907104492e+00
1.762310135409817696e+09,1.351094245910644531e+01,-1.008102226257324219e+01,-1.391462326049804688e+00,3.999998807907104492e+00
1.762310135429921627e+09,1.352185916900634766e+01,-1.016836261749267578e+01,-1.385538816452026367e+00,3.999998807907104492e+00
1.762310135449635267e+09,1.352739715576171875e+01,-1.026501560211181641e+01,-1.376660108566284180e+00,3.999999046325683594e+00
1.762310135470096588e+09,1.353139019012451172e+01,-1.036562442779541016e+01,-1.366119384765625000e+00,3.999999046325683594e+00
1.762310135489506483e+09,1.353339767456054688e+01,-1.048112583160400391e+01,-1.355916142463684082e+00,3.999999284744262695e+00
1.762310135510164261e+09,1.354137611389160156e+01,-1.057091903686523438e+01,-1.350249171257019043e+00,3.999999284744262695e+00
1.762310135529531002e+09,1.355312156677246094e+01,-1.064810180664062500e+01,-1.347494482994079590e+00,3.999999284744262695e+00
1.762310135550133228e+09,1.356694984436035156e+01,-1.071682834625244141e+01,-1.345462799072265625e+00,3.999999284744262695e+00
1.762310135569670916e+09,1.358730983734130859e+01,-1.079297828674316406e+01,-1.343967795372009277e+00,3.999999523162841797e+00
1.762310135590200663e+09,1.360613250732421875e+01,-1.086420345306396484e+01,-1.342380762100219727e+00,3.999999523162841797e+00
1.762310135609601021e+09,1.362354946136474609e+01,-1.092852306365966797e+01,-1.341335058212280273e+00,3.999999523162841797e+00
1.762310135630246639e+09,1.364214801788330078e+01,-1.100083827972412109e+01,-1.340187788009643555e+00,3.999999523162841797e+00
1.762310135649734259e+09,1.365969848632812500e+01,-1.107125282287597656e+01,-1.338520288467407227e+00,3.999999523162841797e+00
1.762310135669682741e+09,1.367464256286621094e+01,-1.113814067840576172e+01,-1.336655378341674805e+00,3.999999761581420898e+00
1.762310135689629793e+09,1.369950199127197266e+01,-1.121935367584228516e+01,-1.334790349006652832e+00,3.999999761581420898e+00
1.762310135709760427e+09,1.371822929382324219e+01,-1.129578304290771484e+01,-1.331786274909973145e+00,3.999999761581420898e+00
1.762310135729852676e+09,1.373619079589843750e+01,-1.136616897583007812e+01,-1.328423857688903809e+00,3.999999761581420898e+00
1.762310135749944210e+09,1.374986839294433594e+01,-1.143540096282958984e+01,-1.322595000267028809e+00,3.999999761581420898e+00
1.762310135769750834e+09,1.376297855377197266e+01,-1.152014923095703125e+01,-1.314193367958068848e+00,3.999999761581420898e+00
1.762310135790194273e+09,1.377335834503173828e+01,-1.160685062408447266e+01,-1.304892659187316895e+00,3.999999761581420898e+00
1.762310135809756994e+09,1.378309440612792969e+01,-1.168904018402099609e+01,-1.296031475067138672e+00,3.999999761581420898e+00
1.762310135829955578e+09,1.379928398132324219e+01,-1.177597427368164062e+01,-1.288329601287841797e+00,3.999999761581420898e+00
1.762310135849548817e+09,1.381868171691894531e+01,-1.185071754455566406e+01,-1.284127712249755859e+00,3.999999761581420898e+00
1.762310135869923592e+09,1.383809661865234375e+01,-1.191972637176513672e+01,-1.281046152114868164e+00,3.999999761581420898e+00
1.762310135889493704e+09,1.386889934539794922e+01,-1.202346611022949219e+01,-1.263123989105224609e+00,4.000000000000000000e+00
1.762310135910115957e+09,1.388599777221679688e+01,-1.210860919952392578e+01,-1.253246426582336426e+00,4.000000000000000000e+00
1.762310135929591417e+09,1.390030193328857422e+01,-1.218663024902343750e+01,-1.245450377464294434e+00,4.000000000000000000e+00
1.762310135950371504e+09,1.391419315338134766e+01,-1.225750827789306641e+01,-1.238806247711181641e+00,4.000000000000000000e+00
1.762310135969643116e+09,1.394066047668457031e+01,-1.233851623535156250e+01,-1.228890776634216309e+00,4.000000000000000000e+00
1.762310135990072489e+09,1.396619224548339844e+01,-1.241351413726806641e+01,-1.222248435020446777e+00,4.000000000000000000e+00
1.762310136009648323e+09,1.398714828491210938e+01,-1.248169994354248047e+01,-1.217770695686340332e+00,4.000000000000000000e+00
1.762310136030177832e+09,1.401420211791992188e+01,-1.255421161651611328e+01,-1.211249828338623047e+00,4.000000000000000000e+00
1.762310136049746513e+09,1.403729057312011719e+01,-1.262396335601806641e+01,-1.206750273704528809e+00,4.000000000000000000e+00
1.762310136069809914e+09,1.405611133575439453e+01,-1.268519687652587891e+01,-1.203300952911376953e+00,4.000000000000000000e+00
1.762310136089685202e+09,1.411211204528808594e+01,-1.278087711334228516e+01,-1.187834382057189941e+00,4.000000000000000000e+00
1.762310136109694481e+09,1.414677047729492188e+01,-1.286745834350585938e+01,-1.177448034286499023e+00,4.000000000000000000e+00
1.762310136129765511e+09,1.417577266693115234e+01,-1.295150852203369141e+01,-1.169481754302978516e+00,4.000000000000000000e+00
1.762310136150128603e+09,1.420136070251464844e+01,-1.302677059173583984e+01,-1.163980245590209961e+00,4.000000000000000000e+00
1.762310136169672489e+09,1.423867321014404297e+01,-1.310406017303466797e+01,-1.154456257820129395e+00,4.000000000000000000e+00
1.762310136189978361e+09,1.426902294158935547e+01,-1.317900657653808594e+01,-1.147508144378662109e+00,4.000000000000000000e+00
1.762310136209707499e+09,1.429464721679687500e+01,-1.324929237365722656e+01,-1.142240285873413086e+00,4.000000000000000000e+00
1.762310136229766130e+09,1.433086204528808594e+01,-1.333037281036376953e+01,-1.134099602699279785e+00,4.000000000000000000e+00
1.762310136249720573e+09,1.436294555664062500e+01,-1.340578556060791016e+01,-1.129388332366943359e+00,4.000000000000000000e+00
1.762310136269953489e+09,1.439262866973876953e+01,-1.347620105743408203e+01,-1.126055002212524414e+00,4.000000000000000000e+00
1.762310136289805412e+09,1.441855239868164062e+01,-1.357396984100341797e+01,-1.108439087867736816e+00,4.000000000000000000e+00
1.762310136310420752e+09,1.445267009735107422e+01,-1.365620326995849609e+01,-1.102219223976135254e+00,4.000000000000000000e+00
1.762310136329756021e+09,1.448508167266845703e+01,-1.372930145263671875e+01,-1.100881695747375488e+00,4.000000000000000000e+00
1.762310136349923849e+09,1.451495361328125000e+01,-1.379276180267333984e+01,-1.100202083587646484e+00,4.000000000000000000e+00
1.762310136369760990e+09,1.455524349212646484e+01,-1.386998176574707031e+01,-1.099243164062500000e+00,4.000000000000000000e+00
1.762310136390208483e+09,1.459082126617431641e+01,-1.394275569915771484e+01,-1.098434448242187500e+00,4.000000000000000000e+00
1.762310136409562111e+09,1.462534904479980469e+01,-1.401023960113525391e+01,-1.098085880279541016e+00,4.000000000000000000e+00
1.762310136430452108e+09,1.466817474365234375e+01,-1.408984470367431641e+01,-1.095257043838500977e+00,4.000000000000000000e+00
1.762310136449674606e+09,1.470604324340820312e+01,-1.416133213043212891e+01,-1.093972802162170410e+00,4.000000000000000000e+00
1.762310136469825506e+09,1.474059200286865234e+01,-1.423020458221435547e+01,-1.093703389167785645e+00,4.000000000000000000e+00
1.762310136489793062e+09,1.477834129333496094e+01,-1.431292629241943359e+01,-1.085766077041625977e+00,3.989569902420043945e+00
1.762310136509919643e+09,1.480978488922119141e+01,-1.438283061981201172e+01,-1.080298662185668945e+00,3.968361616134643555e+00
1.762310136529672623e+09,1.484079837799072266e+01,-1.445080471038818359e+01,-1.077686309814453125e+00,3.939447402954101562e+00
1.762310136549833536e+09,1.486667633056640625e+01,-1.451297378540039062e+01,-1.074781775474548340e+00,3.904837846755981445e+00
1.762310136569617510e+09,1.491750717163085938e+01,-1.459200000762939453e+01,-1.060165047645568848e+00,3.882141828536987305e+00
1.762310136589963913e+09,1.496253681182861328e+01,-1.466511535644531250e+01,-1.054562449455261230e+00,3.850964069366455078e+00
1.762310136609616041e+09,1.500142765045166016e+01,-1.473098850250244141e+01,-1.052884697914123535e+00,3.813574075698852539e+00
1.762310136630223989e+09,1.504862117767333984e+01,-1.480114841461181641e+01,-1.051714301109313965e+00,3.771455526351928711e+00
1.762310136649804354e+09,1.509005165100097656e+01,-1.486478233337402344e+01,-1.052840709686279297e+00,3.743834972381591797e+00
1.762310136670080662e+09,1.512368679046630859e+01,-1.492197513580322266e+01,-1.054470539093017578e+00,3.707463026046752930e+00
1.762310136690215826e+09,1.515754508972167969e+01,-1.498356819152832031e+01,-1.053928613662719727e+00,3.664772033691406250e+00
1.762310136710135460e+09,1.518924903869628906e+01,-1.504729557037353516e+01,-1.053824543952941895e+00,3.617997646331787109e+00
1.762310136729789734e+09,1.521575069427490234e+01,-1.510451412200927734e+01,-1.053596019744873047e+00,3.587324142456054688e+00
1.762310136750251532e+09,1.523643398284912109e+01,-1.515293693542480469e+01,-1.054336190223693848e+00,3.548470973968505859e+00
1.762310136769503832e+09,1.528988647460937500e+01,-1.523984336853027344e+01,-1.050559282302856445e+00,3.504268407821655273e+00
1.762310136790193081e+09,1.532405853271484375e+01,-1.530287456512451172e+01,-1.050844788551330566e+00,3.456539154052734375e+00
1.762310136809507370e+09,1.535753059387207031e+01,-1.536080074310302734e+01,-1.053252935409545898e+00,3.425239562988281250e+00
1.762310136830005884e+09,1.539850044250488281e+01,-1.542874336242675781e+01,-1.060230493545532227e+00,3.386395215988159180e+00
1.762310136849673748e+09,1.543404960632324219e+01,-1.549133682250976562e+01,-1.066330432891845703e+00,3.344000816345214844e+00
1.762310136870566368e+09,1.546314334869384766e+01,-1.554338264465332031e+01,-1.071166276931762695e+00,3.316199779510498047e+00
1.762310136889590025e+09,1.549270725250244141e+01,-1.560874843597412109e+01,-1.080382704734802246e+00,3.282010316848754883e+00
1.762310136910157919e+09,1.552346229553222656e+01,-1.566868591308593750e+01,-1.089202284812927246e+00,3.244284152984619141e+00
1.762310136929620504e+09,1.555389976501464844e+01,-1.572091579437255859e+01,-1.097600460052490234e+00,3.219544410705566406e+00
1.762310136950011730e+09,1.558509254455566406e+01,-1.577241134643554688e+01,-1.105408906936645508e+00,3.188152074813842773e+00
1.762310136969612598e+09,1.561013698577880859e+01,-1.583646106719970703e+01,-1.114184379577636719e+00,3.152398586273193359e+00
1.762310136989675283e+09,1.563242530822753906e+01,-1.588951492309570312e+01,-1.121780037879943848e+00,3.128952264785766602e+00
1.762310137009711027e+09,1.565705299377441406e+01,-1.593801116943359375e+01,-1.129637002944946289e+00,3.098425626754760742e+00
1.762310137029698133e+09,1.568527126312255859e+01,-1.600552940368652344e+01,-1.148214817047119141e+00,3.078406810760498047e+00
1.762310137049978018e+09,1.571121597290039062e+01,-1.605857276916503906e+01,-1.162242650985717773e+00,3.050152778625488281e+00
1.762310137070037365e+09,1.573627948760986328e+01,-1.610770225524902344e+01,-1.172359466552734375e+00,3.016534090042114258e+00
1.762310137089699030e+09,1.576012802124023438e+01,-1.617251396179199219e+01,-1.186752676963806152e+00,2.994488000869750977e+00
1.762310137110051155e+09,1.578699016571044922e+01,-1.622744369506835938e+01,-1.200108289718627930e+00,2.964987754821777344e+00
1.762310137129711151e+09,1.581539058685302734e+01,-1.627540397644042969e+01,-1.211751818656921387e+00,2.945642471313476562e+00
1.762310137149752378e+09,1.583882713317871094e+01,-1.632007789611816406e+01,-1.220554590225219727e+00,2.917972564697265625e+00
1.762310137169627428e+09,1.585871982574462891e+01,-1.638617515563964844e+01,-1.237508654594421387e+00,2.884914875030517578e+00
1.762310137189992905e+09,1.587981319427490234e+01,-1.643941879272460938e+01,-1.251535177230834961e+00,2.863236188888549805e+00
1.762310137209469795e+09,1.590101051330566406e+01,-1.648668479919433594e+01,-1.263339042663574219e+00,2.834190368652343750e+00
1.762310137229988337e+09,1.591426944732666016e+01,-1.655064582824707031e+01,-1.278833627700805664e+00,2.815142631530761719e+00
1.762310137249911785e+09,1.593167209625244141e+01,-1.660498619079589844e+01,-1.291502237319946289e+00,2.787917375564575195e+00
1.762310137270378113e+09,1.595005512237548828e+01,-1.665300369262695312e+01,-1.302755236625671387e+00,2.770063638687133789e+00
1.762310137289663315e+09,1.596645736694335938e+01,-1.671639823913574219e+01,-1.318724632263183594e+00,2.743728637695312500e+00
1.762310137310220957e+09,1.598036289215087891e+01,-1.677002334594726562e+01,-1.331887483596801758e+00,2.711951494216918945e+00
1.762310137329493046e+09,1.599310779571533203e+01,-1.681664085388183594e+01,-1.342643857002258301e+00,2.691112995147705078e+00
1.762310137349910736e+09,1.600669670104980469e+01,-1.685562324523925781e+01,-1.351966142654418945e+00,2.663071870803833008e+00
1.762310137369526386e+09,1.601529884338378906e+01,-1.691256523132324219e+01,-1.367534995079040527e+00,2.644683361053466797e+00
