# time,x,y,theta,velocity
1.760561423525861979e+09,7.090360641479492188e+00,3.641520440578460693e-01,-2.958240807056427002e-01,7.105730533599853516e+00
1.760561423546705008e+09,7.229276657104492188e+00,3.363391160964965820e-01,-3.090559244155883789e-01,7.063898086547851562e+00
1.760561423565423489e+09,7.366857051849365234e+00,3.064483404159545898e-01,-3.213119506835937500e-01,7.017680168151855469e+00
1.760561423586161137e+09,7.503116130828857422e+00,2.745703756809234619e-01,-3.327059447765350342e-01,6.978370189666748047e+00
1.760561423605445147e+09,7.638027191162109375e+00,2.406376004219055176e-01,-3.454019129276275635e-01,6.935385704040527344e+00
1.760561423625871658e+09,7.771569252014160156e+00,2.045848369598388672e-01,-3.606351912021636963e-01,6.898998737335205078e+00
1.760561423645787477e+09,7.903823375701904297e+00,1.664462238550186157e-01,-3.773410618305206299e-01,6.867213726043701172e+00
1.760561423666394949e+09,8.034758567810058594e+00,1.262523382902145386e-01,-3.950988054275512695e-01,6.831367015838623047e+00
1.760561423685754299e+09,8.164350509643554688e+00,8.400928229093551636e-02,-4.135232865810394287e-01,6.800790309906005859e+00
1.760561423706427336e+09,8.292643547058105469e+00,3.969123214483261108e-02,-4.321340322494506836e-01,6.773965358734130859e+00
1.760561423725458145e+09,8.419592857360839844e+00,-6.697499658912420273e-03,-4.508686959743499756e-01,6.743742465972900391e+00
1.760561423745991707e+09,8.545169830322265625e+00,-5.515620484948158264e-02,-4.696048498153686523e-01,6.718080997467041016e+00
1.760561423765581131e+09,8.669405937194824219e+00,-1.057028248906135559e-01,-4.880786240100860596e-01,6.695736408233642578e+00
1.760561423785872698e+09,8.792254447937011719e+00,-1.583459973335266113e-01,-5.066739320755004883e-01,6.671069145202636719e+00
1.760561423805519581e+09,8.913584709167480469e+00,-2.133162021636962891e-01,-5.282787084579467773e-01,6.650416374206542969e+00
1.760561423826177359e+09,9.033391952514648438e+00,-2.706508934497833252e-01,-5.520296096801757812e-01,6.632765769958496094e+00
1.760561423846032858e+09,9.151620864868164062e+00,-3.303734958171844482e-01,-5.772165656089782715e-01,6.614138603210449219e+00
1.760561423865966320e+09,9.268209457397460938e+00,-3.925265073776245117e-01,-6.032689809799194336e-01,6.598993778228759766e+00
1.760561423885807276e+09,9.383120536804199219e+00,-4.571702778339385986e-01,-6.296570301055908203e-01,6.586588859558105469e+00
1.760561423906189442e+09,9.496305465698242188e+00,-5.243519544601440430e-01,-6.560490131378173828e-01,6.576333999633789062e+00
1.760561423925711155e+09,9.607694625854492188e+00,-5.940956473350524902e-01,-6.822972893714904785e-01,6.566709041595458984e+00
1.760561423946414232e+09,9.717223167419433594e+00,-6.664113402366638184e-01,-7.083047628402709961e-01,6.558852195739746094e+00
1.760561423965656281e+09,9.824847221374511719e+00,-7.413079142570495605e-01,-7.339261770248413086e-01,6.553699493408203125e+00
1.760561423986214161e+09,9.930533409118652344e+00,-8.187865018844604492e-01,-7.590392827987670898e-01,6.551114082336425781e+00
1.760561424005937099e+09,1.003424835205078125e+01,-8.988319635391235352e-01,-7.836042046546936035e-01,6.550413131713867188e+00
1.760561424026510477e+09,1.013595390319824219e+01,-9.814095497131347656e-01,-8.076695203781127930e-01,6.550701618194580078e+00
1.760561424046024561e+09,1.023560714721679688e+01,-1.066468596458435059e+00,-8.313341736793518066e-01,6.551463603973388672e+00
1.760561424066801548e+09,1.033317279815673828e+01,-1.153955698013305664e+00,-8.546590805053710938e-01,6.553472042083740234e+00
1.760561424085692644e+09,1.042862224578857422e+01,-1.243815898895263672e+00,-8.776905536651611328e-01,6.556095123291015625e+00
1.760561424106074810e+09,1.052192306518554688e+01,-1.335988402366638184e+00,-9.004871845245361328e-01,6.559364318847656250e+00
1.760561424125653982e+09,1.061305522918701172e+01,-1.430420756340026855e+00,-9.230458736419677734e-01,6.564363956451416016e+00
1.760561424146436691e+09,1.070200157165527344e+01,-1.527060627937316895e+00,-9.453723430633544922e-01,6.570035934448242188e+00
1.760561424165599823e+09,1.078873825073242188e+01,-1.625848531723022461e+00,-9.675110578536987305e-01,6.576394557952880859e+00
1.760561424186187983e+09,1.087324428558349609e+01,-1.726726412773132324e+00,-9.894934892654418945e-01,6.583447933197021484e+00
1.760561424205668688e+09,1.095550823211669922e+01,-1.829648971557617188e+00,-1.011283874511718750e+00,6.592626094818115234e+00
1.760561424226225138e+09,1.103552055358886719e+01,-1.934571027755737305e+00,-1.032869338989257812e+00,6.602441310882568359e+00
1.760561424245970249e+09,1.111326217651367188e+01,-2.041437149047851562e+00,-1.054294943809509277e+00,6.612897396087646484e+00
1.760561424267202854e+09,1.118872642517089844e+01,-2.150206804275512695e+00,-1.075525879859924316e+00,6.625668525695800781e+00
1.760561424285724640e+09,1.126190567016601562e+01,-2.260839700698852539e+00,-1.096552848815917969e+00,6.638983249664306641e+00
1.760561424306504726e+09,1.133278369903564453e+01,-2.373282194137573242e+00,-1.117431163787841797e+00,6.652847766876220703e+00
1.760561424325687885e+09,1.140136814117431641e+01,-2.487468957901000977e+00,-1.137884616851806641e+00,6.667264938354492188e+00
1.760561424346167088e+09,1.146787357330322266e+01,-2.603240489959716797e+00,-1.155176043510437012e+00,6.684179782867431641e+00
1.760561424365797997e+09,1.153234767913818359e+01,-2.720546960830688477e+00,-1.169946789741516113e+00,6.701519012451171875e+00
1.760561424386607885e+09,1.159484004974365234e+01,-2.839318513870239258e+00,-1.183007240295410156e+00,6.719291687011718750e+00
1.760561424405653238e+09,1.165542888641357422e+01,-2.959499597549438477e+00,-1.194891452789306641e+00,6.739644527435302734e+00
1.760561424426318645e+09,1.171420192718505859e+01,-3.081034898757934570e+00,-1.206006884574890137e+00,6.760293006896972656e+00
1.760561424446159601e+09,1.177123546600341797e+01,-3.203855276107788086e+00,-1.216705322265625000e+00,6.781255245208740234e+00
1.760561424466451883e+09,1.182661056518554688e+01,-3.327920913696289062e+00,-1.227164864540100098e+00,6.804866313934326172e+00
1.760561424485595942e+09,1.188053989410400391e+01,-3.453138828277587891e+00,-1.235759019851684570e+00,6.828649044036865234e+00
1.760561424506133556e+09,1.193322563171386719e+01,-3.579402923583984375e+00,-1.241599559783935547e+00,6.852630615234375000e+00
1.760561424525571585e+09,1.198477172851562500e+01,-3.706683635711669922e+00,-1.245570778846740723e+00,6.879327774047851562e+00
