# time,x,y,theta,velocity
1.762311300857876301e+09,2.773299407958984375e+01,-6.569327354431152344e+00,-4.669750034809112549e-01,3.999995470046997070e+00
1.762311300877309322e+09,2.780316352844238281e+01,-6.609923362731933594e+00,-4.624580442905426025e-01,3.999995946884155273e+00
1.762311300898034811e+09,2.787213325500488281e+01,-6.649260044097900391e+00,-4.596582949161529541e-01,3.999996423721313477e+00
1.762311300917276144e+09,2.793963050842285156e+01,-6.686971187591552734e+00,-4.577050805091857910e-01,3.999996662139892578e+00
1.762311300937671900e+09,2.801179885864257812e+01,-6.727080345153808594e+00,-4.550565779209136963e-01,3.999996900558471680e+00
1.762311300957548618e+09,2.808097457885742188e+01,-6.764680385589599609e+00,-4.544560015201568604e-01,3.999997138977050781e+00
1.762311300977335691e+09,2.815099143981933594e+01,-6.802629470825195312e+00,-4.546008110046386719e-01,3.999997615814208984e+00
1.762311300997232437e+09,2.822323226928710938e+01,-6.841458320617675781e+00,-4.550857841968536377e-01,3.999997854232788086e+00
1.762311301017371178e+09,2.829425048828125000e+01,-6.879234313964843750e+00,-4.566655457019805908e-01,3.999997854232788086e+00
1.762311301037516594e+09,2.836646080017089844e+01,-6.917174339294433594e+00,-4.584281146526336670e-01,3.999998092651367188e+00
1.762311301057925224e+09,2.843634414672851562e+01,-6.953417778015136719e+00,-4.609694182872772217e-01,3.999998331069946289e+00
1.762311301077307463e+09,2.850848579406738281e+01,-6.991239547729492188e+00,-4.639859497547149658e-01,3.999998569488525391e+00
1.762311301097676516e+09,2.857905578613281250e+01,-7.027831077575683594e+00,-4.672779738903045654e-01,3.999998569488525391e+00
1.762311301117604256e+09,2.864912796020507812e+01,-7.064270019531250000e+00,-4.713061153888702393e-01,3.999998807907104492e+00
1.762311301137614727e+09,2.872004508972167969e+01,-7.101573944091796875e+00,-4.751628935337066650e-01,3.999998807907104492e+00
1.762311301157101154e+09,2.879227256774902344e+01,-7.139654636383056641e+00,-4.790351390838623047e-01,3.999999046325683594e+00
1.762311301177553892e+09,2.886338996887207031e+01,-7.177352905273437500e+00,-4.835279583930969238e-01,3.999999046325683594e+00
