# time,x,y,theta,velocity
1.762311298917344570e+09,2.317807388305664062e+01,-6.520060300827026367e-01,-7.259296774864196777e-01,4.000000000000000000e+00
1.762311298937715530e+09,2.324235725402832031e+01,-6.996239423751831055e-01,-7.396711111068725586e-01,4.000000000000000000e+00
1.762311298957096338e+09,2.330599021911621094e+01,-7.481080293655395508e-01,-7.535762190818786621e-01,4.000000000000000000e+00
1.762311298977773190e+09,2.336895942687988281e+01,-7.974516153335571289e-01,-7.676106691360473633e-01,4.000000000000000000e+00
1.762311298997129679e+09,2.343125152587890625e+01,-8.476483821868896484e-01,-7.817465066909790039e-01,4.000000000000000000e+00
1.762311299017739296e+09,2.349284934997558594e+01,-8.986921310424804688e-01,-7.959605455398559570e-01,4.000000000000000000e+00
1.762311299037126780e+09,2.355374336242675781e+01,-9.505762457847595215e-01,-8.102346062660217285e-01,3.999972581863403320e+00
1.762311299057599545e+09,2.361391448974609375e+01,-1.003294110298156738e+00,-8.245536088943481445e-01,3.999954700469970703e+00
1.762311299077258825e+09,2.367333984375000000e+01,-1.056829571723937988e+00,-8.389261364936828613e-01,3.998636960983276367e+00
1.762311299097743750e+09,2.373199272155761719e+01,-1.111163020133972168e+00,-8.533647656440734863e-01,3.996730566024780273e+00
1.762311299117546797e+09,2.378985404968261719e+01,-1.166282176971435547e+00,-8.678616881370544434e-01,3.994715929031372070e+00
1.762311299137657166e+09,2.384691429138183594e+01,-1.222182989120483398e+00,-8.823911547660827637e-01,3.993394613265991211e+00
1.762311299157436132e+09,2.390316581726074219e+01,-1.278861761093139648e+00,-8.969333171844482422e-01,3.992054939270019531e+00
1.762311299177913666e+09,2.395858955383300781e+01,-1.336315035820007324e+00,-9.115402102470397949e-01,3.991014003753662109e+00
1.762311299197674990e+09,2.401312065124511719e+01,-1.394592642784118652e+00,-9.271345138549804688e-01,3.990331411361694336e+00
1.762311299217442513e+09,2.406672286987304688e+01,-1.453710794448852539e+00,-9.439002275466918945e-01,3.989883661270141602e+00
1.762311299237320423e+09,2.411938095092773438e+01,-1.513663411140441895e+00,-9.615955352783203125e-01,3.989590167999267578e+00
1.762311299257369041e+09,2.417107009887695312e+01,-1.574449777603149414e+00,-9.800173044204711914e-01,3.989688634872436523e+00
