# time,x,y,theta,velocity
1.762312774280184984e+09,2.247253608703613281e+01,2.021641731262207031e+00,4.499789774417877197e-01,3.997348785400390625e+00
1.762312774300419331e+09,2.254322624206542969e+01,2.062124729156494141e+00,4.413490295410156250e-01,3.997595071792602539e+00
1.762312774320202351e+09,2.261125755310058594e+01,2.100317478179931641e+00,4.356688261032104492e-01,3.997818231582641602e+00
1.762312774340355635e+09,2.268054771423339844e+01,2.138721942901611328e+00,4.315330386161804199e-01,3.998020887374877930e+00
1.762312774360223532e+09,2.275473594665527344e+01,2.178397655487060547e+00,4.186025559902191162e-01,3.998204469680786133e+00
1.762312774380479813e+09,2.282740974426269531e+01,2.216196298599243164e+00,4.100801944732666016e-01,3.998371362686157227e+00
1.762312774400314569e+09,2.289827346801757812e+01,2.252079725265502930e+00,4.055995047092437744e-01,3.998522520065307617e+00
1.762312774420639277e+09,2.296612930297851562e+01,2.285625934600830078e+00,4.032004177570343018e-01,3.998659610748291016e+00
1.762312774440310717e+09,2.303938674926757812e+01,2.320348739624023438e+00,3.984917402267456055e-01,3.998784065246582031e+00
1.762312774460591316e+09,2.312264060974121094e+01,2.359243869781494141e+00,3.951974809169769287e-01,3.998897075653076172e+00
1.762312774480237246e+09,2.319093513488769531e+01,2.389103174209594727e+00,3.933559358119964600e-01,3.998999357223510742e+00
1.762312774500847578e+09,2.326585006713867188e+01,2.423665046691894531e+00,3.916366100311279297e-01,3.999092340469360352e+00
1.762312774520041943e+09,2.333810997009277344e+01,2.456758975982666016e+00,3.905346095561981201e-01,3.999176502227783203e+00
1.762312774540562153e+09,2.340891838073730469e+01,2.489284992218017578e+00,3.910159766674041748e-01,3.999253034591674805e+00
1.762312774560074806e+09,2.348403358459472656e+01,2.523548841476440430e+00,3.910785913467407227e-01,3.999322414398193359e+00
1.762312774580968618e+09,2.355826377868652344e+01,2.557072401046752930e+00,3.916423618793487549e-01,3.999385356903076172e+00
1.762312774600305557e+09,2.362907600402832031e+01,2.588421106338500977e+00,3.930424749851226807e-01,3.999442338943481445e+00
1.762312774620620489e+09,2.369950294494628906e+01,2.618969202041625977e+00,3.943864107131958008e-01,3.999494075775146484e+00
1.762312774640185118e+09,2.377422142028808594e+01,2.651396274566650391e+00,3.963748216629028320e-01,3.999541044235229492e+00
1.762312774660695553e+09,2.384591293334960938e+01,2.682496786117553711e+00,3.984601795673370361e-01,3.999583721160888672e+00
1.762312774680136681e+09,2.391746902465820312e+01,2.713173866271972656e+00,4.008974432945251465e-01,3.999622344970703125e+00
1.762312774700506926e+09,2.399541473388671875e+01,2.746284484863281250e+00,4.029145836830139160e-01,3.999657392501831055e+00
1.762312774720194817e+09,2.407177543640136719e+01,2.778686523437500000e+00,4.048568904399871826e-01,3.999689102172851562e+00
