# time,x,y,theta,velocity
1.762312773640088320e+09,2.062666893005371094e+01,5.069570541381835938e-01,7.839387655258178711e-01,3.940085649490356445e+00
1.762312773661059856e+09,2.068299865722656250e+01,5.621427893638610840e-01,7.786049842834472656e-01,3.945647954940795898e+00
1.762312773680061817e+09,2.073951530456542969e+01,6.172911524772644043e-01,7.722250223159790039e-01,3.950694084167480469e+00
1.762312773700657606e+09,2.079623222351074219e+01,6.723699569702148438e-01,7.650341391563415527e-01,3.955271482467651367e+00
1.762312773720067024e+09,2.085317039489746094e+01,7.273458838462829590e-01,7.572231888771057129e-01,3.959424018859863281e+00
1.762312773740633011e+09,2.091034889221191406e+01,7.821851372718811035e-01,7.489458322525024414e-01,3.963191032409667969e+00
1.762312773760182619e+09,2.096779060363769531e+01,8.368544578552246094e-01,7.403249740600585938e-01,3.966608285903930664e+00
1.762312773780860424e+09,2.102551269531250000e+01,8.913216590881347656e-01,7.314579486846923828e-01,3.969708442687988281e+00
1.762312773800316095e+09,2.108353614807128906e+01,9.455557465553283691e-01,7.224213480949401855e-01,3.972520589828491211e+00
1.762312773820717812e+09,2.114188194274902344e+01,9.995201230049133301e-01,7.131494283676147461e-01,3.975071907043457031e+00
1.762312773840262890e+09,2.120063400268554688e+01,1.053113937377929688e+00,7.025541067123413086e-01,3.977386236190795898e+00
1.762312773860674143e+09,2.125981330871582031e+01,1.106302618980407715e+00,6.908084154129028320e-01,3.979485511779785156e+00
1.762312773880192518e+09,2.131943702697753906e+01,1.159054279327392578e+00,6.781629920005798340e-01,3.981389999389648438e+00
1.762312773900367022e+09,2.137952041625976562e+01,1.211334943771362305e+00,6.648224592208862305e-01,3.983117818832397461e+00
1.762312773920206785e+09,2.144008445739746094e+01,1.263108730316162109e+00,6.509530544281005859e-01,3.984685182571411133e+00
1.762312773940297842e+09,2.150114822387695312e+01,1.314339399337768555e+00,6.366887688636779785e-01,3.986106872558593750e+00
1.762312773960272074e+09,2.156272697448730469e+01,1.364990949630737305e+00,6.221367716789245605e-01,3.987396717071533203e+00
1.762312773980318785e+09,2.162483978271484375e+01,1.415028214454650879e+00,6.073821187019348145e-01,3.988566875457763672e+00
1.762312774000259161e+09,2.168749618530273438e+01,1.464416861534118652e+00,5.924915671348571777e-01,3.989628314971923828e+00
1.762312774020674467e+09,2.175070953369140625e+01,1.513124227523803711e+00,5.775171518325805664e-01,3.990591287612915039e+00
1.762312774040479183e+09,2.181448936462402344e+01,1.561119198799133301e+00,5.624985098838806152e-01,3.991464614868164062e+00
1.762312774060669899e+09,2.187883949279785156e+01,1.608371973037719727e+00,5.474656820297241211e-01,3.992257118225097656e+00
1.762312774080183744e+09,2.194376182556152344e+01,1.654863119125366211e+00,5.325663685798645020e-01,3.992975950241088867e+00
1.762312774100642681e+09,2.200920104980468750e+01,1.700648069381713867e+00,5.189549326896667480e-01,3.993628025054931641e+00
1.762312774120111465e+09,2.207515335083007812e+01,1.745712757110595703e+00,5.065036416053771973e-01,3.994219541549682617e+00
1.762312774140478373e+09,2.214161491394042969e+01,1.790043115615844727e+00,4.949938356876373291e-01,3.994756221771240234e+00
1.762312774160083771e+09,2.220857810974121094e+01,1.833631753921508789e+00,4.842428267002105713e-01,3.995243072509765625e+00
1.762312774181056261e+09,2.227602958679199219e+01,1.876475930213928223e+00,4.740984439849853516e-01,3.995684623718261719e+00
1.762312774200319052e+09,2.234395790100097656e+01,1.918576836585998535e+00,4.644348323345184326e-01,3.996085405349731445e+00
1.762312774220638037e+09,2.241234779357910156e+01,1.959938287734985352e+00,4.551481604576110840e-01,3.996448755264282227e+00
1.762312774240215540e+09,2.248118591308593750e+01,2.000565767288208008e+00,4.461535215377807617e-01,3.996778488159179688e+00
1.762312774260787010e+09,2.255045318603515625e+01,2.040465831756591797e+00,4.373816847801208496e-01,3.997077465057373047e+00
1.762312774280184984e+09,2.262013816833496094e+01,2.079645872116088867e+00,4.287767112255096436e-01,3.997348785400390625e+00
1.762312774300419331e+09,2.269019699096679688e+01,2.118166208267211914e+00,4.210230410099029541e-01,3.997595071792602539e+00
1.762312774320202351e+09,2.276058578491210938e+01,2.156086921691894531e+00,4.146119058132171631e-01,3.997818231582641602e+00
1.762312774340355635e+09,2.283129310607910156e+01,2.193420410156250000e+00,4.092674851417541504e-01,3.998020887374877930e+00
1.762312774360223532e+09,2.290230178833007812e+01,2.230184793472290039e+00,4.047622680664062500e-01,3.998204469680786133e+00
1.762312774380479813e+09,2.297359657287597656e+01,2.266402482986450195e+00,4.009095430374145508e-01,3.998371362686157227e+00
1.762312774400314569e+09,2.304515647888183594e+01,2.302097558975219727e+00,3.975570201873779297e-01,3.998522520065307617e+00
1.762312774420639277e+09,2.311696434020996094e+01,2.337295532226562500e+00,3.945812284946441650e-01,3.998659610748291016e+00
1.762312774440310717e+09,2.318900680541992188e+01,2.372022151947021484e+00,3.918828070163726807e-01,3.998784065246582031e+00
1.762312774460591316e+09,2.326126480102539062e+01,2.406302690505981445e+00,3.893825113773345947e-01,3.998897075653076172e+00
1.762312774480237246e+09,2.333372306823730469e+01,2.440160751342773438e+00,3.870175480842590332e-01,3.998999357223510742e+00
1.762312774500847578e+09,2.340636825561523438e+01,2.473619461059570312e+00,3.847389221191406250e-01,3.999092340469360352e+00
1.762312774520041943e+09,2.347918510437011719e+01,2.506709337234497070e+00,3.826344311237335205e-01,3.999176502227783203e+00
1.762312774540562153e+09,2.355212020874023438e+01,2.539541006088256836e+00,3.818155825138092041e-01,3.999253034591674805e+00
1.762312774560074806e+09,2.362516021728515625e+01,2.572142362594604492e+00,3.821220993995666504e-01,3.999322414398193359e+00
1.762312774580968618e+09,2.369829368591308594e+01,2.604538202285766602e+00,3.833125829696655273e-01,3.999385356903076172e+00
1.762312774600305557e+09,2.377150726318359375e+01,2.636756896972656250e+00,3.851890861988067627e-01,3.999442338943481445e+00
1.762312774620620489e+09,2.384478378295898438e+01,2.668828487396240234e+00,3.875902593135833740e-01,3.999494075775146484e+00
1.762312774640185118e+09,2.391811561584472656e+01,2.700783967971801758e+00,3.903854191303253174e-01,3.999541044235229492e+00
1.762312774660695553e+09,2.399148368835449219e+01,2.732654094696044922e+00,3.934694826602935791e-01,3.999583721160888672e+00
1.762312774680136681e+09,2.406487655639648438e+01,2.764468431472778320e+00,3.967587649822235107e-01,3.999622344970703125e+00
