# time,x,y,theta,velocity
1.762312774280184984e+09,2.248937988281250000e+01,2.037491083145141602e+00,4.485822916030883789e-01,3.997348785400390625e+00
1.762312774300419331e+09,2.256072998046875000e+01,2.077073097229003906e+00,4.385837316513061523e-01,3.997595071792602539e+00
1.762312774320202351e+09,2.262627029418945312e+01,2.112397670745849609e+00,4.325458705425262451e-01,3.997818231582641602e+00
1.762312774340355635e+09,2.268444633483886719e+01,2.143538236618041992e+00,4.292221665382385254e-01,3.998020887374877930e+00
1.762312774360223532e+09,2.275710487365722656e+01,2.191585063934326172e+00,4.151662290096282959e-01,3.998204469680786133e+00
1.762312774380479813e+09,2.282492256164550781e+01,2.231147289276123047e+00,4.061991274356842041e-01,3.998371362686157227e+00
1.762312774400314569e+09,2.288926124572753906e+01,2.264588832855224609e+00,4.015329480171203613e-01,3.998522520065307617e+00
1.762312774420639277e+09,2.294622230529785156e+01,2.291670322418212891e+00,3.985711634159088135e-01,3.998659610748291016e+00
1.762312774440310717e+09,2.304349327087402344e+01,2.321441650390625000e+00,3.963969349861145020e-01,3.998784065246582031e+00
1.762312774460591316e+09,2.314988327026367188e+01,2.347333908081054688e+00,3.973352909088134766e-01,3.998897075653076172e+00
1.762312774480237246e+09,2.324215507507324219e+01,2.372625112533569336e+00,3.984625637531280518e-01,3.998999357223510742e+00
1.762312774500847578e+09,2.332348632812500000e+01,2.413090944290161133e+00,3.978499770164489746e-01,3.999092340469360352e+00
1.762312774520041943e+09,2.340369224548339844e+01,2.446733236312866211e+00,3.981887400150299072e-01,3.999176502227783203e+00
1.762312774540562153e+09,2.347821998596191406e+01,2.474632978439331055e+00,3.996573388576507568e-01,3.999253034591674805e+00
1.762312774560074806e+09,2.356137275695800781e+01,2.518095016479492188e+00,3.988192379474639893e-01,3.999322414398193359e+00
1.762312774580968618e+09,2.363493347167968750e+01,2.552057981491088867e+00,3.992429077625274658e-01,3.999385356903076172e+00
1.762312774600305557e+09,2.370313453674316406e+01,2.581192493438720703e+00,4.004500806331634521e-01,3.999442338943481445e+00
1.762312774620620489e+09,2.376582717895507812e+01,2.608959197998046875e+00,4.022245705127716064e-01,3.999494075775146484e+00
1.762312774640185118e+09,2.384427452087402344e+01,2.649080753326416016e+00,4.031986892223358154e-01,3.999541044235229492e+00
1.762312774660695553e+09,2.391276550292968750e+01,2.681388139724731445e+00,4.046338200569152832e-01,3.999583721160888672e+00
1.762312774680136681e+09,2.398357772827148438e+01,2.708809852600097656e+00,4.067442715167999268e-01,3.999622344970703125e+00
1.762312774700506926e+09,2.407795524597167969e+01,2.745091438293457031e+00,4.073637723922729492e-01,3.999657392501831055e+00
1.762312774720194817e+09,2.415545463562011719e+01,2.778000593185424805e+00,4.087552130222320557e-01,3.999689102172851562e+00
1.762312774740294695e+09,2.422249412536621094e+01,2.808559894561767578e+00,4.101294875144958496e-01,3.999717950820922852e+00
1.762312774760534286e+09,2.427777481079101562e+01,2.851549386978149414e+00,4.097027480602264404e-01,3.999744176864624023e+00
1.762312774780517817e+09,2.432769584655761719e+01,2.887073040008544922e+00,4.097329974174499512e-01,3.999768018722534180e+00
1.762312774800384045e+09,2.437195968627929688e+01,2.916522502899169922e+00,4.097693860530853271e-01,3.999789476394653320e+00
1.762312774820698023e+09,2.440838241577148438e+01,2.942039251327514648e+00,4.098541736602783203e-01,3.999809026718139648e+00
1.762312774840419531e+09,2.449177932739257812e+01,2.977125406265258789e+00,4.094820916652679443e-01,3.999826669692993164e+00
1.762312774860577106e+09,2.457036018371582031e+01,3.011971950531005859e+00,4.110232591629028320e-01,3.999842882156372070e+00
1.762312774880291939e+09,2.463727378845214844e+01,3.043077707290649414e+00,4.128785729408264160e-01,3.999857425689697266e+00
