# time,x,y,theta,velocity
1.762313355183089018e+09,1.735470771789550781e+01,-8.612549781799316406e+00,-1.436903238296508789e+00,4.000000000000000000e+00
1.762313355202780962e+09,1.736692237854003906e+01,-8.689153671264648438e+00,-1.438823699951171875e+00,4.000000000000000000e+00
1.762313355223095179e+09,1.737849426269531250e+01,-8.762487411499023438e+00,-1.439581394195556641e+00,4.000000000000000000e+00
1.762313355242667198e+09,1.738973236083984375e+01,-8.838600158691406250e+00,-1.445211410522460938e+00,4.000000000000000000e+00
1.762313355263175726e+09,1.740158462524414062e+01,-8.918870925903320312e+00,-1.450771570205688477e+00,4.000000000000000000e+00
1.762313355282887220e+09,1.741392517089843750e+01,-9.001675605773925781e+00,-1.455303788185119629e+00,4.000000000000000000e+00
1.762313355303401709e+09,1.742611885070800781e+01,-9.089737892150878906e+00,-1.459347128868103027e+00,4.000000000000000000e+00
1.762313355322882891e+09,1.743657493591308594e+01,-9.169974327087402344e+00,-1.461675167083740234e+00,4.000000000000000000e+00
1.762313355343297005e+09,1.744692611694335938e+01,-9.249143600463867188e+00,-1.463630676269531250e+00,4.000000000000000000e+00
1.762313355362764835e+09,1.745777320861816406e+01,-9.330684661865234375e+00,-1.464190840721130371e+00,4.000000000000000000e+00
1.762313355383291245e+09,1.746966743469238281e+01,-9.420240402221679688e+00,-1.464984059333801270e+00,4.000000000000000000e+00
1.762313355402744532e+09,1.748037147521972656e+01,-9.503381729125976562e+00,-1.464314341545104980e+00,4.000000000000000000e+00
1.762313355423177004e+09,1.748911094665527344e+01,-9.581722259521484375e+00,-1.463554382324218750e+00,4.000000000000000000e+00
1.762313355442813873e+09,1.749869918823242188e+01,-9.664059638977050781e+00,-1.462546586990356445e+00,4.000000000000000000e+00
1.762313355463047504e+09,1.750843620300292969e+01,-9.746267318725585938e+00,-1.461557626724243164e+00,4.000000000000000000e+00
1.762313355482732773e+09,1.751817321777343750e+01,-9.828426361083984375e+00,-1.460496306419372559e+00,4.000000000000000000e+00
1.762313355503128290e+09,1.752693939208984375e+01,-9.906670570373535156e+00,-1.459240794181823730e+00,4.000000000000000000e+00
1.762313355522870064e+09,1.753639984130859375e+01,-9.986223220825195312e+00,-1.457299828529357910e+00,4.000000000000000000e+00
1.762313355543249607e+09,1.754649162292480469e+01,-1.006822872161865234e+01,-1.455709099769592285e+00,4.000000000000000000e+00
1.762313355562723398e+09,1.755659103393554688e+01,-1.014971923828125000e+01,-1.454860091209411621e+00,4.000000000000000000e+00
1.762313355583116770e+09,1.756558227539062500e+01,-1.022442054748535156e+01,-1.452857255935668945e+00,4.000000000000000000e+00
1.762313355602715492e+09,1.757264518737792969e+01,-1.028985786437988281e+01,-1.450874805450439453e+00,4.000000000000000000e+00
1.762313355623434544e+09,1.758107566833496094e+01,-1.035982990264892578e+01,-1.448372840881347656e+00,4.000000000000000000e+00
1.762313355642818689e+09,1.759030532836914062e+01,-1.043667793273925781e+01,-1.448187232017517090e+00,4.000000000000000000e+00
1.762313355663064241e+09,1.760098457336425781e+01,-1.051725578308105469e+01,-1.448973774909973145e+00,4.000000000000000000e+00
1.762313355682855606e+09,1.761077880859375000e+01,-1.059332466125488281e+01,-1.449822306632995605e+00,4.000000000000000000e+00
1.762313355702881098e+09,1.761918449401855469e+01,-1.066356277465820312e+01,-1.449944734573364258e+00,4.000000000000000000e+00
1.762313355722908258e+09,1.762828636169433594e+01,-1.073976802825927734e+01,-1.452688932418823242e+00,4.000000000000000000e+00
1.762313355743230820e+09,1.763736343383789062e+01,-1.081405258178710938e+01,-1.454298734664916992e+00,4.000000000000000000e+00
1.762313355762873173e+09,1.764871406555175781e+01,-1.089675140380859375e+01,-1.455850839614868164e+00,4.000000000000000000e+00
1.762313355783291817e+09,1.765865516662597656e+01,-1.097851753234863281e+01,-1.459277272224426270e+00,4.000000000000000000e+00
1.762313355802767277e+09,1.766839408874511719e+01,-1.105909729003906250e+01,-1.460003495216369629e+00,4.000000000000000000e+00
1.762313355823355913e+09,1.767738342285156250e+01,-1.113522815704345703e+01,-1.459678411483764648e+00,4.000000000000000000e+00
1.762313355842730284e+09,1.768645286560058594e+01,-1.121455192565917969e+01,-1.459646940231323242e+00,4.000000000000000000e+00
1.762313355863517523e+09,1.769472885131835938e+01,-1.129043197631835938e+01,-1.459072828292846680e+00,4.000000000000000000e+00
1.762313355882658958e+09,1.770221519470214844e+01,-1.136649513244628906e+01,-1.458724379539489746e+00,4.000000000000000000e+00
1.762313355903316498e+09,1.771061706542968750e+01,-1.144597721099853516e+01,-1.457764625549316406e+00,4.000000000000000000e+00
1.762313355922983408e+09,1.771996879577636719e+01,-1.152796649932861328e+01,-1.455877780914306641e+00,4.000000000000000000e+00
1.762313355943254709e+09,1.772869873046875000e+01,-1.160516548156738281e+01,-1.454238653182983398e+00,4.000000000000000000e+00
1.762313355962864637e+09,1.773662567138671875e+01,-1.167854976654052734e+01,-1.453295111656188965e+00,4.000000000000000000e+00
1.762313355983344793e+09,1.774565505981445312e+01,-1.175740909576416016e+01,-1.452371239662170410e+00,4.000000000000000000e+00
1.762313356002952576e+09,1.775506973266601562e+01,-1.183677482604980469e+01,-1.452194452285766602e+00,4.000000000000000000e+00
1.762313356023473978e+09,1.776361656188964844e+01,-1.191256427764892578e+01,-1.452416300773620605e+00,4.000000000000000000e+00
1.762313356042811155e+09,1.777205657958984375e+01,-1.198978424072265625e+01,-1.455349445343017578e+00,4.000000000000000000e+00
1.762313356063201189e+09,1.778004455566406250e+01,-1.206472682952880859e+01,-1.457787394523620605e+00,4.000000000000000000e+00
1.762313356082953691e+09,1.778801155090332031e+01,-1.213590621948242188e+01,-1.458990931510925293e+00,4.000000000000000000e+00
1.762313356103493929e+09,1.779717254638671875e+01,-1.220904254913330078e+01,-1.460133671760559082e+00,4.000000000000000000e+00
1.762313356123102903e+09,1.780699729919433594e+01,-1.229197406768798828e+01,-1.461927533149719238e+00,4.000000000000000000e+00
1.762313356143226862e+09,1.781635284423828125e+01,-1.237078857421875000e+01,-1.463098645210266113e+00,4.000000000000000000e+00
1.762313356162592888e+09,1.782501029968261719e+01,-1.244290733337402344e+01,-1.463562011718750000e+00,4.000000000000000000e+00
