# time,x,y,theta,velocity
1.762313355143524647e+09,1.727995681762695312e+01,-8.522452354431152344e+00,-1.421019911766052246e+00,4.000000000000000000e+00
1.762313355162775993e+09,1.730647087097167969e+01,-8.606679916381835938e+00,-1.425143718719482422e+00,4.000000000000000000e+00
1.762313355183089018e+09,1.733686065673828125e+01,-8.629327774047851562e+00,-1.435273766517639160e+00,4.000000000000000000e+00
1.762313355202780962e+09,1.735673141479492188e+01,-8.652177810668945312e+00,-1.439710617065429688e+00,4.000000000000000000e+00
1.762313355223095179e+09,1.737186431884765625e+01,-8.684387207031250000e+00,-1.442283272743225098e+00,4.000000000000000000e+00
1.762313355242667198e+09,1.739267539978027344e+01,-8.754783630371093750e+00,-1.452854633331298828e+00,4.000000000000000000e+00
1.762313355263175726e+09,1.741135406494140625e+01,-8.820482254028320312e+00,-1.459324359893798828e+00,4.000000000000000000e+00
1.762313355282887220e+09,1.742925834655761719e+01,-8.889962196350097656e+00,-1.462917804718017578e+00,4.000000000000000000e+00
1.762313355303401709e+09,1.744433212280273438e+01,-8.961313247680664062e+00,-1.464603781700134277e+00,4.000000000000000000e+00
1.762313355322882891e+09,1.744400978088378906e+01,-9.060275077819824219e+00,-1.466003298759460449e+00,4.000000000000000000e+00
1.762313355343297005e+09,1.744683837890625000e+01,-9.146992683410644531e+00,-1.465899586677551270e+00,4.000000000000000000e+00
1.762313355362764835e+09,1.745147514343261719e+01,-9.230909347534179688e+00,-1.464799046516418457e+00,4.000000000000000000e+00
1.762313355383291245e+09,1.745102882385253906e+01,-9.340918540954589844e+00,-1.464490890502929688e+00,4.000000000000000000e+00
1.762313355402744532e+09,1.745696640014648438e+01,-9.448180198669433594e+00,-1.463565945625305176e+00,4.000000000000000000e+00
1.762313355423177004e+09,1.746452140808105469e+01,-9.540303230285644531e+00,-1.462165355682373047e+00,4.000000000000000000e+00
1.762313355442813873e+09,1.747494316101074219e+01,-9.639128684997558594e+00,-1.460859656333923340e+00,4.000000000000000000e+00
1.762313355463047504e+09,1.748723793029785156e+01,-9.731678962707519531e+00,-1.459990978240966797e+00,4.000000000000000000e+00
1.762313355482732773e+09,1.749917411804199219e+01,-9.814408302307128906e+00,-1.459638833999633789e+00,4.000000000000000000e+00
1.762313355503128290e+09,1.751067924499511719e+01,-9.895947456359863281e+00,-1.459429144859313965e+00,4.000000000000000000e+00
1.762313355522870064e+09,1.753384590148925781e+01,-9.980045318603515625e+00,-1.458936095237731934e+00,4.000000000000000000e+00
1.762313355543249607e+09,1.755224800109863281e+01,-1.005832099914550781e+01,-1.458864212036132812e+00,4.000000000000000000e+00
1.762313355562723398e+09,1.756756019592285156e+01,-1.013127422332763672e+01,-1.458830118179321289e+00,4.000000000000000000e+00
1.762313355583116770e+09,1.758870697021484375e+01,-1.020133209228515625e+01,-1.457962632179260254e+00,4.000000000000000000e+00
1.762313355602715492e+09,1.760584449768066406e+01,-1.026713657379150391e+01,-1.458892583847045898e+00,4.000000000000000000e+00
1.762313355623434544e+09,1.762049102783203125e+01,-1.032901668548583984e+01,-1.460187077522277832e+00,4.000000000000000000e+00
1.762313355642818689e+09,1.762611579895019531e+01,-1.039775753021240234e+01,-1.462237954139709473e+00,4.000000000000000000e+00
1.762313355663064241e+09,1.763271141052246094e+01,-1.045721435546875000e+01,-1.462361454963684082e+00,4.000000000000000000e+00
1.762313355682855606e+09,1.764231300354003906e+01,-1.052282619476318359e+01,-1.462834954261779785e+00,4.000000000000000000e+00
1.762313355702881098e+09,1.764949798583984375e+01,-1.058074760437011719e+01,-1.462519168853759766e+00,4.000000000000000000e+00
1.762313355722908258e+09,1.765159606933593750e+01,-1.066571617126464844e+01,-1.462743639945983887e+00,4.000000000000000000e+00
1.762313355743230820e+09,1.766133308410644531e+01,-1.074927043914794922e+01,-1.463037967681884766e+00,4.000000000000000000e+00
1.762313355762873173e+09,1.767352294921875000e+01,-1.082875061035156250e+01,-1.463150143623352051e+00,4.000000000000000000e+00
1.762313355783291817e+09,1.767204475402832031e+01,-1.091682434082031250e+01,-1.463546633720397949e+00,4.000000000000000000e+00
1.762313355802767277e+09,1.767772293090820312e+01,-1.100346279144287109e+01,-1.463310837745666504e+00,4.000000000000000000e+00
1.762313355823355913e+09,1.768454170227050781e+01,-1.108450412750244141e+01,-1.462347745895385742e+00,4.000000000000000000e+00
1.762313355842730284e+09,1.768212318420410156e+01,-1.117564010620117188e+01,-1.461799263954162598e+00,4.000000000000000000e+00
1.762313355863517523e+09,1.768315315246582031e+01,-1.126317405700683594e+01,-1.460714101791381836e+00,4.000000000000000000e+00
1.762313355882658958e+09,1.768588829040527344e+01,-1.134455680847167969e+01,-1.459010004997253418e+00,4.000000000000000000e+00
1.762313355903316498e+09,1.769002342224121094e+01,-1.141969776153564453e+01,-1.457607150077819824e+00,4.000000000000000000e+00
1.762313355922983408e+09,1.769930458068847656e+01,-1.149386215209960938e+01,-1.456098198890686035e+00,4.000000000000000000e+00
1.762313355943254709e+09,1.770825576782226562e+01,-1.156631088256835938e+01,-1.454895734786987305e+00,4.000000000000000000e+00
1.762313355962864637e+09,1.771860694885253906e+01,-1.163338470458984375e+01,-1.454319238662719727e+00,4.000000000000000000e+00
1.762313355983344793e+09,1.773414802551269531e+01,-1.170792198181152344e+01,-1.454029440879821777e+00,4.000000000000000000e+00
1.762313356002952576e+09,1.774917602539062500e+01,-1.177874851226806641e+01,-1.454599380493164062e+00,4.000000000000000000e+00
1.762313356023473978e+09,1.776456260681152344e+01,-1.185155868530273438e+01,-1.455049514770507812e+00,4.000000000000000000e+00
1.762313356042811155e+09,1.777517890930175781e+01,-1.192936134338378906e+01,-1.458419919013977051e+00,4.000000000000000000e+00
1.762313356063201189e+09,1.778797721862792969e+01,-1.200163459777832031e+01,-1.460174679756164551e+00,4.000000000000000000e+00
1.762313356082953691e+09,1.780188179016113281e+01,-1.207220554351806641e+01,-1.461499929428100586e+00,4.000000000000000000e+00
1.762313356103493929e+09,1.781612586975097656e+01,-1.213930130004882812e+01,-1.462340474128723145e+00,4.000000000000000000e+00
1.762313356123102903e+09,1.781746864318847656e+01,-1.222505187988281250e+01,-1.463113427162170410e+00,4.000000000000000000e+00
1.762313356143226862e+09,1.782211112976074219e+01,-1.230521106719970703e+01,-1.462753057479858398e+00,4.000000000000000000e+00
1.762313356162592888e+09,1.783009147644042969e+01,-1.237560558319091797e+01,-1.462435960769653320e+00,4.000000000000000000e+00
1.762313356183264732e+09,1.782334899902343750e+01,-1.246952247619628906e+01,-1.462755441665649414e+00,4.000000000000000000e+00
1.762313356202880621e+09,1.782491302490234375e+01,-1.255845069885253906e+01,-1.462429642677307129e+00,4.000000000000000000e+00
1.762313356223169565e+09,1.783018493652343750e+01,-1.264362144470214844e+01,-1.461040019989013672e+00,4.000000000000000000e+00
1.762313356242684603e+09,1.782173728942871094e+01,-1.274499225616455078e+01,-1.461299777030944824e+00,4.000000000000000000e+00
1.762313356263341665e+09,1.782323455810546875e+01,-1.284546089172363281e+01,-1.460476398468017578e+00,4.000000000000000000e+00
1.762313356282607317e+09,1.782804489135742188e+01,-1.293211936950683594e+01,-1.459191679954528809e+00,4.000000000000000000e+00
1.762313356304495573e+09,1.783576965332031250e+01,-1.301615142822265625e+01,-1.458010911941528320e+00,4.000000000000000000e+00
1.762313356323323250e+09,1.783454132080078125e+01,-1.309955692291259766e+01,-1.457000970840454102e+00,4.000000000000000000e+00
1.762313356342965603e+09,1.783664894104003906e+01,-1.318160438537597656e+01,-1.455633640289306641e+00,4.000000000000000000e+00
1.762313356362867594e+09,1.784156036376953125e+01,-1.326280212402343750e+01,-1.454541683197021484e+00,4.000000000000000000e+00
1.762313356382837772e+09,1.786881065368652344e+01,-1.334012794494628906e+01,-1.454844474792480469e+00,4.000000000000000000e+00
1.762313356403069496e+09,1.789156532287597656e+01,-1.341294097900390625e+01,-1.455623626708984375e+00,4.000000000000000000e+00
1.762313356423244238e+09,1.790919494628906250e+01,-1.348473167419433594e+01,-1.456423282623291016e+00,4.000000000000000000e+00
1.762313356442882538e+09,1.790698432922363281e+01,-1.358212661743164062e+01,-1.456934332847595215e+00,4.000000000000000000e+00
1.762313356463367224e+09,1.791183853149414062e+01,-1.367284393310546875e+01,-1.456085205078125000e+00,4.000000000000000000e+00
1.762313356482831001e+09,1.792277145385742188e+01,-1.375311470031738281e+01,-1.455660343170166016e+00,4.000000000000000000e+00
1.762313356503617764e+09,1.793440246582031250e+01,-1.382998752593994141e+01,-1.455168843269348145e+00,4.000000000000000000e+00
1.762313356523219585e+09,1.795035934448242188e+01,-1.392491912841796875e+01,-1.461215853691101074e+00,4.000000000000000000e+00
1.762313356543676615e+09,1.796532249450683594e+01,-1.401325607299804688e+01,-1.465061545372009277e+00,4.000000000000000000e+00
1.762313356562984467e+09,1.798349571228027344e+01,-1.409599113464355469e+01,-1.467403173446655273e+00,4.000000000000000000e+00
1.762313356583470345e+09,1.800293159484863281e+01,-1.418998908996582031e+01,-1.471753358840942383e+00,4.000000000000000000e+00
1.762313356602746248e+09,1.802178001403808594e+01,-1.428819179534912109e+01,-1.472918510437011719e+00,4.000000000000000000e+00
1.762313356623244047e+09,1.803693580627441406e+01,-1.438029193878173828e+01,-1.473256111145019531e+00,4.000000000000000000e+00
1.762313356642631769e+09,1.804492759704589844e+01,-1.448399925231933594e+01,-1.473343133926391602e+00,4.000000000000000000e+00
