# time,x,y,theta,velocity
1.760561423525861979e+09,6.824440479278564453e+00,3.935526311397552490e-01,-2.620748579502105713e-01,7.105730533599853516e+00
1.760561423546705008e+09,6.951680660247802734e+00,3.789384663105010986e-01,-2.733362019062042236e-01,7.063898086547851562e+00
1.760561423565423489e+09,7.043117046356201172e+00,3.798116445541381836e-01,-2.832054495811462402e-01,7.017680168151855469e+00
1.760561423586161137e+09,7.248695373535156250e+00,3.143226802349090576e-01,-3.010555207729339600e-01,6.978370189666748047e+00
1.760561423605445147e+09,7.384856700897216797e+00,2.937407493591308594e-01,-3.144708871841430664e-01,6.935385704040527344e+00
1.760561423625871658e+09,7.456542491912841797e+00,2.889024019241333008e-01,-3.217712342739105225e-01,6.898998737335205078e+00
1.760561423645787477e+09,7.709226131439208984e+00,2.260739803314208984e-01,-3.248595297336578369e-01,6.867213726043701172e+00
1.760561423666394949e+09,7.873174190521240234e+00,1.966854035854339600e-01,-3.552953302860260010e-01,6.831367015838623047e+00
1.760561423685754299e+09,7.967377185821533203e+00,1.829503476619720459e-01,-3.708155453205108643e-01,6.800790309906005859e+00
1.760561423706427336e+09,8.026113510131835938e+00,1.715008318424224854e-01,-3.787080943584442139e-01,6.773965358734130859e+00
1.760561423725458145e+09,8.199221611022949219e+00,8.444467186927795410e-02,-4.007678329944610596e-01,6.743742465972900391e+00
1.760561423745991707e+09,8.304995536804199219e+00,4.780059680342674255e-02,-4.210102558135986328e-01,6.718080997467041016e+00
1.760561423765581131e+09,8.376656532287597656e+00,2.036119997501373291e-02,-4.366073608398437500e-01,6.695736408233642578e+00
1.760561423785872698e+09,8.592453956604003906e+00,-4.214762896299362183e-02,-4.576816856861114502e-01,6.671069145202636719e+00
1.760561423805519581e+09,8.715238571166992188e+00,-9.299545735120773315e-02,-4.818924367427825928e-01,6.650416374206542969e+00
1.760561423826177359e+09,8.782272338867187500e+00,-1.298954933881759644e-01,-4.976145327091217041e-01,6.632765769958496094e+00
1.760561423846032858e+09,9.021764755249023438e+00,-2.310982793569564819e-01,-5.421346426010131836e-01,6.614138603210449219e+00
1.760561423865966320e+09,9.115627288818359375e+00,-2.948236465454101562e-01,-5.596662759780883789e-01,6.598993778228759766e+00
1.760561423885807276e+09,9.181463241577148438e+00,-3.289550840854644775e-01,-5.761680603027343750e-01,6.586588859558105469e+00
1.760561423906189442e+09,9.213365554809570312e+00,-3.492465317249298096e-01,-5.793948173522949219e-01,6.576333999633789062e+00
1.760561423925711155e+09,9.458061218261718750e+00,-4.556189477443695068e-01,-6.457415223121643066e-01,6.566709041595458984e+00
